experiment_type,trial_number,start_time,wall-time-seconds
wasm_interpreted,1,2025-02-02T05:49:02.182266,38.21
wasm_interpreted,2,2025-02-02T05:49:40.626106,36.45
wasm_aot,1,2025-02-02T05:50:17.095825,10.15
docker,1,2025-02-02T05:50:27.261624,18.83
wasm_aot,2,2025-02-02T05:50:46.933051,12.97
wasm_aot,3,2025-02-02T05:50:59.912070,10.11
wasm_aot,4,2025-02-02T05:51:10.034839,9.99
docker,2,2025-02-02T05:51:20.039257,17.99
docker,3,2025-02-02T05:51:38.615194,12.12
docker,4,2025-02-02T05:51:50.989930,12.79
wasm_interpreted,3,2025-02-02T05:52:04.078930,39.35
wasm_interpreted,4,2025-02-02T05:52:43.439913,35.5
wasm_aot,5,2025-02-02T05:53:18.964036,9.93
docker,5,2025-02-02T05:53:28.906612,15.49
docker,6,2025-02-02T05:53:44.748748,12.23
wasm_aot,6,2025-02-02T05:53:57.272279,13.32
docker,7,2025-02-02T05:54:10.600584,16.32
docker,8,2025-02-02T05:54:27.394562,11.77
docker,9,2025-02-02T05:54:39.493700,11.57
wasm_interpreted,5,2025-02-02T05:54:51.390089,39.43
wasm_interpreted,6,2025-02-02T05:55:30.835398,35.82
wasm_aot,7,2025-02-02T05:56:06.677662,9.56
docker,10,2025-02-02T05:56:16.246633,17.36
wasm_aot,8,2025-02-02T05:56:34.489136,12.67
wasm_interpreted,7,2025-02-02T05:56:47.174370,35.63
wasm_aot,9,2025-02-02T05:57:22.818383,10.78
wasm_interpreted,8,2025-02-02T05:57:33.620950,35.14
wasm_aot,10,2025-02-02T05:58:08.776829,9.38
wasm_interpreted,9,2025-02-02T05:58:18.171348,35.54
docker,11,2025-02-02T05:58:53.727753,18.37
wasm_interpreted,10,2025-02-02T05:59:13.190871,38.48
wasm_interpreted,11,2025-02-02T05:59:51.681452,35.78
docker,12,2025-02-02T06:00:27.467701,17.82
wasm_interpreted,12,2025-02-02T06:00:45.947946,39.19
wasm_interpreted,13,2025-02-02T06:01:25.154442,35.55
wasm_aot,11,2025-02-02T06:02:00.715598,9.64
wasm_aot,12,2025-02-02T06:02:10.369471,9.52
wasm_aot,13,2025-02-02T06:02:19.907710,9.81
docker,13,2025-02-02T06:02:29.729206,18.1
wasm_interpreted,14,2025-02-02T06:02:48.587134,38.94
wasm_interpreted,15,2025-02-02T06:03:27.540708,35.42
wasm_aot,14,2025-02-02T06:04:02.967308,9.85
docker,14,2025-02-02T06:04:12.826227,17.94
wasm_interpreted,16,2025-02-02T06:04:31.439133,38.67
wasm_aot,15,2025-02-02T06:05:10.122231,9.39
wasm_interpreted,17,2025-02-02T06:05:19.527268,39.21
wasm_interpreted,18,2025-02-02T06:05:58.756259,35.8
wasm_aot,16,2025-02-02T06:06:34.572100,9.16
wasm_interpreted,19,2025-02-02T06:06:43.744895,34.83
