experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,1,2025-02-01T17:14:30.705499,13.59
wasm_aot,2,2025-02-01T17:14:44.504442,10.33
wasm_aot,3,2025-02-01T17:14:54.849517,10.17
docker,1,2025-02-01T17:15:05.035571,15.16
docker,2,2025-02-01T17:15:20.793711,11.2
wasm_aot,4,2025-02-01T17:15:32.210974,11.27
wasm_interpreted,1,2025-02-01T17:15:43.496351,35.75
wasm_aot,5,2025-02-01T17:16:19.255398,9.61
docker,3,2025-02-01T17:16:28.880356,14.11
wasm_aot,6,2025-02-01T17:16:43.277176,10.17
wasm_interpreted,2,2025-02-01T17:16:53.455953,35.71
wasm_aot,7,2025-02-01T17:17:29.178012,9.32
docker,4,2025-02-01T17:17:38.505529,12.85
wasm_interpreted,3,2025-02-01T17:17:51.713281,35.65
docker,5,2025-02-01T17:18:27.376081,12.29
wasm_interpreted,4,2025-02-01T17:18:39.863402,35.5
docker,6,2025-02-01T17:19:15.374770,12.25
wasm_interpreted,5,2025-02-01T17:19:27.878467,35.35
wasm_aot,8,2025-02-01T17:20:03.242125,9.47
wasm_interpreted,6,2025-02-01T17:20:12.724551,35.05
wasm_interpreted,7,2025-02-01T17:20:47.780464,34.96
wasm_interpreted,8,2025-02-01T17:21:22.747168,34.93
wasm_interpreted,9,2025-02-01T17:21:57.691329,34.85
docker,7,2025-02-01T17:22:32.553618,11.44
wasm_aot,9,2025-02-01T17:22:44.182597,9.61
wasm_aot,10,2025-02-01T17:22:53.803248,9.14
wasm_interpreted,10,2025-02-01T17:23:02.955728,34.98
wasm_interpreted,11,2025-02-01T17:23:37.949209,34.75
wasm_interpreted,12,2025-02-01T17:24:12.708743,34.92
docker,8,2025-02-01T17:24:47.643961,12.17
docker,9,2025-02-01T17:25:00.024857,10.34
docker,10,2025-02-01T17:25:10.576385,10.78
wasm_aot,11,2025-02-01T17:25:21.554080,9.36
docker,11,2025-02-01T17:25:30.921618,10.94
docker,12,2025-02-01T17:25:42.050696,10.53
docker,13,2025-02-01T17:25:52.913909,10.28
docker,14,2025-02-01T17:26:03.440234,10.42
docker,15,2025-02-01T17:26:14.056833,10.44
wasm_interpreted,13,2025-02-01T17:26:24.682491,35.69
docker,16,2025-02-01T17:27:00.380478,12.29
wasm_interpreted,14,2025-02-01T17:27:12.849957,35.7
docker,17,2025-02-01T17:27:48.563950,12.23
docker,18,2025-02-01T17:28:01.043635,10.42
wasm_aot,12,2025-02-01T17:28:11.649738,10.15
wasm_aot,13,2025-02-01T17:28:21.810835,9.58
docker,19,2025-02-01T17:28:31.404516,12.1
docker,20,2025-02-01T17:28:43.775441,10.6
wasm_interpreted,15,2025-02-01T17:28:54.563682,35.84
wasm_aot,14,2025-02-01T17:29:30.413062,9.57
wasm_interpreted,16,2025-02-01T17:29:39.994821,34.92
wasm_aot,15,2025-02-01T17:30:14.922266,9.2
docker,21,2025-02-01T17:30:24.132950,12.29
wasm_aot,16,2025-02-01T17:30:36.683409,9.68
wasm_aot,17,2025-02-01T17:30:46.374976,9.82
docker,22,2025-02-01T17:30:56.203362,11.17
docker,23,2025-02-01T17:31:07.588078,10.54
docker,24,2025-02-01T17:31:18.350571,10.73
wasm_aot,18,2025-02-01T17:31:29.280994,10.28
wasm_interpreted,17,2025-02-01T17:31:39.571044,35.18
wasm_interpreted,18,2025-02-01T17:32:14.764323,35.01
wasm_aot,19,2025-02-01T17:32:49.789202,9.0
docker,25,2025-02-01T17:32:58.799456,11.93
wasm_interpreted,19,2025-02-01T17:33:10.929668,35.45
wasm_interpreted,20,2025-02-01T17:33:46.388190,34.89
docker,26,2025-02-01T17:34:21.286858,12.51
wasm_aot,20,2025-02-01T17:34:34.178549,9.16
wasm_interpreted,21,2025-02-01T17:34:43.348129,35.31
docker,27,2025-02-01T17:35:18.669932,11.47
wasm_aot,21,2025-02-01T17:35:30.398419,9.47
wasm_aot,22,2025-02-01T17:35:39.881371,9.38
wasm_aot,23,2025-02-01T17:35:49.277043,9.43
docker,28,2025-02-01T17:35:58.720741,10.95
wasm_aot,24,2025-02-01T17:36:09.889178,9.32
docker,29,2025-02-01T17:36:19.224463,11.14
docker,30,2025-02-01T17:36:30.596891,10.88
wasm_aot,25,2025-02-01T17:36:41.697457,9.41
docker,31,2025-02-01T17:36:51.120779,11.13
