experiment_type,trial_number,start_time,wall-time-seconds
docker,1,2025-02-08T23:09:47.368205,4.66
wasm_aot,1,2025-02-08T23:09:52.248922,2.21
wasm_aot,2,2025-02-08T23:09:54.470460,4.52
wasm_aot,3,2025-02-08T23:09:58.997913,3.6
wasm_interpreted,1,2025-02-08T23:10:02.613038,18.04
wasm_aot,4,2025-02-08T23:10:20.660096,1.6
wasm_interpreted,2,2025-02-08T23:10:22.267593,13.02
wasm_interpreted,3,2025-02-08T23:10:35.293509,13.56
docker,2,2025-02-08T23:10:48.865867,4.69
wasm_interpreted,4,2025-02-08T23:10:53.844888,13.2
wasm_interpreted,5,2025-02-08T23:11:07.059759,13.24
docker,3,2025-02-08T23:11:20.313043,3.48
wasm_aot,5,2025-02-08T23:11:24.022589,1.7
docker,4,2025-02-08T23:11:25.729661,3.08
wasm_interpreted,6,2025-02-08T23:11:29.011846,13.3
wasm_aot,6,2025-02-08T23:11:42.324156,1.85
docker,5,2025-02-08T23:11:44.179962,2.98
wasm_interpreted,7,2025-02-08T23:11:47.287506,13.24
docker,6,2025-02-08T23:12:00.534109,3.14
wasm_interpreted,8,2025-02-08T23:12:03.870684,13.26
wasm_aot,7,2025-02-08T23:12:17.138865,1.46
docker,7,2025-02-08T23:12:18.607837,3.13
wasm_interpreted,9,2025-02-08T23:12:21.978236,13.24
docker,8,2025-02-08T23:12:35.225859,2.87
wasm_interpreted,10,2025-02-08T23:12:38.242423,13.02
wasm_aot,8,2025-02-08T23:12:51.268922,1.8
docker,9,2025-02-08T23:12:53.077979,3.05
wasm_interpreted,11,2025-02-08T23:12:56.296807,13.15
wasm_interpreted,12,2025-02-08T23:13:09.463585,12.86
wasm_interpreted,13,2025-02-08T23:13:22.328391,12.9
wasm_interpreted,14,2025-02-08T23:13:35.239681,12.91
wasm_aot,9,2025-02-08T23:13:48.159030,1.58
docker,10,2025-02-08T23:13:49.747166,2.98
wasm_aot,10,2025-02-08T23:13:52.918166,1.96
