experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,1,2025-02-03T19:29:48.901241,14.44
wasm_interpreted,1,2025-02-03T19:30:03.353052,688.27
wasm_aot,2,2025-02-03T19:41:31.641189,12.96
wasm_aot,3,2025-02-03T19:41:44.612740,12.78
wasm_interpreted,2,2025-02-03T19:41:57.403700,687.03
wasm_interpreted,3,2025-02-03T19:53:24.453460,686.81
wasm_aot,4,2025-02-03T20:04:51.269445,13.03
docker,1,2025-02-03T20:05:04.315889,16.84
wasm_interpreted,4,2025-02-03T20:05:21.849494,688.21
docker,2,2025-02-03T20:16:50.075784,14.36
wasm_aot,5,2025-02-03T20:17:04.626319,13.12
wasm_aot,6,2025-02-03T20:17:17.757376,13.72
wasm_interpreted,5,2025-02-03T20:17:31.489809,687.22
wasm_interpreted,6,2025-02-03T20:28:58.717203,687.05
wasm_aot,7,2025-02-03T20:40:25.772517,12.85
wasm_interpreted,7,2025-02-03T20:40:38.636547,687.76
docker,3,2025-02-03T20:52:06.409277,17.67
wasm_aot,8,2025-02-03T20:52:24.227420,12.97
wasm_aot,9,2025-02-03T20:52:37.206873,12.91
wasm_interpreted,8,2025-02-03T20:52:50.127999,687.62
docker,4,2025-02-03T21:04:17.760223,16.27
wasm_aot,10,2025-02-03T21:04:34.179170,13.39
docker,5,2025-02-03T21:04:47.585283,12.94
docker,6,2025-02-03T21:05:00.671235,11.85
docker,7,2025-02-03T21:05:12.670213,11.8
wasm_interpreted,9,2025-02-03T21:05:24.615399,687.25
wasm_aot,11,2025-02-03T21:16:51.873862,13.24
docker,8,2025-02-03T21:17:05.128732,11.84
wasm_aot,12,2025-02-03T21:17:17.134156,13.06
wasm_interpreted,10,2025-02-03T21:17:30.206362,687.05
wasm_interpreted,11,2025-02-03T21:28:57.270391,687.05
docker,9,2025-02-03T21:40:24.327656,12.89
wasm_interpreted,12,2025-02-03T21:40:37.361180,687.42
wasm_aot,13,2025-02-03T21:52:04.795576,12.96
wasm_aot,14,2025-02-03T21:52:17.764932,12.86
wasm_aot,15,2025-02-03T21:52:30.633576,12.94
wasm_aot,16,2025-02-03T21:52:43.586957,12.89
wasm_aot,17,2025-02-03T21:52:56.486100,12.97
wasm_aot,18,2025-02-03T21:53:09.464361,13.15
wasm_aot,19,2025-02-03T21:53:22.627962,12.95
docker,10,2025-02-03T21:53:35.595696,12.85
wasm_aot,20,2025-02-03T21:53:48.580921,13.07
docker,11,2025-02-03T21:54:01.663404,12.2
docker,12,2025-02-03T21:54:13.999599,11.57
wasm_aot,21,2025-02-03T21:54:25.712635,13.08
wasm_interpreted,13,2025-02-03T21:54:38.800094,687.12
wasm_aot,22,2025-02-03T22:06:05.929336,12.98
wasm_aot,23,2025-02-03T22:06:18.915031,12.99
wasm_interpreted,14,2025-02-03T22:06:31.920695,687.13
wasm_aot,24,2025-02-03T22:17:59.066267,13.06
docker,13,2025-02-03T22:18:12.140339,12.68
wasm_aot,25,2025-02-03T22:18:24.960738,13.17
wasm_aot,26,2025-02-03T22:18:38.146417,12.98
wasm_aot,27,2025-02-03T22:18:51.137238,12.98
wasm_interpreted,15,2025-02-03T22:19:04.128001,686.69
wasm_aot,28,2025-02-03T22:30:30.830381,13.19
docker,14,2025-02-03T22:30:44.031177,14.21
wasm_aot,29,2025-02-03T22:30:58.454574,13.0
docker,15,2025-02-03T22:31:11.461464,11.6
wasm_aot,30,2025-02-03T22:31:23.218215,12.96
wasm_interpreted,16,2025-02-03T22:31:36.191393,686.88
wasm_aot,31,2025-02-03T22:43:03.088465,13.04
wasm_interpreted,17,2025-02-03T22:43:16.146334,687.21
wasm_interpreted,18,2025-02-03T22:54:43.370441,686.72
wasm_interpreted,19,2025-02-03T23:06:10.097834,686.63
wasm_interpreted,20,2025-02-03T23:17:36.740894,686.73
docker,16,2025-02-03T23:29:03.478192,13.43
docker,17,2025-02-03T23:29:17.078137,11.55
wasm_interpreted,21,2025-02-03T23:29:28.786219,686.82
docker,18,2025-02-03T23:40:55.619239,11.8
wasm_interpreted,22,2025-02-03T23:41:07.621840,686.95
wasm_aot,32,2025-02-03T23:52:34.580240,13.02
docker,19,2025-02-03T23:52:47.619602,12.14
docker,20,2025-02-03T23:53:00.396399,13.15
docker,21,2025-02-03T23:53:13.730410,11.62
wasm_interpreted,23,2025-02-03T23:53:26.151585,687.12
wasm_interpreted,24,2025-02-04T00:04:53.286159,687.31
docker,22,2025-02-04T00:16:20.609790,14.08
docker,23,2025-02-04T00:16:34.865415,11.54
wasm_aot,33,2025-02-04T00:16:46.567207,14.53
wasm_interpreted,25,2025-02-04T00:17:01.104314,687.01
wasm_interpreted,26,2025-02-04T00:28:28.128250,686.81
docker,24,2025-02-04T00:39:54.949246,12.71
wasm_interpreted,27,2025-02-04T00:40:08.298783,688.16
wasm_interpreted,28,2025-02-04T00:51:36.473443,688.19
docker,25,2025-02-04T01:03:04.673552,17.23
wasm_aot,34,2025-02-04T01:03:22.119405,13.22
wasm_aot,35,2025-02-04T01:03:35.354504,12.92
wasm_interpreted,29,2025-02-04T01:03:48.286773,686.75
wasm_aot,36,2025-02-04T01:15:15.043375,12.81
docker,26,2025-02-04T01:15:27.864144,14.69
wasm_interpreted,30,2025-02-04T01:15:42.753294,688.01
wasm_interpreted,31,2025-02-04T01:27:10.779273,686.88
wasm_aot,37,2025-02-04T01:38:37.668109,12.83
wasm_interpreted,32,2025-02-04T01:38:50.518542,686.72
wasm_aot,38,2025-02-04T01:50:17.251436,13.28
wasm_interpreted,33,2025-02-04T01:50:30.546227,687.21
docker,27,2025-02-04T02:01:57.769989,12.91
wasm_aot,39,2025-02-04T02:02:10.864279,13.29
wasm_interpreted,34,2025-02-04T02:02:24.164456,687.67
docker,28,2025-02-04T02:13:51.849891,12.38
docker,29,2025-02-04T02:14:04.423473,11.71
docker,30,2025-02-04T02:14:16.327009,11.5
wasm_aot,40,2025-02-04T02:14:28.007326,13.15
wasm_interpreted,35,2025-02-04T02:14:41.171423,686.99
docker,31,2025-02-04T02:26:08.173261,12.4
wasm_aot,41,2025-02-04T02:26:20.739563,13.17
wasm_interpreted,36,2025-02-04T02:26:33.919613,687.21
wasm_aot,42,2025-02-04T02:38:01.142547,12.95
docker,32,2025-02-04T02:38:14.103382,14.42
docker,33,2025-02-04T02:38:28.720803,12.17
wasm_interpreted,37,2025-02-04T02:38:41.059831,687.23
wasm_interpreted,38,2025-02-04T02:50:08.300170,687.08
wasm_aot,43,2025-02-04T03:01:35.391001,12.96
docker,34,2025-02-04T03:01:48.360362,12.65
docker,35,2025-02-04T03:02:01.690107,13.2
docker,36,2025-02-04T03:02:15.104213,11.58
wasm_aot,44,2025-02-04T03:02:26.878241,13.03
wasm_interpreted,39,2025-02-04T03:02:39.921480,686.95
wasm_aot,45,2025-02-04T03:14:06.877858,12.91
wasm_interpreted,40,2025-02-04T03:14:19.794881,686.92
wasm_aot,46,2025-02-04T03:25:46.727481,12.92
wasm_aot,47,2025-02-04T03:25:59.655845,12.97
docker,37,2025-02-04T03:26:12.640007,13.73
wasm_interpreted,41,2025-02-04T03:26:26.559231,686.97
docker,38,2025-02-04T03:37:53.540257,12.2
wasm_interpreted,42,2025-02-04T03:38:05.937319,687.88
wasm_aot,48,2025-02-04T03:49:33.831008,12.89
docker,39,2025-02-04T03:49:46.735060,12.23
wasm_interpreted,43,2025-02-04T03:49:59.166477,687.05
docker,40,2025-02-04T04:01:26.222355,12.07
docker,41,2025-02-04T04:01:38.461621,17.86
wasm_interpreted,44,2025-02-04T04:01:56.508895,686.76
wasm_interpreted,45,2025-02-04T04:13:23.288654,688.14
wasm_aot,49,2025-02-04T04:24:51.438793,12.9
docker,42,2025-02-04T04:25:04.345738,12.57
wasm_interpreted,46,2025-02-04T04:25:17.121621,688.22
docker,43,2025-02-04T04:36:45.356061,11.77
wasm_interpreted,47,2025-02-04T04:36:57.295198,687.12
wasm_aot,50,2025-02-04T04:48:24.429369,13.16
docker,44,2025-02-04T04:48:37.597578,12.31
docker,45,2025-02-04T04:48:50.099195,11.66
wasm_interpreted,48,2025-02-04T04:49:01.945240,687.33
docker,46,2025-02-04T05:00:29.283326,16.68
docker,47,2025-02-04T05:00:46.136609,11.83
wasm_interpreted,49,2025-02-04T05:00:58.129790,686.98
docker,48,2025-02-04T05:12:25.120425,12.83
docker,49,2025-02-04T05:12:38.120074,11.64
docker,50,2025-02-04T05:12:49.927121,11.66
wasm_interpreted,50,2025-02-04T05:13:01.778471,686.63
