experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,1,2025-02-02T02:59:29.349367,5.08
wasm_interpreted,1,2025-02-02T02:59:34.583384,5.09
wasm_interpreted,2,2025-02-02T02:59:39.688141,5.11
wasm_interpreted,3,2025-02-02T02:59:44.804647,5.1
wasm_interpreted,4,2025-02-02T02:59:49.918044,5.15
wasm_interpreted,5,2025-02-02T02:59:55.081497,5.11
docker,1,2025-02-02T03:00:00.209074,6.67
wasm_aot,2,2025-02-02T03:00:07.081324,5.08
docker,2,2025-02-02T03:00:12.176143,6.56
wasm_aot,3,2025-02-02T03:00:18.997134,5.1
docker,3,2025-02-02T03:00:24.106244,6.53
docker,4,2025-02-02T03:00:30.826340,6.52
docker,5,2025-02-02T03:00:37.548275,6.44
wasm_aot,4,2025-02-02T03:00:44.180324,5.08
wasm_aot,5,2025-02-02T03:00:49.273262,5.11
