experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,1,2025-02-03T01:27:50.845274,9.07
wasm_interpreted,1,2025-02-03T01:28:00.062341,9.09
docker,1,2025-02-03T01:28:09.161253,10.46
wasm_aot,2,2025-02-03T01:28:19.799967,9.07
wasm_aot,3,2025-02-03T01:28:28.885049,9.09
wasm_interpreted,2,2025-02-03T01:28:37.987593,9.09
docker,2,2025-02-03T01:28:47.087729,10.38
wasm_aot,4,2025-02-03T01:28:57.651621,9.06
docker,3,2025-02-03T01:29:06.722179,10.5
wasm_interpreted,3,2025-02-03T01:29:17.429235,9.06
docker,4,2025-02-03T01:29:26.500005,10.41
docker,5,2025-02-03T01:29:37.098242,10.49
wasm_aot,5,2025-02-03T01:29:47.789710,9.06
wasm_interpreted,4,2025-02-03T01:29:56.861178,9.09
wasm_interpreted,5,2025-02-03T01:30:05.968702,9.08
docker,6,2025-02-03T01:30:15.065627,10.43
docker,7,2025-02-03T01:30:25.727757,10.42
docker,8,2025-02-03T01:30:36.339652,10.45
wasm_interpreted,6,2025-02-03T01:30:46.998780,9.06
wasm_aot,6,2025-02-03T01:30:56.070349,9.09
docker,9,2025-02-03T01:31:05.171272,10.38
wasm_aot,7,2025-02-03T01:31:15.762365,9.05
wasm_interpreted,7,2025-02-03T01:31:24.828425,9.09
wasm_interpreted,8,2025-02-03T01:31:33.930523,9.06
wasm_aot,8,2025-02-03T01:31:42.999344,9.1
docker,10,2025-02-03T01:31:52.113958,10.4
wasm_interpreted,9,2025-02-03T01:32:02.727674,9.05
wasm_aot,9,2025-02-03T01:32:11.793974,9.1
wasm_aot,10,2025-02-03T01:32:20.903362,9.09
wasm_interpreted,10,2025-02-03T01:32:30.011330,9.1
