experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,1,2025-02-01T14:23:51.972465,2.53
wasm_aot,2,2025-02-01T14:23:54.704856,2.4
docker,1,2025-02-01T14:23:57.114932,3.63
wasm_interpreted,1,2025-02-01T14:24:00.929236,28.41
wasm_interpreted,2,2025-02-01T14:24:29.353281,28.23
wasm_interpreted,3,2025-02-01T14:24:57.590797,28.19
docker,2,2025-02-01T14:25:25.786131,3.36
docker,3,2025-02-01T14:25:29.317523,3.38
wasm_aot,3,2025-02-01T14:25:32.891361,2.16
wasm_interpreted,4,2025-02-01T14:25:35.057497,28.23
docker,4,2025-02-01T14:26:03.297658,3.13
wasm_aot,4,2025-02-01T14:26:06.616127,2.24
wasm_interpreted,5,2025-02-01T14:26:08.870503,28.01
docker,5,2025-02-01T14:26:36.890018,4.01
wasm_aot,5,2025-02-01T14:26:41.066085,2.32
docker,6,2025-02-01T14:26:43.396133,3.35
wasm_aot,6,2025-02-01T14:26:46.915859,1.95
wasm_interpreted,6,2025-02-01T14:26:48.872420,28.13
wasm_interpreted,7,2025-02-01T14:27:17.012781,28.12
wasm_aot,7,2025-02-01T14:27:45.139837,1.95
docker,7,2025-02-01T14:27:47.104645,3.1
wasm_aot,8,2025-02-01T14:27:50.394548,2.18
docker,8,2025-02-01T14:27:52.583967,3.31
docker,9,2025-02-01T14:27:56.073359,3.46
wasm_interpreted,8,2025-02-01T14:27:59.712017,28.11
wasm_aot,9,2025-02-01T14:28:27.836982,2.17
wasm_aot,10,2025-02-01T14:28:30.012428,2.15
docker,10,2025-02-01T14:28:32.170622,3.38
wasm_interpreted,9,2025-02-01T14:28:35.741281,28.2
wasm_aot,11,2025-02-01T14:29:03.946453,2.13
wasm_aot,12,2025-02-01T14:29:06.085118,1.97
wasm_aot,13,2025-02-01T14:29:08.061261,2.15
wasm_interpreted,10,2025-02-01T14:29:10.221814,28.17
docker,11,2025-02-01T14:29:38.403472,3.06
wasm_interpreted,11,2025-02-01T14:29:41.648075,28.25
wasm_interpreted,12,2025-02-01T14:30:09.904154,28.1
wasm_aot,14,2025-02-01T14:30:38.016743,2.2
