experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time
docker_container,1,2025-02-04T08:39:36.304587,59528606929,54128132899,9465913585,67248269,61657,24044491968,7939863506,206191074,558,61098,180583370,309301248
docker_container_and_daemon,1,2025-02-04T08:39:36.304587,63582269550,62068808693,10390291187,184246588,64364,24770443899,8167062694,507053404,580,63782,235217627,357294080
wasm_interpreted,1,2025-02-04T08:40:13.128337,126114454359,132366955412,77861377070,169696614,149998,69495869855,15457626017,838051502,723,149274,188292131,343891968
wasm_interpreted,2,2025-02-04T08:40:58.355631,181513478674,185540590818,92162388478,224768294,233447,110963612441,23632401050,1236128455,645,232800,196255305,357314560
wasm_aot,1,2025-02-04T08:41:41.750715,222878468234,228408959889,95713650461,292564900,333622,129864291978,31073528340,1402259260,749,332872,257164209,353341440
wasm_interpreted,3,2025-02-04T08:42:01.201006,291336405637,292712610263,123456088457,369290688,408047,160320404058,41150802674,1833732866,724,407322,219502262,370262016
wasm_interpreted,4,2025-02-04T08:42:47.918170,356059890303,367770848397,152538648533,459641619,480317,198494993408,51922064959,2200172368,712,479605,223206912,366637056
docker_container,2,2025-02-04T08:43:35.892732,71243849758,61948626822,13448227032,76874017,61479,31212266056,11330460283,177584956,547,60933,188019411,288784384
docker_container_and_daemon,2,2025-02-04T08:43:35.892732,76093783304,69631299783,16285390137,454652342,67265,37455616960,11919162389,204119115,667,66535,257170349,325373952
docker_container,3,2025-02-04T08:44:20.925877,70870549889,60096911841,12555157038,68467576,61792,27976224993,11555324197,176140667,83,61704,159278967,253042688
docker_container_and_daemon,3,2025-02-04T08:44:20.925877,76510473646,71309844180,15756178790,84414768,66274,34897009742,13442489378,364986156,94,66176,218478205,283078656
wasm_interpreted,5,2025-02-04T08:45:02.692004,432092944673,440925279793,180210151426,540040286,552686,231793788369,62651351984,2544858810,1392,551294,231519573,353456128
docker_container,4,2025-02-04T08:46:00.835839,69419951449,59132151460,13497698851,71979940,60737,29449363111,11444143493,167684267,537,60200,175990921,289267712
docker_container_and_daemon,4,2025-02-04T08:46:00.835839,75607068381,66339070925,15824722045,100903952,68407,35286614293,12383716932,397613512,596,67800,253939187,325120000
wasm_aot,2,2025-02-04T08:46:46.146349,487652958141,486230545014,189804388643,609702883,626823,255780321380,71373628522,2697672664,1948,624873,258224344,340627456
wasm_aot,3,2025-02-04T08:47:18.371095,549252273666,538969668790,199406173850,682099648,698750,281177456548,81038113662,2842873708,1992,696757,278330612,341417984
docker_container,5,2025-02-04T08:47:49.809568,65742871757,55722340971,12029231825,74268300,60689,28795306605,10680290191,142040928,505,60184,149991796,283877376
docker_container_and_daemon,5,2025-02-04T08:47:49.809568,71907430909,63978488849,14115330431,90665266,71017,36670592399,12025537032,210584444,617,70371,240166862,319475712
docker_container,6,2025-02-04T08:48:37.624998,66854202479,58849173673,11502302207,68718562,62194,27365635222,10544489386,153573171,115,62067,130869476,265043968
docker_container_and_daemon,6,2025-02-04T08:48:37.624998,71719421842,63180750097,12459060904,73497419,65887,29310892491,11316520952,166135948,123,65749,215639633,304099328
docker_container,7,2025-02-04T08:49:20.308461,10878240620,12304596934,3529434208,40139197,42171,7423152712,1829484861,79049493,157,42014,73186645,183742464
