experiment_type,trial_number,start_time,wall-time-seconds
docker,1,2025-02-04T10:50:20.764632,12.84
wasm_aot,1,2025-02-04T10:50:34.168850,11.74
wasm_aot,2,2025-02-04T10:50:45.918302,9.6
wasm_aot,3,2025-02-04T10:50:55.529039,9.76
docker,2,2025-02-04T10:51:05.303543,11.28
wasm_interpreted,1,2025-02-04T10:51:16.877901,35.99
wasm_aot,4,2025-02-04T10:51:52.876498,9.1
wasm_aot,5,2025-02-04T10:52:01.990518,9.15
wasm_aot,6,2025-02-04T10:52:11.159214,9.15
docker,3,2025-02-04T10:52:20.324965,11.39
wasm_aot,7,2025-02-04T10:52:31.905032,9.42
docker,4,2025-02-04T10:52:41.332664,10.63
docker,5,2025-02-04T10:52:52.148814,10.76
wasm_interpreted,2,2025-02-04T10:53:03.147291,35.66
wasm_interpreted,3,2025-02-04T10:53:38.813304,34.72
docker,6,2025-02-04T10:54:13.546421,10.68
wasm_aot,8,2025-02-04T10:54:24.408662,8.83
wasm_aot,9,2025-02-04T10:54:33.250448,8.94
wasm_interpreted,4,2025-02-04T10:54:42.201508,34.96
docker,7,2025-02-04T10:55:17.176747,9.6
docker,8,2025-02-04T10:55:26.950753,9.64
docker,9,2025-02-04T10:55:36.768370,10.08
wasm_aot,10,2025-02-04T10:55:47.031037,9.17
docker,10,2025-02-04T10:55:56.208419,10.39
wasm_interpreted,5,2025-02-04T10:56:06.780309,34.84
docker,11,2025-02-04T10:56:41.631195,9.73
wasm_interpreted,6,2025-02-04T10:56:51.535431,34.63
wasm_interpreted,7,2025-02-04T10:57:26.172877,34.83
wasm_aot,11,2025-02-04T10:58:01.018255,8.7
docker,12,2025-02-04T10:58:09.728244,9.72
wasm_aot,12,2025-02-04T10:58:19.620971,8.71
wasm_interpreted,8,2025-02-04T10:58:28.346931,34.78
wasm_aot,13,2025-02-04T10:59:03.140577,8.61
wasm_interpreted,9,2025-02-04T10:59:11.764574,34.89
wasm_interpreted,10,2025-02-04T10:59:46.665812,34.85
wasm_aot,14,2025-02-04T11:00:21.531369,8.81
wasm_aot,15,2025-02-04T11:00:30.347746,8.79
wasm_interpreted,11,2025-02-04T11:00:39.149914,34.73
docker,13,2025-02-04T11:01:13.890975,9.78
wasm_interpreted,12,2025-02-04T11:01:23.841470,34.51
docker,14,2025-02-04T11:01:58.364075,9.37
docker,15,2025-02-04T11:02:07.900251,9.42
docker,16,2025-02-04T11:02:17.510307,10.47
wasm_aot,16,2025-02-04T11:02:28.157650,8.71
wasm_aot,17,2025-02-04T11:02:36.880562,8.81
wasm_aot,18,2025-02-04T11:02:45.705727,8.96
docker,17,2025-02-04T11:02:54.679606,10.02
docker,18,2025-02-04T11:03:04.915541,9.7
wasm_interpreted,13,2025-02-04T11:03:14.798589,34.96
wasm_interpreted,14,2025-02-04T11:03:49.771270,34.79
wasm_aot,19,2025-02-04T11:04:24.573180,8.82
docker,19,2025-02-04T11:04:33.401986,10.25
wasm_interpreted,15,2025-02-04T11:04:43.817508,34.9
docker,20,2025-02-04T11:05:18.732612,9.46
wasm_aot,20,2025-02-04T11:05:28.361843,8.8
wasm_aot,21,2025-02-04T11:05:37.170741,8.88
wasm_aot,22,2025-02-04T11:05:46.057788,8.97
wasm_interpreted,16,2025-02-04T11:05:55.034540,34.59
docker,21,2025-02-04T11:06:29.638972,9.66
wasm_aot,23,2025-02-04T11:06:39.458141,8.67
docker,22,2025-02-04T11:06:48.138073,9.72
wasm_interpreted,17,2025-02-04T11:06:58.062484,34.81
wasm_interpreted,18,2025-02-04T11:07:32.890980,34.85
wasm_aot,24,2025-02-04T11:08:07.751233,8.71
wasm_interpreted,19,2025-02-04T11:08:16.468674,34.53
wasm_interpreted,20,2025-02-04T11:08:51.004148,34.81
wasm_aot,25,2025-02-04T11:09:25.832387,8.61
wasm_aot,26,2025-02-04T11:09:34.450845,8.62
wasm_aot,27,2025-02-04T11:09:43.084864,8.71
