experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
wasm_aot,1,2025-02-17T17:32:08.134737,98409623689.0,81141928637.0,18161189886.0,91104318.0,70028.0,42692125203.0,16256862073.0,228082969.0,4.0,70024.0,173032301.71,187695104.0,51.85,50.03,1.8
docker_container,1,2025-02-17T17:32:55.481369,173905139731.0,132532359676.0,30570521888.0,115974390.0,27962.0,67349889200.0,27951224479.0,223867450.0,571.0,27388.0,159241830.4,174088192.0,48.93,46.44,2.49
docker_container_and_daemon,1,2025-02-17T17:32:55.481369,177262215778.51,135479622381.82,32325373883.38,150626761.85,29812.26,71627956944.35,29486105354.88,516490093.68,579.38,29229.88,205296553.64,216043520.0,48.98,46.46,2.52
wasm_aot,2,2025-02-17T17:34:23.647297,130828132524.0,103043977797.0,23347940999.0,105763435.0,69555.0,51292618238.0,20711078262.0,225755946.0,655.0,68900.0,234538086.4,272130048.0,52.37,50.05,2.29
wasm_aot,3,2025-02-17T17:35:25.952096,132370305121.0,102974079964.0,22244385869.0,105253357.0,68800.0,48812319489.0,20379768245.0,218521554.0,0.0,68800.0,156021028.57,165875712.0,55.58,53.43,2.14
wasm_interpreted,1,2025-02-17T17:36:24.861214,145621727109.0,130176464658.0,38287701088.0,111213981.0,72837.0,63097862997.0,22636700022.0,429844038.0,38.0,72799.0,183386258.29,199692288.0,44.01,42.67,1.34
docker_container,2,2025-02-17T17:37:49.260549,181056808834.0,137905152953.0,31024657642.0,119172571.0,28956.0,68394753380.0,29569477883.0,243493495.0,572.0,28384.0,177454550.49,194633728.0,45.99,43.54,2.45
docker_container_and_daemon,2,2025-02-17T17:37:49.260549,185427210086.13,146754412346.77,31834738948.24,218968242.99,31098.96,70242569610.44,30720420352.51,575383326.07,579.94,30518.01,220237870.02,232783872.0,46.1,43.57,2.53
docker_container,3,2025-02-17T17:39:25.820817,150615957389.0,118117084195.0,27651240781.0,105674316.0,28393.0,60118434095.0,24753150367.0,198852455.0,0.0,28390.0,92801024.0,99811328.0,46.93,44.57,2.36
docker_container_and_daemon,3,2025-02-17T17:39:25.820817,154633455074.7,121812825715.21,28776060101.97,133935537.52,29187.12,61438036373.91,25469052609.69,379086204.08,0.0,29184.12,133526053.46,138313728.0,46.99,44.59,2.4
native,1,2025-02-17T17:40:51.953075,146466975685.0,114383450366.0,25589901016.0,103951517.0,30563.0,56499955940.0,24545927628.0,223979871.0,449.0,30114.0,180289710.3,192757760.0,51.87,49.88,1.98
docker_container,4,2025-02-17T17:42:03.171119,181353798157.0,139579901271.0,31527922262.0,125454731.0,28073.0,69798130528.0,29469051819.0,225708607.0,275.0,27794.0,143583670.86,156364800.0,51.44,48.76,2.69
docker_container_and_daemon,4,2025-02-17T17:42:03.171119,185317705943.58,145043342497.25,32852523742.32,155600139.57,28911.44,73247727858.63,30175515390.62,251321886.25,283.25,28624.21,188224011.91,194584576.0,51.5,48.78,2.72
docker_container,5,2025-02-17T17:43:33.825555,178170132611.0,135054531775.0,32585357434.0,122155883.0,26156.0,71560202953.0,29911866275.0,227132418.0,0.0,26154.0,84561488.84,91930624.0,52.92,50.23,2.69
docker_container_and_daemon,5,2025-02-17T17:43:33.825555,185264251721.15,141144250057.93,39704567161.13,169619729.53,27156.46,79967237296.52,31892475702.5,346446774.43,0.0,27154.46,126411128.64,130039808.0,52.97,50.25,2.72
