experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
wasm_aot,1,2025-02-17T14:08:19.628846,67988497676.0,56155403925.0,12748945127.0,63679485.0,46221.0,28324858735.0,10771892958.0,194883599.0,0.0,46221.0,136801393.78,153001984.0,54.2,52.18,1.9
docker_container,1,2025-02-17T14:08:50.761534,117679641161.0,93432660038.0,19998656595.0,81755196.0,20574.0,44431198137.0,18691162262.0,189703343.0,0.0,20572.0,95356093.63,102846464.0,49.71,47.31,2.4
docker_container_and_daemon,1,2025-02-17T14:08:50.761534,122599049932.03,106790256332.74,20513062014.74,121149180.36,20973.58,45496278963.36,19117822159.74,645994101.77,0.0,20971.58,146794225.51,153911296.0,49.84,47.38,2.46
docker_container,2,2025-02-17T14:09:47.096033,132418487466.0,103156697766.0,23342867407.0,83959054.0,23068.0,49738665310.0,21234608197.0,177508704.0,31.0,23022.0,74876397.04,80531456.0,52.83,50.31,2.52
docker_container_and_daemon,2,2025-02-17T14:09:47.096033,137378911992.52,107892145691.61,24252871716.26,87248146.76,23856.55,51579031180.8,22006316663.56,403682387.85,28.61,23820.77,125093652.98,130232320.0,52.87,50.32,2.55
wasm_interpreted,1,2025-02-17T14:10:52.117063,107153267277.0,95358500223.0,33269962300.0,84364910.0,53235.0,51038181109.0,17068664705.0,388690171.0,606.0,52629.0,193477523.06,218263552.0,40.82,39.62,1.18
wasm_interpreted,2,2025-02-17T14:12:00.732630,101775698537.0,100860761350.0,30503698864.0,88357760.0,52720.0,47700919807.0,14856814552.0,423914035.0,0.0,52720.0,124753822.48,150110208.0,41.36,40.32,1.04
wasm_aot,2,2025-02-17T14:13:03.948744,86533799191.0,66340035674.0,15676809042.0,69797596.0,46808.0,35305476105.0,13389388819.0,182647376.0,99.0,46709.0,144002313.48,161583104.0,52.02,49.97,2.02
wasm_interpreted,3,2025-02-17T14:13:44.695600,103778281685.0,101696523500.0,30790056131.0,83777560.0,52597.0,48172703490.0,15251224159.0,449613789.0,39.0,52558.0,131216312.56,144912384.0,40.13,39.17,0.96
docker_container,3,2025-02-17T14:14:50.578787,125113295797.0,94352884881.0,22255632507.0,85706055.0,24058.0,49683546654.0,20961606138.0,187861104.0,596.0,23463.0,141136418.13,157323264.0,47.37,44.82,2.55
docker_container_and_daemon,3,2025-02-17T14:14:50.578787,129902723549.78,96506514201.33,23354160050.91,158595918.54,25011.56,51134576795.75,21674139976.45,351462027.62,607.3,24405.27,187475935.49,198459392.0,47.46,44.85,2.61
