experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,1,2025-02-18T17:00:55.495529,30.41
native,1,2025-02-18T17:01:26.109746,25.01
wasm_interpreted,1,2025-02-18T17:01:51.142462,48.34
native,2,2025-02-18T17:02:39.493026,25.24
docker,1,2025-02-18T17:03:04.757460,33.93
wasm_interpreted,2,2025-02-18T17:03:39.634597,52.16
native,3,2025-02-18T17:04:31.808464,24.43
wasm_interpreted,3,2025-02-18T17:04:56.256902,46.33
wasm_aot,2,2025-02-18T17:05:42.599598,22.19
wasm_interpreted,4,2025-02-18T17:06:04.802025,47.83
docker,2,2025-02-18T17:06:52.646771,32.62
docker,3,2025-02-18T17:07:26.132954,21.3
docker,4,2025-02-18T17:07:47.682087,22.51
wasm_interpreted,5,2025-02-18T17:08:10.423600,51.23
docker,5,2025-02-18T17:09:01.676102,27.83
native,4,2025-02-18T17:09:30.065810,24.17
docker,6,2025-02-18T17:09:54.248913,24.52
wasm_interpreted,6,2025-02-18T17:10:19.009532,46.85
wasm_aot,3,2025-02-18T17:11:05.873794,26.15
native,5,2025-02-18T17:11:32.039769,20.85
docker,7,2025-02-18T17:11:52.921424,31.49
native,6,2025-02-18T17:12:24.752520,23.58
wasm_aot,4,2025-02-18T17:12:48.357081,23.05
wasm_aot,5,2025-02-18T17:13:11.419774,25.36
docker,8,2025-02-18T17:13:36.790300,29.34
native,7,2025-02-18T17:14:06.362645,23.48
wasm_interpreted,7,2025-02-18T17:14:29.851198,47.19
native,8,2025-02-18T17:15:17.050381,23.75
wasm_aot,6,2025-02-18T17:15:40.814264,23.08
docker,9,2025-02-18T17:16:03.907743,31.22
docker,10,2025-02-18T17:16:35.365295,22.12
wasm_interpreted,8,2025-02-18T17:16:57.697883,49.63
wasm_aot,7,2025-02-18T17:17:47.334533,25.72
native,9,2025-02-18T17:18:13.068733,22.79
wasm_aot,8,2025-02-18T17:18:35.874746,22.43
native,10,2025-02-18T17:18:58.325188,23.19
wasm_aot,9,2025-02-18T17:19:21.531039,22.34
wasm_interpreted,9,2025-02-18T17:19:43.884306,48.56
wasm_aot,10,2025-02-18T17:20:32.465907,23.87
wasm_aot,11,2025-02-18T17:20:56.350669,22.73
docker,11,2025-02-18T17:21:19.088007,31.08
docker,12,2025-02-18T17:21:50.572823,22.4
wasm_aot,12,2025-02-18T17:22:13.181777,25.83
native,11,2025-02-18T17:22:39.027899,23.57
wasm_aot,13,2025-02-18T17:23:02.615136,22.6
wasm_aot,14,2025-02-18T17:23:25.223902,24.76
native,12,2025-02-18T17:23:50.003543,22.51
wasm_interpreted,10,2025-02-18T17:24:12.525493,46.62
wasm_interpreted,11,2025-02-18T17:24:59.154710,48.15
wasm_interpreted,12,2025-02-18T17:25:47.318728,46.91
wasm_aot,15,2025-02-18T17:26:34.244649,21.87
native,13,2025-02-18T17:26:56.123936,20.52
docker,13,2025-02-18T17:27:16.658120,33.12
docker,14,2025-02-18T17:27:50.647407,22.51
wasm_interpreted,13,2025-02-18T17:28:13.364869,49.18
wasm_aot,16,2025-02-18T17:29:02.559551,25.81
wasm_aot,17,2025-02-18T17:29:28.390190,21.98
wasm_interpreted,14,2025-02-18T17:29:50.383797,46.66
native,14,2025-02-18T17:30:37.060009,21.55
docker,15,2025-02-18T17:30:58.626154,32.3
wasm_aot,18,2025-02-18T17:31:31.238673,23.37
docker,16,2025-02-18T17:31:54.622868,28.18
wasm_interpreted,15,2025-02-18T17:32:23.043241,50.14
native,15,2025-02-18T17:33:13.197772,22.36
native,16,2025-02-18T17:33:35.583623,20.57
wasm_interpreted,16,2025-02-18T17:33:56.170629,46.07
native,17,2025-02-18T17:34:42.257283,21.83
docker,17,2025-02-18T17:35:04.097909,30.75
wasm_interpreted,17,2025-02-18T17:35:35.177923,48.82
wasm_interpreted,18,2025-02-18T17:36:24.007571,49.43
wasm_aot,19,2025-02-18T17:37:13.452394,23.84
docker,18,2025-02-18T17:37:37.306880,29.55
native,18,2025-02-18T17:38:07.096244,22.53
docker,19,2025-02-18T17:38:29.634217,24.58
wasm_interpreted,19,2025-02-18T17:38:54.436416,46.51
docker,20,2025-02-18T17:39:40.963881,28.31
native,19,2025-02-18T17:40:09.478121,23.79
native,20,2025-02-18T17:40:33.281779,20.68
wasm_aot,20,2025-02-18T17:40:53.977419,22.6
wasm_interpreted,20,2025-02-18T17:41:16.587235,49.66
