experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container,1,2025-02-19T16:09:33.579726,7434985660.0,10163729572.0,1911247668.0,34788358.0,72750.0,6135082372.0,771709035.0,94661241.0,43.0,72695.0,213514649.6,317415424.0,20.04,17.83,2.21
docker_container_and_daemon,1,2025-02-19T16:09:33.579726,8440250249.7,11762388880.37,2187772542.96,39743313.47,82067.41,7068882570.81,880126393.37,148446309.52,49.51,82005.28,275599872.0,356528128.0,20.3,17.9,2.4
wasm_aot,1,2025-02-19T16:09:53.070449,11685490990.0,16241274760.0,2676293068.0,50438540.0,153823.0,8188838336.0,1205357981.0,119011956.0,710.0,153113.0,249831424.0,476372992.0,25.51,21.97,3.53
wasm_aot,2,2025-02-19T16:10:11.661807,12238085337.0,19105000369.0,2871954905.0,53507145.0,156736.0,8326360423.0,1157757249.0,152059436.0,142.0,156594.0,261864106.67,447193088.0,28.87,25.21,3.61
wasm_aot,3,2025-02-19T16:10:26.284496,14686561110.0,21333014033.0,3222788096.0,61806525.0,157749.0,9842318703.0,1256270722.0,158667160.0,522.0,157226.0,228159488.0,442466304.0,24.96,22.42,3.09
docker_container,2,2025-02-19T16:10:44.007295,13299441141.0,18603088241.0,3148669568.0,54215542.0,78345.0,9811914872.0,1347812239.0,157281100.0,527.0,77819.0,204681960.73,356024320.0,14.6,13.1,1.5
docker_container_and_daemon,2,2025-02-19T16:10:44.007295,18004243100.02,25620004139.68,3764808395.17,100772819.09,88236.11,10551356172.13,1623516010.58,250657608.14,778.44,87350.87,266421862.4,407912448.0,15.19,13.25,1.94
docker_container,3,2025-02-19T16:11:12.142739,13276317376.0,19163354361.0,2379110599.0,56998857.0,80100.0,8205288189.0,1257957681.0,164978902.0,279.0,79821.0,171273830.4,315904000.0,25.52,23.05,2.46
docker_container_and_daemon,3,2025-02-19T16:11:12.142739,17778666867.03,31737817512.56,3393070496.14,95694006.77,90433.42,9466832255.42,1505611321.78,265289857.58,311.79,90121.52,235883598.77,353230848.0,25.79,23.12,2.67
wasm_aot,4,2025-02-19T16:11:30.642203,13940233677.0,19039199045.0,3088764118.0,58248388.0,157025.0,10066891117.0,1296105282.0,148110110.0,758.0,156267.0,256042325.33,462278656.0,25.65,22.34,3.1
wasm_aot,5,2025-02-19T16:11:49.544042,12731876271.0,17604470430.0,3053889379.0,56594657.0,158218.0,8457697089.0,1197960255.0,159083398.0,250.0,157927.0,254661290.67,439177216.0,25.66,22.57,3.09
wasm_aot,6,2025-02-19T16:12:06.287630,14155070409.0,19933740333.0,3065763407.0,58239450.0,158552.0,10206213158.0,1474829330.0,194567230.0,708.0,157843.0,235387438.55,442961920.0,25.91,24.4,3.3
wasm_aot,7,2025-02-19T16:12:25.127779,13102058281.0,18692344445.0,3346018132.0,59084618.0,187249.0,10137599969.0,1362747568.0,183439938.0,1448.0,185796.0,204842449.45,413032448.0,12.88,11.15,1.73
wasm_aot,8,2025-02-19T16:13:01.250022,13115330686.0,20345074005.0,2921790360.0,55572519.0,157837.0,10058653454.0,1268171092.0,173841503.0,860.0,156976.0,213865813.33,437960704.0,24.81,21.53,3.17
wasm_aot,9,2025-02-19T16:13:21.212070,13773840486.0,18068498957.0,3525070221.0,65578302.0,158845.0,10827091080.0,1437521231.0,146622166.0,845.0,157999.0,218033493.33,443359232.0,25.28,21.8,3.39
wasm_aot,10,2025-02-19T16:13:39.988250,13498719227.0,19251960638.0,3196449411.0,61514712.0,157812.0,8959748313.0,1323716020.0,177273266.0,510.0,157302.0,237823772.44,439181312.0,28.22,24.58,3.64
docker_container,4,2025-02-19T16:13:55.927593,8818166164.0,13384924275.0,2227168630.0,43604693.0,74737.0,6422131285.0,978008611.0,148762173.0,530.0,74208.0,174519091.2,338956288.0,12.64,11.12,1.51
docker_container_and_daemon,4,2025-02-19T16:13:55.927593,10703267988.44,15473884495.14,2723202994.26,51899710.13,83241.73,7253590835.81,1147991455.42,199609526.07,803.42,82323.4,244619673.6,387796992.0,13.31,11.25,2.05
docker_container,5,2025-02-19T16:14:23.491474,13546999276.0,18158061611.0,3176177113.0,57481095.0,79654.0,9709722488.0,1441710365.0,161320609.0,132.0,79501.0,190325964.8,321048576.0,20.32,18.44,1.88
docker_container_and_daemon,5,2025-02-19T16:14:23.491474,26827337951.89,19464008036.79,7193783701.31,260175804.07,85812.03,25009438719.81,3088952544.52,382096487.11,153.01,85632.81,231182043.43,364490752.0,20.86,18.58,2.28
docker_container,6,2025-02-19T16:14:42.765659,10108295654.0,14451943426.0,2277849506.0,41701131.0,77573.0,7987417963.0,1089517247.0,147436733.0,272.0,77287.0,183282801.78,327278592.0,21.16,19.14,2.02
docker_container_and_daemon,6,2025-02-19T16:14:42.765659,11062204505.99,15629652508.76,2439125388.0,45534850.28,84060.59,9287552414.11,1228744828.2,198118650.6,310.52,83730.73,226736285.54,363933696.0,21.65,19.21,2.42
wasm_aot,11,2025-02-19T16:15:00.927013,14162115609.0,20462157192.0,2854322363.0,64569489.0,157976.0,8958288802.0,1281757430.0,166170475.0,825.0,157151.0,228353890.46,437641216.0,22.81,19.59,3.19
docker_container,7,2025-02-19T16:15:20.901046,12389210638.0,16410707699.0,2518380372.0,53738658.0,100441.0,8486665541.0,1283234654.0,193493156.0,720.0,99722.0,168787558.4,323719168.0,16.53,14.66,1.87
docker_container_and_daemon,7,2025-02-19T16:15:20.901046,14087833406.18,18306894049.52,2782207245.76,58746897.3,107881.19,9173410340.24,1388370888.09,245959186.7,986.07,106818.31,222214912.0,368930816.0,17.08,14.76,2.31
wasm_aot,12,2025-02-19T16:15:48.467915,11232194560.0,16854433199.0,2660540594.0,49836774.0,154269.0,8336482237.0,1211990234.0,156308279.0,720.0,153549.0,240402804.36,473313280.0,21.81,18.63,3.07
docker_container,8,2025-02-19T16:16:06.761300,10409984909.0,15418026111.0,2527416723.0,41723717.0,74541.0,7527218728.0,1126315550.0,147127888.0,524.0,74018.0,177434168.89,337199104.0,13.3,11.71,1.59
docker_container_and_daemon,8,2025-02-19T16:16:06.761300,12242714402.88,16916994802.83,3334388008.46,47212657.62,83400.12,9056177378.22,1619091572.59,235549613.66,788.8,82524.03,225988881.07,385101824.0,14.01,11.81,2.2
wasm_aot,13,2025-02-19T16:16:32.754027,13502017448.0,20578263654.0,3009973405.0,56146583.0,158171.0,9012778293.0,1322295763.0,161847562.0,853.0,157317.0,235787410.29,453750784.0,25.41,21.99,3.32
docker_container,9,2025-02-19T16:16:51.506252,12581760276.0,16518879083.0,2981080381.0,56076381.0,79039.0,9378700798.0,1361998392.0,155525233.0,532.0,78507.0,188180070.4,351952896.0,16.64,15.06,1.57
docker_container_and_daemon,9,2025-02-19T16:16:51.506252,15160211131.32,17987948161.85,4513849931.99,77077450.0,86469.04,12120469639.26,2362762460.24,204182244.7,815.31,85534.49,243707084.8,406642688.0,17.33,15.26,2.07
docker_container,10,2025-02-19T16:17:18.004718,14014985937.0,18100417451.0,2742891277.0,50953364.0,80355.0,9115874444.0,1372584313.0,148570832.0,290.0,80065.0,190317772.8,321744896.0,26.05,23.61,2.45
docker_container_and_daemon,10,2025-02-19T16:17:18.004718,17492621746.6,21689662752.76,3314694937.12,58430995.5,88998.06,10112947657.18,1699225179.5,174867833.38,326.18,88667.66,237120590.77,373071872.0,26.54,23.76,2.78
wasm_aot,14,2025-02-19T16:17:35.587275,13821439801.0,21857990193.0,3321661203.0,63456028.0,157323.0,10687821292.0,1383718842.0,199414293.0,1035.0,156288.0,224416689.23,453226496.0,23.44,20.29,3.13
docker_container,11,2025-02-19T16:17:55.880651,10344134457.0,13902455427.0,2696636137.0,49674795.0,78205.0,8726190950.0,1322655883.0,129233700.0,530.0,77676.0,179167232.0,338579456.0,14.23,12.72,1.5
docker_container_and_daemon,11,2025-02-19T16:17:55.880651,12900390185.5,15152527307.74,3820392334.38,74960091.26,85613.38,12050632855.55,1560028356.55,207464813.1,784.8,84753.46,229460923.73,390131712.0,14.84,12.81,2.01
docker_container,12,2025-02-19T16:18:21.994777,10654937242.0,14401068766.0,2378348223.0,47220468.0,79038.0,7585197184.0,1178771906.0,148797740.0,285.0,78754.0,201093575.11,336326656.0,21.83,19.75,2.08
docker_container_and_daemon,12,2025-02-19T16:18:21.994777,18178481187.24,20866636898.82,4216352070.7,73747083.87,84299.86,10852724349.25,1733484721.63,208601922.18,307.41,83992.41,229563245.71,381894656.0,22.0,19.79,2.2
docker_container,13,2025-02-19T16:18:40.264484,13316567249.0,18079514929.0,2782161006.0,52427212.0,79569.0,9928639687.0,1471403024.0,189333508.0,355.0,79212.0,178693461.33,320380928.0,23.86,21.61,2.25
docker_container_and_daemon,13,2025-02-19T16:18:40.264484,18260285145.42,19402118833.2,4621444215.52,72733652.39,86140.01,13863690114.36,2054129057.0,300767517.19,386.28,85749.4,229364882.29,357634048.0,24.2,21.71,2.48
docker_container,14,2025-02-19T16:18:58.968850,12827569374.0,17558078525.0,2570255502.0,57758317.0,79870.0,9082954276.0,1215914829.0,137992112.0,286.0,79579.0,187665066.67,328253440.0,19.32,17.49,1.83
docker_container_and_daemon,14,2025-02-19T16:18:58.968850,17087992174.35,19483891621.11,3928944382.14,80732200.41,88360.36,11048845114.13,1755750165.26,156792766.23,429.94,87824.06,226241792.0,365080576.0,20.06,17.69,2.37
wasm_aot,15,2025-02-19T16:19:20.832255,15602252871.0,22996266887.0,3487195090.0,65392302.0,173063.0,11138563818.0,1514094406.0,214620063.0,5228.0,167834.0,232315172.57,433872896.0,1.28,1.02,0.26
wasm_aot,16,2025-02-19T16:25:55.151569,11277505527.0,17308335432.0,2905503220.0,53522118.0,156181.0,8793843282.0,1286145293.0,142582666.0,561.0,155620.0,269370982.4,468602880.0,26.37,22.73,3.52
docker_container,15,2025-02-19T16:26:10.532151,12632171000.0,17650919609.0,2450422979.0,49799044.0,78141.0,8485709199.0,1280466657.0,143514673.0,538.0,77600.0,182940467.2,352137216.0,15.18,13.59,1.59
docker_container_and_daemon,15,2025-02-19T16:26:10.532151,88186204537.95,44185601795.5,26479293606.34,54349575.14,84863.42,9114628400.47,8749499393.74,458725160.87,662.72,84159.39,249781979.43,401907712.0,15.59,13.7,1.89
docker_container,16,2025-02-19T16:26:36.478167,14506737883.0,22016893437.0,2917433495.0,53701495.0,81260.0,9413252453.0,1378873111.0,191296069.0,327.0,80933.0,190251827.2,322183168.0,22.53,20.42,2.11
docker_container_and_daemon,16,2025-02-19T16:26:36.478167,89974089027.56,44164151033.55,22465430185.68,65817565.48,88436.1,18234029276.98,9328496731.59,587019320.8,459.04,87928.87,240396288.0,354922496.0,23.05,20.57,2.48
wasm_aot,17,2025-02-19T16:26:56.967335,13727893330.0,20876666664.0,3274510340.0,55777694.0,157623.0,9899512687.0,1395433766.0,186896168.0,968.0,156654.0,230820864.0,452407296.0,24.17,21.04,3.07
wasm_aot,18,2025-02-19T16:27:16.792550,14108649996.0,20064187661.0,3212325743.0,59898566.0,158002.0,9771910432.0,1320645198.0,173665322.0,676.0,157325.0,239192250.18,441741312.0,26.37,23.2,3.17
docker_container,17,2025-02-19T16:27:35.510667,12268705748.0,17153988467.0,2818586950.0,60454854.0,79526.0,8234671258.0,1160498035.0,155139091.0,631.0,78895.0,172657049.6,326246400.0,15.57,14.04,1.52
docker_container_and_daemon,17,2025-02-19T16:27:35.510667,92735009743.64,69587954868.14,24663945891.08,94151812.52,89044.64,21244563736.81,8253546481.95,582404738.56,930.31,87995.89,230214912.0,378265600.0,16.33,14.19,2.14
wasm_aot,19,2025-02-19T16:28:02.772118,11978743264.0,18294494595.0,3397052577.0,62662641.0,158449.0,9527916692.0,1303923117.0,172995423.0,919.0,157529.0,222735701.33,438120448.0,24.28,21.07,3.03
docker_container,18,2025-02-19T16:28:22.421305,13544692373.0,20739905453.0,3195923445.0,66607890.0,79494.0,9919186810.0,1565435301.0,184356766.0,619.0,78875.0,162156544.0,323743744.0,14.26,12.83,1.43
docker_container_and_daemon,18,2025-02-19T16:28:22.421305,75808896441.63,33011747758.16,22679152370.0,73211613.57,87716.76,10784199007.38,7976880841.72,493003203.76,935.86,86671.94,224993520.94,371216384.0,14.9,12.99,1.92
wasm_aot,20,2025-02-19T16:28:53.418752,13519261334.0,20956313632.0,2795197990.0,55290475.0,157018.0,9524750222.0,1422536269.0,198744110.0,728.0,156290.0,236875776.0,463765504.0,25.69,22.3,3.27
docker_container,19,2025-02-19T16:29:11.554355,11090957624.0,14738920165.0,2562247130.0,54431801.0,76786.0,8105058759.0,1075972040.0,133191326.0,529.0,76258.0,175283404.8,344801280.0,13.25,11.96,1.29
docker_container_and_daemon,19,2025-02-19T16:29:11.554355,61909744339.18,16096147588.95,19615938011.87,60254725.35,84318.06,13171602010.67,6928205211.33,158867029.78,823.25,83380.59,243941616.94,403197952.0,13.91,12.12,1.78
