experiment_type,trial_number,start_time,wall-time-seconds
wasm_aot,1,2025-02-19T16:30:00.230623,14.17
docker,1,2025-02-19T16:30:14.559394,17.2
docker,2,2025-02-19T16:30:32.443878,10.42
docker,3,2025-02-19T16:30:43.264754,10.06
wasm_aot,2,2025-02-19T16:30:53.585388,13.95
docker,4,2025-02-19T16:31:07.545054,15.77
wasm_aot,3,2025-02-19T16:31:23.808309,10.94
wasm_aot,4,2025-02-19T16:31:34.772017,10.48
wasm_aot,5,2025-02-19T16:31:45.276444,8.29
wasm_aot,6,2025-02-19T16:31:53.587835,8.3
docker,5,2025-02-19T16:32:01.903087,16.38
docker,6,2025-02-19T16:32:18.835174,9.91
wasm_aot,7,2025-02-19T16:32:28.977707,13.46
docker,7,2025-02-19T16:32:42.454774,17.03
wasm_aot,8,2025-02-19T16:32:59.978995,11.21
wasm_aot,9,2025-02-19T16:33:11.198309,10.47
wasm_aot,10,2025-02-19T16:33:21.686917,6.62
wasm_aot,11,2025-02-19T16:33:28.316722,7.12
wasm_aot,12,2025-02-19T16:33:35.450399,6.12
wasm_aot,13,2025-02-19T16:33:41.583864,6.07
docker,8,2025-02-19T16:33:47.663083,18.49
docker,9,2025-02-19T16:34:07.136590,8.1
docker,10,2025-02-19T16:34:15.418563,9.18
docker,11,2025-02-19T16:34:24.776316,7.9
wasm_aot,14,2025-02-19T16:34:32.852313,11.64
wasm_aot,15,2025-02-19T16:34:44.502962,9.44
wasm_aot,16,2025-02-19T16:34:53.961117,9.39
docker,12,2025-02-19T16:35:03.369210,16.26
docker,13,2025-02-19T16:35:19.917768,9.73
docker,14,2025-02-19T16:35:29.850049,8.71
wasm_aot,17,2025-02-19T16:35:38.741049,10.99
docker,15,2025-02-19T16:35:49.740424,14.81
docker,16,2025-02-19T16:36:04.774640,8.78
wasm_aot,18,2025-02-19T16:36:13.779304,10.16
docker,17,2025-02-19T16:36:23.948425,13.42
docker,18,2025-02-19T16:36:37.576443,7.7
docker,19,2025-02-19T16:36:45.478640,9.15
wasm_aot,19,2025-02-19T16:36:54.844802,12.65
docker,20,2025-02-19T16:37:07.505707,15.32
wasm_aot,20,2025-02-19T16:37:23.050603,10.23
