experiment_type,trial_number,start_time,instructions,cpu-cycles,cache-references,cache-misses,page-faults,bus-cycles,branch-instructions,branch-misses,major-faults,minor-faults,avg_memory_over_time,max_memory_over_time,cpu_total_utilization,cpu_user_utilization,cpu_system_utilization
docker_container,1,2025-03-09T17:06:06.614360,43910849732.0,42369333079.0,7577235852.0,60065224.0,59716.0,19005744494.0,6714517653.0,177261297.0,545.0,59172.0,200287783.38,283971584.0,32.77,31.08,1.69
docker_container_and_daemon,1,2025-03-09T17:06:06.614360,46432659960.76,43923417732.59,7944011122.52,58955783.13,58017.52,19725039844.48,7012877074.69,262135743.15,198.1,57715.73,284832674.91,340697088.0,32.95,31.11,1.84
wasm_aot,1,2025-03-09T17:06:38.405530,24248188752.0,28736974826.0,4856719637.0,51053580.0,72300.0,12985308141.0,3469489421.0,184742121.0,715.0,71586.0,137130803.2,338063360.0,37.3,34.72,2.26
wasm_aot,2,2025-03-09T17:06:55.884487,37314755231.0,37037378393.0,7015888455.0,61214142.0,73196.0,16801769051.0,5356891086.0,187538457.0,3.0,73194.0,167705506.91,269611008.0,49.88,47.15,2.65
wasm_aot,3,2025-03-09T17:07:12.838201,34902423298.0,33992585302.0,6311653683.0,56413365.0,71971.0,15617771070.0,5754586923.0,184152246.0,0.0,71971.0,182694707.2,260837376.0,46.7,44.84,1.86
docker_container,2,2025-03-09T17:07:30.554229,74908155021.0,62627338085.0,12981459028.0,70485507.0,60617.0,29709378027.0,11937457795.0,175768167.0,546.0,60072.0,220722398.61,297754624.0,39.48,37.1,2.38
docker_container_and_daemon,2,2025-03-09T17:07:30.554229,79573372444.4,64807284824.04,13981917245.18,83884117.72,67301.84,31423406383.25,12501344269.86,673364377.67,652.14,66577.79,275645781.33,351186944.0,39.81,37.17,2.64
docker_container,3,2025-03-09T17:08:13.196467,72772643143.0,59354280526.0,12831337884.0,69341928.0,60133.0,29553251031.0,11478276405.0,155626108.0,5.0,60127.0,174850243.05,250699776.0,47.75,45.05,2.7
docker_container_and_daemon,3,2025-03-09T17:08:13.196467,76538428888.88,75743635226.55,13430678261.87,152707985.44,64202.54,31161545088.29,11881639172.49,725893147.3,24.23,64174.15,238179508.71,300392448.0,47.97,45.13,2.84
docker_container,4,2025-03-09T17:08:51.651499,56857643725.0,51822553271.0,11123539850.0,73713868.0,60458.0,25708054851.0,9340577936.0,142651254.0,20.0,60422.0,160380416.0,249196544.0,44.29,41.5,2.79
docker_container_and_daemon,4,2025-03-09T17:08:51.651499,60315234604.4,63600033077.57,11887267779.49,179760604.84,62641.92,27574968802.67,9789049849.81,429362146.7,20.71,62604.24,229120806.79,297779200.0,44.38,41.53,2.84
docker_container,5,2025-03-09T17:09:28.683670,73062813101.0,61315887520.0,13036793862.0,73985672.0,61067.0,31435446495.0,11566055714.0,157447565.0,13.0,61055.0,166591434.11,241680384.0,45.48,42.74,2.74
docker_container_and_daemon,5,2025-03-09T17:09:28.683670,76328344662.66,80715098957.31,13541517926.0,168478243.03,63446.49,33002124943.44,11947830460.75,324773273.82,18.18,63427.15,227105555.69,287981568.0,45.58,42.76,2.82
native,1,2025-03-09T17:10:11.002851,49313662090.0,45289036151.0,8894752562.0,68878054.0,59610.0,21236916047.0,7883448655.0,171813574.0,521.0,59089.0,211992360.42,298815488.0,42.76,40.35,2.36
wasm_aot,4,2025-03-09T17:10:40.402522,52562957845.0,44420086740.0,9495819076.0,61643552.0,72764.0,21474171740.0,7828534725.0,141111217.0,220.0,72546.0,200424609.68,286220288.0,45.87,43.4,2.41
wasm_aot,5,2025-03-09T17:11:10.750472,59780638627.0,51720607260.0,10213144577.0,72114057.0,72906.0,25008489141.0,9174969419.0,146839860.0,25.0,72881.0,208792985.6,280772608.0,47.8,45.18,2.58
docker_container,6,2025-03-09T17:11:43.472030,66970420346.0,57573963796.0,12855407781.0,73242439.0,60851.0,29620165789.0,11135190530.0,150578315.0,415.0,60437.0,172788004.57,288440320.0,44.01,41.48,2.54
docker_container_and_daemon,6,2025-03-09T17:11:43.472030,71532588991.22,65861118614.14,13685265220.57,115912531.1,66262.96,35691286308.76,11832389556.42,338928775.97,467.26,65780.08,241466163.2,292589568.0,44.21,41.53,2.68
wasm_aot,6,2025-03-09T17:12:29.549170,56807949211.0,47377612349.0,9519213498.0,66627313.0,72864.0,23088191179.0,8720053018.0,166489900.0,723.0,72141.0,243379106.91,344674304.0,41.3,38.96,2.29
docker_container,7,2025-03-09T17:13:04.792281,71182648970.0,55520056640.0,12823460090.0,80925155.0,60648.0,28411721250.0,10634696500.0,151961400.0,480.0,60168.0,181678592.0,293302272.0,45.65,43.1,2.56
docker_container_and_daemon,7,2025-03-09T17:13:04.792281,77093098497.59,67218644263.16,13899609338.23,163055359.71,64643.47,30074982957.85,11631934023.63,310943689.25,512.77,64110.67,246161302.97,323727360.0,45.8,43.13,2.66
wasm_aot,7,2025-03-09T17:13:47.731645,62263523772.0,51828530253.0,11672124761.0,70668445.0,73376.0,27800186800.0,10423544839.0,168077271.0,723.0,72653.0,251196866.56,332271616.0,45.11,42.57,2.51
native,2,2025-03-09T17:14:24.830921,61907860088.0,52004284516.0,11380826548.0,66863302.0,60352.0,25727599781.0,10025611770.0,139095691.0,20.0,60332.0,190095945.14,258195456.0,50.7,48.24,2.41
docker_container,8,2025-03-09T17:14:59.347861,16858847614.0,19158322025.0,3844330483.0,47762398.0,45765.0,8907425919.0,2480936961.0,83040754.0,540.0,45225.0,133591859.2,243781632.0,11.39,10.41,0.98
docker_container_and_daemon,8,2025-03-09T17:14:59.347861,18903728390.47,21476814860.01,4262935191.37,151784872.99,49786.14,10039937078.46,2884705899.21,135998106.47,580.8,49203.29,235824469.33,281317376.0,11.53,10.46,1.07
docker_container,9,2025-03-09T17:15:44.449612,41139356937.0,36960220580.0,8000515622.0,57848420.0,55118.0,18361025333.0,6714777229.0,109461442.0,0.0,55068.0,97917440.0,222789632.0,31.8,29.87,1.93
docker_container_and_daemon,9,2025-03-09T17:15:44.449612,44788269915.18,39834982493.0,8721477854.47,63413983.07,59697.49,19790822523.14,7304323875.02,129117963.15,10.81,59627.02,200132774.05,262000640.0,32.06,29.97,2.09
docker_container,10,2025-03-09T17:16:25.240984,68358724856.0,59144161120.0,13022863330.0,75524723.0,62044.0,29796093420.0,12154802254.0,163421000.0,49.0,61966.0,121216614.4,233385984.0,47.13,44.48,2.64
docker_container_and_daemon,10,2025-03-09T17:16:25.240984,72168863611.27,62612906691.15,14495891022.89,137080157.01,64446.83,35376592813.82,13555714608.81,172087771.95,49.51,64367.18,214014424.62,272818176.0,47.23,44.53,2.7
native,3,2025-03-09T17:17:08.958241,60102692294.0,48696367536.0,11278256415.0,67554680.0,60122.0,25517170272.0,9667595589.0,155230783.0,520.0,59604.0,214941500.95,290205696.0,44.02,41.58,2.44
docker_container,11,2025-03-09T17:17:46.631088,42758087437.0,39333563769.0,7862632710.0,57721027.0,57076.0,18649210282.0,6489159406.0,136644173.0,288.0,56790.0,130617344.0,266948608.0,31.3,29.35,1.95
docker_container_and_daemon,11,2025-03-09T17:17:46.631088,45715229320.47,48072707413.76,9886780122.14,112890742.98,61459.78,23761220409.54,7107030923.77,232780006.37,315.91,61139.4,239458627.37,305930240.0,31.52,29.41,2.11
docker_container,12,2025-03-09T17:18:29.599306,32660724347.0,27692096451.0,6041789018.0,60397942.0,50360.0,14438569073.0,4819922260.0,105786332.0,1.0,50312.0,103346176.0,204128256.0,23.44,22.04,1.4
docker_container_and_daemon,12,2025-03-09T17:18:29.599306,36569086700.59,29738742433.14,6888401540.01,116708872.4,54070.63,15564264153.9,5347052055.64,136921262.57,2.19,54020.53,199107637.89,242552832.0,23.53,22.06,1.47
native,4,2025-03-09T17:19:11.522683,63679448384.0,52632683200.0,11214568149.0,68982288.0,60365.0,25059976766.0,9605148295.0,156448955.0,495.0,59870.0,221242818.56,299253760.0,46.05,43.78,2.24
native,5,2025-03-09T17:19:48.986323,70125448022.0,56698401002.0,12313146244.0,69994377.0,60420.0,28013701104.0,10817367972.0,142329321.0,1.0,60419.0,185542144.0,243937280.0,49.36,47.14,2.21
docker_container,13,2025-03-09T17:20:26.702805,6389557384.0,7514391383.0,2044730014.0,45569282.0,31065.0,5547549581.0,861425968.0,62015272.0,412.0,30654.0,81767862.86,172470272.0,5.13,4.59,0.53
docker_container_and_daemon,13,2025-03-09T17:20:26.702805,11375248973.94,15674747829.93,2399340100.83,86119833.0,33848.06,6296866452.35,1078340011.22,80804465.96,448.81,33400.34,189566555.9,210231296.0,5.19,4.6,0.58
