experiment_type,trial_number,start_time,wall-time-seconds
docker,1,2025-03-09T17:55:40.496436,13.83
native,1,2025-03-09T17:55:54.730829,9.26
wasm_aot,1,2025-03-09T17:56:04.003707,9.61
docker,2,2025-03-09T17:56:13.619898,10.6
native,2,2025-03-09T17:56:24.400033,9.27
native,3,2025-03-09T17:56:33.677934,8.98
wasm_aot,2,2025-03-09T17:56:42.664735,9.66
docker,3,2025-03-09T17:56:52.335159,10.67
wasm_aot,3,2025-03-09T17:57:03.186041,9.69
docker,4,2025-03-09T17:57:12.899374,10.56
wasm_aot,4,2025-03-09T17:57:23.632342,9.33
wasm_aot,5,2025-03-09T17:57:32.971183,9.31
wasm_aot,6,2025-03-09T17:57:42.294188,9.28
native,4,2025-03-09T17:57:51.588150,8.82
wasm_aot,7,2025-03-09T17:58:00.417777,9.28
wasm_aot,8,2025-03-09T17:58:09.706028,9.27
native,5,2025-03-09T17:58:18.990370,8.86
native,6,2025-03-09T17:58:27.864379,8.82
native,7,2025-03-09T17:58:36.692061,8.91
native,8,2025-03-09T17:58:45.613087,8.78
native,9,2025-03-09T17:58:54.402164,8.76
docker,5,2025-03-09T17:59:03.173949,11.0
native,10,2025-03-09T17:59:14.340546,8.62
wasm_aot,9,2025-03-09T17:59:22.969809,9.31
docker,6,2025-03-09T17:59:32.291036,10.27
native,11,2025-03-09T17:59:42.727376,8.69
native,12,2025-03-09T17:59:51.428752,8.81
docker,7,2025-03-09T18:00:00.247387,10.27
docker,8,2025-03-09T18:00:10.689114,9.99
docker,9,2025-03-09T18:00:20.853087,9.99
docker,10,2025-03-09T18:00:31.012520,10.18
docker,11,2025-03-09T18:00:41.363796,9.91
wasm_aot,10,2025-03-09T18:00:51.450153,9.16
native,13,2025-03-09T18:01:00.618308,8.91
native,14,2025-03-09T18:01:09.537805,8.8
docker,12,2025-03-09T18:01:18.349054,10.35
docker,13,2025-03-09T18:01:28.869392,10.14
wasm_aot,11,2025-03-09T18:01:39.198252,9.31
wasm_aot,12,2025-03-09T18:01:48.524026,9.38
wasm_aot,13,2025-03-09T18:01:57.920191,9.31
wasm_aot,14,2025-03-09T18:02:07.237499,9.24
wasm_aot,15,2025-03-09T18:02:16.492946,9.17
docker,14,2025-03-09T18:02:25.675088,10.2
wasm_aot,16,2025-03-09T18:02:36.044864,9.09
docker,15,2025-03-09T18:02:45.146249,10.11
docker,16,2025-03-09T18:02:55.428284,9.86
native,15,2025-03-09T18:03:05.455610,8.71
wasm_aot,17,2025-03-09T18:03:14.172301,9.24
wasm_aot,18,2025-03-09T18:03:23.428440,9.16
docker,17,2025-03-09T18:03:32.599151,10.04
wasm_aot,19,2025-03-09T18:03:42.836307,9.45
native,16,2025-03-09T18:03:52.295738,8.72
native,17,2025-03-09T18:04:01.022896,8.85
docker,18,2025-03-09T18:04:09.880826,9.99
wasm_aot,20,2025-03-09T18:04:20.054696,9.33
wasm_aot,21,2025-03-09T18:04:29.390695,9.59
native,18,2025-03-09T18:04:38.988706,8.87
docker,19,2025-03-09T18:04:47.875076,10.21
native,19,2025-03-09T18:04:58.250796,8.76
docker,20,2025-03-09T18:05:07.025952,10.19
wasm_aot,22,2025-03-09T18:05:17.381484,9.23
wasm_aot,23,2025-03-09T18:05:26.622305,9.26
wasm_aot,24,2025-03-09T18:05:35.896533,9.69
native,20,2025-03-09T18:05:45.598524,8.66
native,21,2025-03-09T18:05:54.265367,8.98
docker,21,2025-03-09T18:06:03.253353,9.96
native,22,2025-03-09T18:06:13.377047,8.83
docker,22,2025-03-09T18:06:22.213743,10.2
docker,23,2025-03-09T18:06:32.586842,9.93
native,23,2025-03-09T18:06:42.704032,8.58
docker,24,2025-03-09T18:06:51.295538,9.99
native,24,2025-03-09T18:07:01.456476,8.71
docker,25,2025-03-09T18:07:10.176921,10.14
wasm_aot,25,2025-03-09T18:07:20.490330,9.39
native,25,2025-03-09T18:07:29.889532,8.7
