"metric","native-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","39,102,472,223.18-40,571,890,732.52","342,399,246,435.42-377,676,016,668.08","True","8.59x-9.48x"
"instructions","44,989,681,165.96-46,805,793,342.54","298,575,677,589.99-315,497,192,440.21","True","6.50x-6.87x"
"cache-misses","56,114,348.49-58,646,551.11","173,654,821.50-183,079,124.50","True","3.02x-3.19x"
"cache-references","8,412,223,418.07-8,769,047,847.93","184,141,196,712.35-203,270,533,858.75","True","21.43x-23.66x"
"bus-cycles","19,912,410,093.25-20,695,334,023.95","176,369,790,915.04-194,645,249,602.16","True","8.69x-9.59x"
"page-faults","37,286.01-38,327.89","56,110.46-56,454.74","True","1.47x-1.50x"
"branch-instructions","6,929,158,265.68-7,303,866,941.72","36,519,607,850.06-40,148,215,167.74","True","5.13x-5.64x"
"branch-misses","180,985,165.53-189,133,436.67","2,071,756,886.02-2,234,968,336.68","True","11.19x-12.08x"
"major-faults","-5.43-67.53","-8.50-147.00","False","-0.48x-4.94x"
"minor-faults","37,261.92-38,289.88","56,057.83-56,368.87","True","1.47x-1.50x"
"avg-memory-over-time-in-bytes","79,005,505.24-88,147,918.04","137,626,565.93-155,492,335.43","True","1.64x-1.87x"
"max-memory-over-time-in-bytes","112,983,398.87-122,721,740.33","164,600,164.97-183,454,158.23","True","1.39x-1.56x"
"cpu-total-utilization-percentage","53.44-55.81","27.28-27.43","True","1.95x-2.04x"
"cpu-user-utilization-percentage","51.99-54.36","27.19-27.34","True","1.91x-1.99x"
"cpu-system-utilization-percentage","1.55-1.68","0.13-0.14","True","11.46x-12.46x"
"instructions-per-cycle","1.14-1.17","0.81-0.91","True","1.27x-1.40x"
"cycles-per-instruction","0.86-0.88","1.10-1.26","True","1.27x-1.45x"
"wall-time-seconds","9.14-9.86","270.20-270.53","True","28.42x-28.51x"
