"metric","wasm_interpreted-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","342,399,246,435.42-377,676,016,668.08","41,438,872,462.21-43,228,066,389.49","True","8.09x-8.92x"
"instructions","298,575,677,589.99-315,497,192,440.21","46,903,249,582.83-49,214,404,554.77","True","6.21x-6.57x"
"cache-misses","173,654,821.50-183,079,124.50","58,555,658.62-61,049,652.18","True","2.90x-3.06x"
"cache-references","184,141,196,712.35-203,270,533,858.75","8,762,741,570.93-9,226,382,524.57","True","20.47x-22.60x"
"bus-cycles","176,369,790,915.04-194,645,249,602.16","20,457,055,195.67-21,603,070,612.13","True","8.39x-9.26x"
"page-faults","56,110.46-56,454.74","49,996.86-50,381.54","True","1.12x-1.13x"
"branch-instructions","36,519,607,850.06-40,148,215,167.74","7,176,846,214.76-7,630,869,648.54","True","4.93x-5.42x"
"branch-misses","2,071,756,886.02-2,234,968,336.68","180,723,088.16-187,764,771.14","True","11.24x-12.13x"
"major-faults","-8.50-147.00","-13.19-153.29","False","-0.58x-2.60x"
"minor-faults","56,057.83-56,368.87","49,938.72-50,299.58","True","1.12x-1.13x"
"avg-memory-over-time-in-bytes","137,626,565.93-155,492,335.43","128,273,760.54-141,027,034.25","True","1.01x-1.17x"
"max-memory-over-time-in-bytes","164,600,164.97-183,454,158.23","141,721,612.27-158,162,522.13","True","1.08x-1.24x"
"cpu-total-utilization-percentage","27.28-27.43","54.58-56.71","True","2.00x-2.07x"
"cpu-user-utilization-percentage","27.19-27.34","52.84-54.90","True","1.94x-2.01x"
"cpu-system-utilization-percentage","0.13-0.14","1.58-1.75","True","11.67x-12.97x"
"instructions-per-cycle","0.81-0.91","1.12-1.15","True","1.25x-1.38x"
"cycles-per-instruction","1.10-1.26","0.87-0.90","True","1.25x-1.43x"
"wall-time-seconds","270.20-270.53","9.70-10.21","True","27.13x-27.19x"
