metric,docker-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,101403784178.06721-115580484574.93877,41438872462.21249-43228066389.48751,True,2.39x-2.73x
instructions,128821151998.48001-146267199767.35904,46903249582.83325-49214404554.766754,True,2.68x-3.04x
cache-misses,83343517.0980673-88491605.2959327,58555658.61861717-61049652.18138283,True,1.39x-1.48x
cache-references,25023115552.594296-29620133402.31371,8762741570.928051-9226382524.571949,True,2.78x-3.29x
bus-cycles,50715478786.81587-58427813206.26613,20457055195.672348-21603070612.127655,True,2.41x-2.78x
page-faults,37174.57550373322-38361.30649626679,49996.86327441988-50381.53672558012,True,1.31x-1.35x
branch-instructions,20317593557.037445-22545308702.64955,7176846214.758337-7630869648.541662,True,2.74x-3.05x
branch-misses,229647421.9712289-278273567.683771,180723088.158524-187764771.141476,True,1.25x-1.51x
major-faults,100.66347883952491-292.17852116047504,-13.193503141112231-153.29350314111224,True,1.05x-4.56x
minor-faults,36985.324573387086-38147.83242661292,49938.716076436605-50299.5839235634,True,1.32x-1.35x
avg-memory-over-time-in-bytes,88710533.28845575-103607365.97154427,128273760.54159431-141027034.24840567,True,1.30x-1.50x
max-memory-over-time-in-bytes,121473787.49827367-137575684.50172633,141721612.27096403-158162522.12903595,True,1.07x-1.24x
instructions-per-cycle,1.2383509830248016-1.3008585041530134,1.11763056364686-1.1534104127363691,True,1.09x-1.15x
cycles-per-instruction,0.7704874521317091-0.8088866251938187,0.8679510246139636-0.8952166289616382,True,1.09x-1.15x
