metric,docker-value,native-value,statistically-significant,effect-size
cpu-cycles,117777619784.32422-136420096858.1818,60190095451.67723-62648872350.022766,True,1.92x-2.22x
instructions,146106741804.0494-172298841587.15964,72188223327.92332-75845599801.07668,True,1.97x-2.33x
cache-misses,104232691.34692638-116694141.51007359,82219058.33818829-84571413.96181172,True,1.25x-1.40x
cache-references,26648438450.79446-31790880124.47253,13408209438.308887-13976476450.591114,True,1.95x-2.32x
bus-cycles,58257422346.21138-68297116408.79062,30170009119.39371-31367008317.00629,True,1.89x-2.22x
page-faults,43300.044586573385-44408.57641342663,42398.24733553457-43540.65266446542,True,1.00x-1.04x
branch-instructions,23478488933.274555-27531462125.615444,11305409435.431967-11954524282.568033,True,2.02x-2.37x
branch-misses,203327541.4323195-235486177.90868047,199002286.40226808-208208250.4977319,False,1.00x-1.16x
major-faults,200.5868988500548-410.4551011499452,-6.008263956592863-89.40826395659286,True,4.61x-10.04x
minor-faults,42985.51594816739-44097.09405183261,42356.69506216515-43498.80493783485,False,1.00x-1.03x
avg-memory-over-time-in-bytes,120854901.55650157-148850874.63249844,101871727.62151533-117321934.92748469,True,1.09x-1.37x
max-memory-over-time-in-bytes,152005509.05178195-183121018.94821805,131673587.83471964-148741029.76528037,True,1.07x-1.32x
instructions-per-cycle,1.2140490234148842-1.2879962108290648,1.18975700714596-1.2201989569767284,True,1.01x-1.07x
cycles-per-instruction,0.7773797515770923-0.8277551724237721,0.8199307990619117-0.8410047252232496,True,1.00x-1.07x
