metric,docker-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,117777619784.32422-136420096858.1818,357719787552.8044-389982444678.89557,True,2.80x-3.08x
instructions,146106741804.0494-172298841587.15964,321584778794.344-347929667252.95605,True,1.99x-2.22x
cache-misses,104232691.34692638-116694141.51007359,198223489.50304654-211303750.49695346,True,1.77x-1.93x
cache-references,26648438450.79446-31790880124.47253,190991070897.9819-203701778423.0181,True,6.52x-6.98x
bus-cycles,58257422346.21138-68297116408.79062,186346463169.17337-198772438094.32663,True,2.92x-3.17x
page-faults,43300.044586573385-44408.57641342663,71709.31594555397-74696.38405444604,True,1.63x-1.71x
branch-instructions,23478488933.274555-27531462125.615444,41789727758.61789-45218266732.38211,True,1.60x-1.81x
branch-misses,203327541.4323195-235486177.90868047,2054283497.334415-2228502039.565585,True,9.36x-10.16x
major-faults,200.5868988500548-410.4551011499452,25.43672167655076-132.16327832344922,True,2.42x-5.34x
minor-faults,42985.51594816739-44097.09405183261,71658.58587250109-74589.41412749891,True,1.64x-1.71x
avg-memory-over-time-in-bytes,120854901.55650157-148850874.63249844,162909744.15176424-177063773.3722358,True,1.15x-1.37x
max-memory-over-time-in-bytes,152005509.05178195-183121018.94821805,210640871.131104-225053925.66889602,True,1.20x-1.40x
instructions-per-cycle,1.2140490234148842-1.2879962108290648,0.8568783532173047-0.94575998144237,True,1.33x-1.45x
cycles-per-instruction,0.7773797515770923-0.8277551724237721,1.056811668931815-1.1904021211377867,True,1.31x-1.49x
