metric,native-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,90950832754.38412-94890235338.91586,91985626476.31247-96024682665.38754,False,0.98x-1.04x
instructions,111804873446.30913-117100892908.29088,112532990969.30911-117790558704.09088,False,0.97x-1.04x
cache-misses,119144796.70408411-123658103.5959159,126036804.53035101-130695966.96964899,True,1.03x-1.08x
cache-references,20508788248.524277-21325949532.875725,20890934219.64795-21855128793.752052,False,0.99x-1.05x
bus-cycles,45524496565.869774-47185729799.03022,46530342326.83661-48628806150.563385,False,1.00x-1.05x
page-faults,50635.766547504805-52801.3334524952,95846.53000197915-97782.76999802084,True,1.84x-1.90x
branch-instructions,17900322742.92751-18691053550.67249,17953524184.348324-18773601638.45168,False,0.97x-1.03x
branch-misses,248953480.53762394-257232140.96237606,248705474.01647633-256952885.78352368,False,0.98x-1.02x
major-faults,18.19633729227248-109.4036627077275,69.49205874821249-247.10794125178754,False,0.95x-4.01x
minor-faults,50583.88814667155-52725.61185332845,95707.83941812394-97604.76058187606,True,1.84x-1.90x
avg-memory-over-time-in-bytes,160997269.23024306-185112059.77675697,228384621.78766552-250415428.29033455,True,1.29x-1.47x
max-memory-over-time-in-bytes,188687612.88880247-218010780.71119756,283092824.47766846-310014119.52233154,True,1.36x-1.55x
instructions-per-cycle,1.2213705937929211-1.2419742720751141,1.215996112351231-1.2340549557263505,False,0.99x-1.02x
cycles-per-instruction,0.805312127640232-0.8189923881414087,0.8104991744604613-0.822503568663119,False,0.99x-1.02x
