"metric","docker-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","257,897,858,731.31-280,256,272,256.15","417,768,023,109.64-449,107,337,808.26","True","1.54x-1.68x"
"instructions","320,464,024,094.71-350,582,570,446.22","412,698,363,826.85-441,445,357,352.25","True","1.21x-1.33x"
"cache-misses","218,796,392.76-236,119,050.05","290,199,800.85-306,080,391.85","True","1.26x-1.36x"
"cache-references","57,425,335,394.95-63,764,055,205.70","212,090,717,973.78-226,562,426,969.62","True","3.49x-3.75x"
"bus-cycles","125,859,156,276.26-137,607,686,226.55","225,909,879,045.54-239,160,888,046.96","True","1.70x-1.83x"
"page-faults","69,438.25-71,751.52","152,908.11-159,864.79","True","2.16x-2.27x"
"branch-instructions","51,069,865,559.86-55,714,592,811.54","54,067,443,902.52-58,112,929,982.08","False","0.99x-1.11x"
"branch-misses","382,788,935.97-432,413,139.49","2,114,023,906.51-2,287,834,570.79","True","5.18x-5.62x"
"major-faults","369.51-587.50","261.90-517.10","False","0.81x-1.65x"
"minor-faults","68,975.00-71,197.25","152,610.60-159,383.20","True","2.18x-2.28x"
"avg-memory-over-time-in-bytes","260,001,683.05-296,116,632.33","335,638,013.75-362,340,718.60","True","1.18x-1.33x"
"max-memory-over-time-in-bytes","284,691,596.18-329,949,248.62","450,694,398.22-484,401,512.18","True","1.43x-1.61x"
"cpu-total-utilization-percentage","44.22-48.79","31.49-31.74","True","1.40x-1.54x"
"cpu-user-utilization-percentage","42.29-46.68","31.07-31.32","True","1.36x-1.50x"
"cpu-system-utilization-percentage","1.94-2.13","0.39-0.43","True","4.73x-5.21x"
"instructions-per-cycle","1.21-1.28","0.95-1.03","True","1.21x-1.31x"
"cycles-per-instruction","0.78-0.82","0.98-1.05","True","1.22x-1.32x"
"wall-time-seconds","25.41-27.38","283.36-284.22","True","10.71x-10.79x"
