metric,wasm_interpreted-value,native-value,statistically-significant,effect-size
cpu-cycles,417768023109.63763-449107337808.2624,128764753752.64627-135383281254.55374,True,3.16x-3.40x
instructions,412698363826.85126-441445357352.2487,159832275831.03766-169253697489.66235,True,2.50x-2.69x
cache-misses,290199800.8453453-306080391.8546547,170285893.36718965-175576217.33281034,True,1.68x-1.77x
cache-references,212090717973.78055-226562426969.61948,29215659897.93848-30705974457.46152,True,7.08x-7.56x
bus-cycles,225909879045.54074-239160888046.95926,64244743577.6161-67360192324.5839,True,3.43x-3.64x
page-faults,152908.11012221494-159864.78987778508,67399.22334785266-68089.47665214735,True,2.26x-2.36x
branch-instructions,54067443902.52315-58112929982.07686,25559625238.62267-26899274942.577328,True,2.06x-2.22x
branch-misses,2114023906.5140796-2287834570.7859206,315356870.4645962-324921460.83540374,True,6.60x-7.15x
major-faults,261.89837588983903-517.101624110161,52.30649989347559-256.8935001065244,True,1.49x-3.54x
minor-faults,152610.5994497271-159383.2005502729,67224.39020363204-67955.10979636796,True,2.26x-2.36x
avg-memory-over-time-in-bytes,335638013.74503267-362340718.5989673,237045748.27074918-272816878.84525067,True,1.28x-1.45x
max-memory-over-time-in-bytes,450694398.222984-484401512.17701596,251687870.45046115-291362267.1495389,True,1.63x-1.81x
instructions-per-cycle,0.9491417036228983-1.0286445555396522,1.2338967997058348-1.2571480057052644,True,1.22x-1.30x
cycles-per-instruction,0.9819016466693091-1.0528338501967374,0.7957850964978505-0.8105649679135706,True,1.22x-1.31x
