metric,docker-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,61892574323.13391-74157371546.40207,24239701166.325386-26341368010.174614,True,2.44x-2.93x
instructions,76997485809.48105-90693352200.50998,26470717735.308918-29041880084.29108,True,2.77x-3.27x
cache-misses,54046393.47615983-57825879.669840164,35311883.382487535-38500576.81751247,True,1.45x-1.58x
cache-references,15317536135.632107-19233379978.65389,4964911889.544128-5407079562.855871,True,2.95x-3.71x
bus-cycles,32214537617.2913-38532690932.66871,12224939935.56518-13057477576.43482,True,2.55x-3.05x
page-faults,33084.79696391179-33982.43803608821,40064.34455978335-40385.35544021665,True,1.19x-1.21x
branch-instructions,12094078071.43512-14235750154.74088,3922481577.862963-4223275477.637037,True,2.97x-3.50x
branch-misses,159353731.72182325-186723906.7231768,131065073.47000764-138932816.22999233,True,1.18x-1.39x
major-faults,8.757054350807778-216.8719456491922,-9.946544351821075-59.446544351821075,False,0.18x-8.94x
minor-faults,33007.872479662205-33809.9005203378,40036.399509644776-40363.80049035522,True,1.19x-1.22x
avg-memory-over-time-in-bytes,65462223.37906804-82692850.50493196,103322200.13956279-114488790.67143717,True,1.34x-1.60x
max-memory-over-time-in-bytes,101001051.98137881-118243901.61862119,120225209.74588685-130171871.85411315,True,1.05x-1.23x
CPU-total-utilization-percentage,47.57299652285162-50.865003477148385,48.851638160661835-52.11536183933816,False,0.98x-1.07x
CPU-user-utilization-percentage,45.171343751827585-48.39965624817241,48.19978191053932-51.99021808946069,True,1.02x-1.12x
CPU-system-utilization-percentage,2.363379046179383-2.493620953820617,1.3308398732370261-1.624160126762974,True,1.54x-1.75x
instructions-per-cycle,1.1889802509561789-1.290968980739791,1.0696865600439782-1.1262338712889934,True,1.08x-1.18x
cycles-per-instruction,0.7804232235540906-0.8437047543037198,0.8895856061453731-0.9372934324543896,True,1.08x-1.17x
