metric,native-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,39102472223.17807-40571890732.52193,41438872462.21249-43228066389.48751,True,1.03x-1.09x
instructions,44989681165.957344-46805793342.542656,46903249582.83325-49214404554.766754,True,1.02x-1.08x
cache-misses,56114348.49139619-58646551.108603805,58555658.61861717-61049652.18138283,True,1.01x-1.07x
cache-references,8412223418.066055-8769047847.933945,8762741570.928051-9226382524.571949,True,1.01x-1.08x
bus-cycles,19912410093.249966-20695334023.95003,20457055195.672348-21603070612.127655,True,1.00x-1.07x
page-faults,37286.00639114647-38327.89360885353,49996.86327441988-50381.53672558012,True,1.31x-1.34x
branch-instructions,6929158265.6823-7303866941.7177,7176846214.758337-7630869648.541662,True,1.00x-1.08x
branch-misses,180985165.52553564-189133436.67446434,180723088.158524-187764771.141476,False,0.98x-1.03x
major-faults,-5.431265170009819-67.53126517000982,-13.193503141112231-153.29350314111224,False,-0.62x-5.13x
minor-faults,37261.91903984175-38289.880960158254,49938.716076436605-50299.5839235634,True,1.31x-1.34x
avg-memory-over-time-in-bytes,79005505.24312574-88147918.04087427,128273760.54159431-141027034.24840567,True,1.52x-1.70x
max-memory-over-time-in-bytes,112983398.8680066-122721740.33199339,141721612.27096403-158162522.12903595,True,1.19x-1.35x
CPU-total-utilization-percentage,53.439924567593856-55.81207543240614,54.575694041728084-56.706305958271926,False,0.99x-1.05x
CPU-user-utilization-percentage,51.994899821497675-54.35710017850234,52.83794794418251-54.897052055817475,False,0.98x-1.04x
CPU-system-utilization-percentage,1.5469256150721358-1.6820743849278643,1.5757577697341116-1.750242230265888,False,0.96x-1.10x
instructions-per-cycle,1.1359293868980438-1.1691076808390952,1.11763056364686-1.1534104127363691,False,0.99x-1.04x
cycles-per-instruction,0.8559857552426321-0.8808983697842024,0.8679510246139636-0.8952166289616382,False,0.99x-1.04x
