metric,wasm_interpreted-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,342399246435.4186-377676016668.0814,41438872462.21249-43228066389.48751,True,8.09x-8.92x
instructions,298575677589.9942-315497192440.20575,46903249582.83325-49214404554.766754,True,6.21x-6.57x
cache-misses,173654821.49726668-183079124.50273332,58555658.61861717-61049652.18138283,True,2.90x-3.06x
cache-references,184141196712.34753-203270533858.75244,8762741570.928051-9226382524.571949,True,20.47x-22.60x
bus-cycles,176369790915.0401-194645249602.1599,20457055195.672348-21603070612.127655,True,8.39x-9.26x
page-faults,56110.458848537004-56454.74115146299,49996.86327441988-50381.53672558012,True,1.12x-1.13x
branch-instructions,36519607850.064415-40148215167.73559,7176846214.758337-7630869648.541662,True,4.93x-5.42x
branch-misses,2071756886.0175605-2234968336.6824393,180723088.158524-187764771.141476,True,11.24x-12.13x
major-faults,-8.500298399831578-147.0002983998316,-13.193503141112231-153.29350314111224,False,-0.58x-2.60x
minor-faults,56057.82547559372-56368.874524406274,49938.716076436605-50299.5839235634,True,1.12x-1.13x
avg-memory-over-time-in-bytes,137626565.9344004-155492335.42859963,128273760.54159431-141027034.24840567,True,1.01x-1.17x
max-memory-over-time-in-bytes,164600164.96527797-183454158.23472202,141721612.27096403-158162522.12903595,True,1.08x-1.24x
CPU-total-utilization-percentage,27.28046300491233-27.42753699508766,54.575694041728084-56.706305958271926,True,2.00x-2.07x
CPU-user-utilization-percentage,27.1918232823051-27.343176717694902,52.83794794418251-54.897052055817475,True,1.94x-2.01x
CPU-system-utilization-percentage,0.12703723743590406-0.14296276256409596,1.5757577697341116-1.750242230265888,True,11.67x-12.97x
instructions-per-cycle,0.8106699896378724-0.9148037723451505,1.11763056364686-1.1534104127363691,True,1.25x-1.38x
cycles-per-instruction,1.1017101302157233-1.2558579974539823,0.8679510246139636-0.8952166289616382,True,1.25x-1.43x
