metric,native-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,60190095451.67723-62648872350.022766,357719787552.8044-389982444678.89557,True,5.82x-6.35x
instructions,72188223327.92332-75845599801.07668,321584778794.344-347929667252.95605,True,4.34x-4.70x
cache-misses,82219058.33818829-84571413.96181172,198223489.50304654-211303750.49695346,True,2.38x-2.53x
cache-references,13408209438.308887-13976476450.591114,190991070897.9819-203701778423.0181,True,13.95x-14.88x
bus-cycles,30170009119.39371-31367008317.00629,186346463169.17337-198772438094.32663,True,6.06x-6.46x
page-faults,42398.24733553457-43540.65266446542,71709.31594555397-74696.38405444604,True,1.67x-1.74x
branch-instructions,11305409435.431967-11954524282.568033,41789727758.61789-45218266732.38211,True,3.59x-3.89x
branch-misses,199002286.40226808-208208250.4977319,2054283497.334415-2228502039.565585,True,10.09x-10.95x
major-faults,-6.008263956592863-89.40826395659286,25.43672167655076-132.16327832344922,False,0.23x-3.55x
minor-faults,42356.69506216515-43498.80493783485,71658.58587250109-74589.41412749891,True,1.67x-1.74x
avg-memory-over-time-in-bytes,101871727.62151533-117321934.92748469,162909744.15176424-177063773.3722358,True,1.46x-1.64x
max-memory-over-time-in-bytes,131673587.83471964-148741029.76528037,210640871.131104-225053925.66889602,True,1.48x-1.63x
CPU-total-utilization-percentage,55.40368763383053-57.09031236616947,28.508120890534546-28.825879109465443,True,1.93x-1.99x
CPU-user-utilization-percentage,54.32060128378489-55.830398716215136,28.319973856900887-28.602026143099117,True,1.91x-1.96x
CPU-system-utilization-percentage,1.58075854320759-1.7182414567924105,0.19645458901930957-0.23654541098069043,True,7.29x-7.95x
instructions-per-cycle,1.18975700714596-1.2201989569767284,0.8568783532173047-0.94575998144237,True,1.29x-1.39x
cycles-per-instruction,0.8199307990619117-0.8410047252232496,1.056811668931815-1.1904021211377867,True,1.27x-1.43x
