metric,wasm_aot-value,native-value,statistically-significant,effect-size
cpu-cycles,62717087589.37044-65657787402.12956,60190095451.67723-62648872350.022766,True,1.01x-1.08x
instructions,75509555485.10678-78938353437.89322,72188223327.92332-75845599801.07668,True,1.01x-1.08x
cache-misses,87716630.60630585-90174962.09369414,82219058.33818829-84571413.96181172,True,1.05x-1.09x
cache-references,14078102835.388971-14841884854.611029,13408209438.308887-13976476450.591114,True,1.02x-1.09x
bus-cycles,31517763004.002308-33286041450.69769,30170009119.39371-31367008317.00629,True,1.02x-1.09x
page-faults,66404.81627089712-67577.78372910288,42398.24733553457-43540.65266446542,True,1.54x-1.58x
branch-instructions,11786140650.546507-12579153198.753492,11305409435.431967-11954524282.568033,True,1.00x-1.09x
branch-misses,198653455.61752984-205958701.08247015,199002286.40226808-208208250.4977319,False,0.98x-1.03x
major-faults,18.768588619095425-209.93141138090456,-6.008263956592863-89.40826395659286,False,0.23x-5.25x
minor-faults,66257.01412925159-67496.8858707484,42356.69506216515-43498.80493783485,True,1.54x-1.58x
avg-memory-over-time-in-bytes,157327574.42952007-174709859.97647995,101871727.62151533-117321934.92748469,True,1.41x-1.62x
max-memory-over-time-in-bytes,190895817.46706116-210705104.13293886,131673587.83471964-148741029.76528037,True,1.34x-1.52x
CPU-total-utilization-percentage,55.431539481842705-57.30446051815731,55.40368763383053-57.09031236616947,False,0.98x-1.02x
CPU-user-utilization-percentage,53.59672403307997-55.446275966920005,54.32060128378489-55.830398716215136,False,0.99x-1.03x
CPU-system-utilization-percentage,1.7562133889486915-1.8727866110513076,1.58075854320759-1.7182414567924105,True,1.05x-1.15x
instructions-per-cycle,1.1906259786736297-1.2163073285830166,1.18975700714596-1.2201989569767284,False,0.99x-1.02x
cycles-per-instruction,0.8225872455345731-0.840088069600307,0.8199307990619117-0.8410047252232496,False,0.99x-1.02x
