metric,wasm_aot-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,62717087589.37044-65657787402.12956,357719787552.8044-389982444678.89557,True,5.57x-6.08x
instructions,75509555485.10678-78938353437.89322,321584778794.344-347929667252.95605,True,4.16x-4.51x
cache-misses,87716630.60630585-90174962.09369414,198223489.50304654-211303750.49695346,True,2.23x-2.38x
cache-references,14078102835.388971-14841884854.611029,190991070897.9819-203701778423.0181,True,13.21x-14.09x
bus-cycles,31517763004.002308-33286041450.69769,186346463169.17337-198772438094.32663,True,5.75x-6.14x
page-faults,66404.81627089712-67577.78372910288,71709.31594555397-74696.38405444604,True,1.07x-1.12x
branch-instructions,11786140650.546507-12579153198.753492,41789727758.61789-45218266732.38211,True,3.43x-3.71x
branch-misses,198653455.61752984-205958701.08247015,2054283497.334415-2228502039.565585,True,10.15x-11.02x
major-faults,18.768588619095425-209.93141138090456,25.43672167655076-132.16327832344922,False,0.10x-2.81x
minor-faults,66257.01412925159-67496.8858707484,71658.58587250109-74589.41412749891,True,1.07x-1.12x
avg-memory-over-time-in-bytes,157327574.42952007-174709859.97647995,162909744.15176424-177063773.3722358,False,0.96x-1.09x
max-memory-over-time-in-bytes,190895817.46706116-210705104.13293886,210640871.131104-225053925.66889602,True,1.03x-1.14x
CPU-total-utilization-percentage,55.431539481842705-57.30446051815731,28.508120890534546-28.825879109465443,True,1.93x-2.00x
CPU-user-utilization-percentage,53.59672403307997-55.446275966920005,28.319973856900887-28.602026143099117,True,1.88x-1.95x
CPU-system-utilization-percentage,1.7562133889486915-1.8727866110513076,0.19645458901930957-0.23654541098069043,True,8.10x-8.66x
instructions-per-cycle,1.1906259786736297-1.2163073285830166,0.8568783532173047-0.94575998144237,True,1.28x-1.39x
cycles-per-instruction,0.8225872455345731-0.840088069600307,1.056811668931815-1.1904021211377867,True,1.27x-1.43x
