metric,native-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,23534366247.158466-25495339397.641537,24239701166.325386-26341368010.174614,False,0.97x-1.09x
instructions,25660714545.445683-27941722301.254314,26470717735.308918-29041880084.29108,False,0.97x-1.10x
cache-misses,34099804.1469147-37822460.3530853,35311883.382487535-38500576.81751247,False,0.96x-1.09x
cache-references,4917082070.198193-5376452500.001808,4964911889.544128-5407079562.855871,False,0.95x-1.07x
bus-cycles,11828129602.596615-12940503863.303387,12224939935.56518-13057477576.43482,False,0.97x-1.08x
page-faults,33022.595889066295-33613.8041109337,40064.34455978335-40385.35544021665,True,1.20x-1.22x
branch-instructions,3710478222.0871572-4102249190.212843,3922481577.862963-4223275477.637037,False,0.98x-1.10x
branch-misses,129738717.50212705-141453058.89787292,131065073.47000764-138932816.22999233,False,0.95x-1.06x
major-faults,-11.541770815153274-72.44177081515328,-9.946544351821075-59.446544351821075,False,-0.90x-3.36x
minor-faults,32979.80753138983-33595.69246861017,40036.399509644776-40363.80049035522,True,1.20x-1.22x
avg-memory-over-time-in-bytes,56717565.26061044-67073229.10138958,103322200.13956279-114488790.67143717,True,1.64x-1.88x
max-memory-over-time-in-bytes,97805860.94213027-108228673.45786974,120225209.74588685-130171871.85411315,True,1.15x-1.28x
cpu-total-utilization-percentage,50.42387530910537-54.48812469089464,48.851638160661835-52.11536183933816,False,0.99x-1.09x
cpu-user-utilization-percentage,48.62618769857583-52.600812301424185,48.19978191053932-51.99021808946069,False,0.96x-1.06x
cpu-system-utilization-percentage,1.5174443087045781-1.707555691295422,1.3308398732370261-1.624160126762974,False,0.98x-1.21x
instructions-per-cycle,1.073494429369532-1.1136197220652888,1.0696865600439782-1.1262338712889934,False,0.97x-1.03x
cycles-per-instruction,0.8991819851772171-0.9323492824487305,0.8895856061453731-0.9372934324543896,False,0.97x-1.03x
