metric,docker-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,101403784178.06721-115580484574.93877,342399246435.4186-377676016668.0814,True,3.15x-3.49x
instructions,128821151998.48001-146267199767.35904,298575677589.9942-315497192440.20575,True,2.15x-2.32x
cache-misses,83343517.0980673-88491605.2959327,173654821.49726668-183079124.50273332,True,2.01x-2.14x
cache-references,25023115552.594296-29620133402.31371,184141196712.34753-203270533858.75244,True,6.73x-7.45x
bus-cycles,50715478786.81587-58427813206.26613,176369790915.0401-194645249602.1599,True,3.22x-3.58x
page-faults,37174.57550373322-38361.30649626679,56110.458848537004-56454.74115146299,True,1.47x-1.51x
branch-instructions,20317593557.037445-22545308702.64955,36519607850.064415-40148215167.73559,True,1.69x-1.89x
branch-misses,229647421.9712289-278273567.683771,2071756886.0175605-2234968336.6824393,True,8.15x-8.81x
major-faults,100.66347883952491-292.17852116047504,-8.500298399831578-147.0002983998316,True,1.11x-4.56x
minor-faults,36985.324573387086-38147.83242661292,56057.82547559372-56368.874524406274,True,1.48x-1.51x
avg-memory-over-time-in-bytes,88710533.28845575-103607365.97154427,137626565.9344004-155492335.42859963,True,1.41x-1.64x
max-memory-over-time-in-bytes,121473787.49827367-137575684.50172633,164600164.96527797-183454158.23472202,True,1.25x-1.44x
cpu-total-utilization-percentage,48.02549998697729-50.644500013022714,27.28046300491233-27.42753699508766,True,1.76x-1.85x
cpu-user-utilization-percentage,45.83260343157052-48.380396568429475,27.1918232823051-27.343176717694902,True,1.68x-1.77x
cpu-system-utilization-percentage,2.1745206546458937-2.2774793453541062,0.12703723743590406-0.14296276256409596,True,16.10x-16.87x
instructions-per-cycle,1.2383509830248016-1.3008585041530134,0.8106699896378724-0.9148037723451505,True,1.40x-1.54x
cycles-per-instruction,0.7704874521317091-0.8088866251938187,1.1017101302157233-1.2558579974539823,True,1.39x-1.59x
