metric,docker-value,wasm_aot-value,statistically-significant,effect-size
cpu-cycles,117777619784.32422-136420096858.1818,62717087589.37044-65657787402.12956,True,1.83x-2.13x
instructions,146106741804.0494-172298841587.15964,75509555485.10678-78938353437.89322,True,1.89x-2.23x
cache-misses,104232691.34692638-116694141.51007359,87716630.60630585-90174962.09369414,True,1.17x-1.31x
cache-references,26648438450.79446-31790880124.47253,14078102835.388971-14841884854.611029,True,1.84x-2.20x
bus-cycles,58257422346.21138-68297116408.79062,31517763004.002308-33286041450.69769,True,1.80x-2.11x
page-faults,43300.044586573385-44408.57641342663,66404.81627089712-67577.78372910288,True,1.51x-1.55x
branch-instructions,23478488933.274555-27531462125.615444,11786140650.546507-12579153198.753492,True,1.92x-2.26x
branch-misses,203327541.4323195-235486177.90868047,198653455.61752984-205958701.08247015,True,1.00x-1.17x
major-faults,200.5868988500548-410.4551011499452,18.768588619095425-209.93141138090456,True,1.47x-3.87x
minor-faults,42985.51594816739-44097.09405183261,66257.01412925159-67496.8858707484,True,1.52x-1.55x
avg-memory-over-time-in-bytes,120854901.55650157-148850874.63249844,157327574.42952007-174709859.97647995,True,1.11x-1.35x
max-memory-over-time-in-bytes,152005509.05178195-183121018.94821805,190895817.46706116-210705104.13293886,True,1.09x-1.31x
cpu-total-utilization-percentage,42.04178077891464-48.57821922108536,55.431539481842705-57.30446051815731,True,1.17x-1.32x
cpu-user-utilization-percentage,40.17410770568642-46.43589229431358,53.59672403307997-55.446275966920005,True,1.18x-1.33x
cpu-system-utilization-percentage,1.8627967259674518-2.147203274032548,1.7562133889486915-1.8727866110513076,True,1.02x-1.19x
instructions-per-cycle,1.2140490234148842-1.2879962108290648,1.1906259786736297-1.2163073285830166,True,1.01x-1.07x
cycles-per-instruction,0.7773797515770923-0.8277551724237721,0.8225872455345731-0.840088069600307,True,1.00x-1.07x
