metric,native-value,wasm_interpreted-value,statistically-significant,effect-size
cpu-cycles,90950832754.38412-94890235338.91586,401112999869.57874-428596211720.92126,True,4.32x-4.61x
instructions,111804873446.30913-117100892908.29088,374429326181.0703-400963318361.3297,True,3.27x-3.51x
cache-misses,119144796.70408411-123658103.5959159,243224227.50692695-260601507.99307305,True,2.00x-2.15x
cache-references,20508788248.524277-21325949532.875725,203954647044.77966-222633928316.12036,True,9.75x-10.64x
bus-cycles,45524496565.869774-47185729799.03022,201849679829.1167-216309808906.5833,True,4.35x-4.67x
page-faults,50635.766547504805-52801.3334524952,102081.26052630162-103905.83947369839,True,1.96x-2.02x
branch-instructions,17900322742.92751-18691053550.67249,46466710302.15569-50926064340.544304,True,2.54x-2.78x
branch-misses,248953480.53762394-257232140.96237606,2065403485.9810288-2219630332.418971,True,8.16x-8.77x
major-faults,18.19633729227248-109.4036627077275,46.19773655546678-112.60226344453324,False,0.39x-2.10x
minor-faults,50583.88814667155-52725.61185332845,102008.6302215657-103819.66977843428,True,1.97x-2.02x
avg-memory-over-time-in-bytes,160997269.23024306-185112059.77675697,228228659.2123982-250567693.80460188,True,1.29x-1.48x
max-memory-over-time-in-bytes,188687612.88880247-218010780.71119756,301986295.61279327-325482401.98720676,True,1.45x-1.63x
cpu-total-utilization-percentage,52.57555915419347-57.359440845806546,30.028262699807193-30.372737300192803,True,1.74x-1.90x
cpu-user-utilization-percentage,51.101386295210105-55.83361370478991,29.743829551509897-30.068170448490093,True,1.71x-1.87x
cpu-system-utilization-percentage,1.6003654747257594-1.7316345252742404,0.28633121234996733-0.32166878765003265,True,5.26x-5.70x
instructions-per-cycle,1.2213705937929211-1.2419742720751141,0.9016704667909472-0.9729895505912187,True,1.27x-1.35x
cycles-per-instruction,0.805312127640232-0.8189923881414087,1.0345410591944377-1.1118657093825832,True,1.27x-1.37x
