metric,wasm_aot-value,native-value,statistically-significant,effect-size
cpu-cycles,130182201112.9232-136903208195.6768,128764753752.64627-135383281254.55374,False,0.98x-1.05x
instructions,159980026066.73563-169197488528.56436,159832275831.03766-169253697489.66235,False,0.96x-1.04x
cache-misses,181235162.86666638-186772974.8333336,170285893.36718965-175576217.33281034,True,1.04x-1.09x
cache-references,29830554976.488144-31386037456.81186,29215659897.93848-30705974457.46152,False,0.99x-1.06x
bus-cycles,65291678503.89066-68980690172.30934,64244743577.6161-67360192324.5839,False,0.98x-1.06x
page-faults,143900.15030105365-149677.64969894633,67399.22334785266-68089.47665214735,True,2.12x-2.21x
branch-instructions,25442054267.35292-27118004260.247078,25559625238.62267-26899274942.577328,False,0.96x-1.04x
branch-misses,321736943.4751196-329549505.4248804,315356870.4645962-324921460.83540374,False,1.00x-1.04x
major-faults,234.247580406179-478.95241959382105,52.30649989347559-256.8935001065244,True,1.31x-3.31x
minor-faults,143626.6147077269-149237.8852922731,67224.39020363204-67955.10979636796,True,2.12x-2.21x
avg-memory-over-time-in-bytes,341795239.22192144-372973904.17507863,237045748.27074918-272816878.84525067,True,1.31x-1.49x
max-memory-over-time-in-bytes,445050768.7870068-481728623.2129932,251687870.45046115-291362267.1495389,True,1.61x-1.80x
cpu-total-utilization-percentage,52.998179022936014-55.67582097706399,55.460747546957485-57.03125245304252,True,1.01x-1.06x
cpu-user-utilization-percentage,51.15999300077816-53.73100699922185,53.76176838570818-55.34623161429184,True,1.01x-1.07x
cpu-system-utilization-percentage,1.819544542297222-1.9554554577027778,1.7273757648376138-1.7726242351623862,True,1.04x-1.12x
instructions-per-cycle,1.2250127126652195-1.2393198550156923,1.2338967997058348-1.2571480057052644,True,1.00x-1.02x
cycles-per-instruction,0.806953180376596-0.8164433017514993,0.7957850964978505-0.8105649679135706,False,1.00x-1.02x
