deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-03-31T12:25:50.049286+00:00,11.2
native,1,2025-03-31T12:26:01.319566+00:00,10.48
native,2,2025-03-31T12:26:11.814811+00:00,10.73
native,3,2025-03-31T12:26:22.557685+00:00,10.78
wasm_interpreted,1,2025-03-31T12:26:33.357496+00:00,271.31
wasm_interpreted,2,2025-03-31T12:31:04.678794+00:00,270.07
wasm_interpreted,3,2025-03-31T12:35:34.754806+00:00,270.31
wasm_aot,2,2025-03-31T12:40:05.072491+00:00,9.22
wasm_interpreted,4,2025-03-31T12:40:14.305047+00:00,270.17
wasm_aot,3,2025-03-31T12:44:44.481019+00:00,9.25
docker,1,2025-03-31T12:44:53.737245+00:00,10.6
native,4,2025-03-31T12:45:04.489531+00:00,9.02
native,5,2025-03-31T12:45:13.525668+00:00,9.61
docker,2,2025-03-31T12:45:23.144290+00:00,11.11
wasm_aot,4,2025-03-31T12:45:34.427492+00:00,9.98
native,6,2025-03-31T12:45:44.419363+00:00,9.84
native,7,2025-03-31T12:45:54.272432+00:00,9.97
docker,3,2025-03-31T12:46:04.254306+00:00,11.39
native,8,2025-03-31T12:46:15.818265+00:00,10.21
wasm_aot,5,2025-03-31T12:46:26.044054+00:00,10.79
native,9,2025-03-31T12:46:36.841132+00:00,10.16
native,10,2025-03-31T12:46:47.009032+00:00,10.06
docker,4,2025-03-31T12:46:57.082065+00:00,11.39
wasm_interpreted,5,2025-03-31T12:47:08.662247+00:00,270.61
wasm_aot,6,2025-03-31T12:51:39.281475+00:00,9.13
docker,5,2025-03-31T12:51:48.428110+00:00,10.47
wasm_aot,7,2025-03-31T12:51:59.062607+00:00,10.12
wasm_aot,8,2025-03-31T12:52:09.196466+00:00,10.31
wasm_interpreted,6,2025-03-31T12:52:19.513721+00:00,270.57
native,11,2025-03-31T12:56:50.094625+00:00,8.63
wasm_aot,9,2025-03-31T12:56:58.738427+00:00,9.66
wasm_aot,10,2025-03-31T12:57:08.406212+00:00,10.01
wasm_interpreted,7,2025-03-31T12:57:18.428504+00:00,270.96
wasm_interpreted,8,2025-03-31T13:01:49.397094+00:00,269.98
wasm_interpreted,9,2025-03-31T13:06:19.392195+00:00,270.09
docker,6,2025-03-31T13:10:49.493118+00:00,9.8
wasm_interpreted,10,2025-03-31T13:10:59.438911+00:00,269.98
native,12,2025-03-31T13:15:29.430698+00:00,8.49
wasm_aot,11,2025-03-31T13:15:37.934562+00:00,9.44
docker,7,2025-03-31T13:15:47.383561+00:00,10.34
docker,8,2025-03-31T13:15:57.886085+00:00,10.73
wasm_aot,12,2025-03-31T13:16:08.782198+00:00,10.04
docker,9,2025-03-31T13:16:18.831086+00:00,11.2
wasm_interpreted,11,2025-03-31T13:16:30.207598+00:00,270.36
native,13,2025-03-31T13:21:00.586734+00:00,8.57
wasm_interpreted,12,2025-03-31T13:21:09.166271+00:00,270.26
docker,10,2025-03-31T13:25:39.440521+00:00,9.86
wasm_interpreted,13,2025-03-31T13:25:49.448931+00:00,270.06
wasm_interpreted,14,2025-03-31T13:30:19.521153+00:00,270.05
native,14,2025-03-31T13:34:49.580319+00:00,8.44
docker,11,2025-03-31T13:34:58.035448+00:00,11.11
docker,12,2025-03-31T13:35:09.315114+00:00,12.71
wasm_aot,13,2025-03-31T13:35:22.198476+00:00,9.39
native,15,2025-03-31T13:35:31.601660+00:00,9.39
docker,13,2025-03-31T13:35:41.008042+00:00,12.06
wasm_aot,14,2025-03-31T13:35:53.228052+00:00,10.17
wasm_interpreted,15,2025-03-31T13:36:03.406408+00:00,270.77
docker,14,2025-03-31T13:40:34.192482+00:00,9.9
native,16,2025-03-31T13:40:44.244218+00:00,8.95
wasm_aot,15,2025-03-31T13:40:53.200843+00:00,9.91
wasm_aot,16,2025-03-31T13:41:03.125237+00:00,10.08
wasm_interpreted,16,2025-03-31T13:41:13.218187+00:00,270.62
docker,15,2025-03-31T13:45:43.853659+00:00,10.08
native,17,2025-03-31T13:45:54.084745+00:00,8.96
wasm_interpreted,17,2025-03-31T13:46:03.053976+00:00,270.14
native,18,2025-03-31T13:50:33.203354+00:00,8.76
docker,16,2025-03-31T13:50:41.979105+00:00,10.7
docker,17,2025-03-31T13:50:52.839734+00:00,10.83
docker,18,2025-03-31T13:51:03.830358+00:00,10.65
wasm_aot,17,2025-03-31T13:51:14.637317+00:00,10.05
wasm_aot,18,2025-03-31T13:51:24.698728+00:00,10.39
wasm_aot,19,2025-03-31T13:51:35.096970+00:00,10.49
native,19,2025-03-31T13:51:45.599832+00:00,10.0
wasm_interpreted,18,2025-03-31T13:51:55.617317+00:00,270.54
docker,19,2025-03-31T13:56:26.164586+00:00,10.02
native,20,2025-03-31T13:56:36.338581+00:00,8.92
wasm_interpreted,19,2025-03-31T13:56:45.272352+00:00,270.2
docker,20,2025-03-31T14:01:15.483129+00:00,9.87
wasm_aot,20,2025-03-31T14:01:25.501270+00:00,9.44
wasm_interpreted,20,2025-03-31T14:01:34.956376+00:00,270.25
