deployment-mechanism,trial-number,start-time,wall-time-seconds
wasm_aot,1,2025-04-01T03:48:17.941198+00:00,22.39
wasm_interpreted,1,2025-04-01T03:48:40.386632+00:00,278.69
native,1,2025-04-01T03:53:19.089044+00:00,17.42
docker,1,2025-04-01T03:53:36.532898+00:00,18.83
wasm_aot,2,2025-04-01T03:53:55.535282+00:00,18.81
docker,2,2025-04-01T03:54:14.359095+00:00,19.35
wasm_aot,3,2025-04-01T03:54:33.878068+00:00,19.42
wasm_interpreted,2,2025-04-01T03:54:53.310261+00:00,277.62
wasm_interpreted,3,2025-04-01T03:59:30.949576+00:00,276.62
docker,3,2025-04-01T04:04:07.582003+00:00,17.18
wasm_aot,4,2025-04-01T04:04:24.931704+00:00,17.33
native,2,2025-04-01T04:04:42.275229+00:00,16.68
wasm_interpreted,4,2025-04-01T04:04:58.967170+00:00,277.09000000000003
native,3,2025-04-01T04:09:36.071315+00:00,15.35
docker,4,2025-04-01T04:09:51.437376+00:00,17.87
docker,5,2025-04-01T04:10:09.509912+00:00,17.98
docker,6,2025-04-01T04:10:27.670619+00:00,18.69
wasm_aot,5,2025-04-01T04:10:46.536770+00:00,18.55
wasm_aot,6,2025-04-01T04:11:05.095233+00:00,19.07
native,4,2025-04-01T04:11:24.180005+00:00,18.24
wasm_interpreted,5,2025-04-01T04:11:42.436952+00:00,277.36
native,5,2025-04-01T04:16:19.813662+00:00,15.69
native,6,2025-04-01T04:16:35.529169+00:00,16.53
wasm_interpreted,6,2025-04-01T04:16:52.075679+00:00,276.85
wasm_interpreted,7,2025-04-01T04:21:28.938883+00:00,276.59000000000003
wasm_interpreted,8,2025-04-01T04:26:05.542822+00:00,276.49
native,7,2025-04-01T04:30:42.041965+00:00,15.1
wasm_aot,7,2025-04-01T04:30:57.156530+00:00,16.95
native,8,2025-04-01T04:31:14.118171+00:00,16.22
wasm_aot,8,2025-04-01T04:31:30.349682+00:00,17.77
docker,7,2025-04-01T04:31:48.134228+00:00,18.51
wasm_interpreted,9,2025-04-01T04:32:06.832092+00:00,276.44
wasm_interpreted,10,2025-04-01T04:36:43.288903+00:00,276.18
wasm_aot,9,2025-04-01T04:41:19.478378+00:00,16.27
native,9,2025-04-01T04:41:35.762467+00:00,16.1
docker,8,2025-04-01T04:41:51.872905+00:00,18.99
wasm_aot,10,2025-04-01T04:42:11.068753+00:00,17.67
docker,9,2025-04-01T04:42:28.753831+00:00,19.93
wasm_aot,11,2025-04-01T04:42:48.856327+00:00,18.7
wasm_interpreted,11,2025-04-01T04:43:07.570916+00:00,277.12
native,10,2025-04-01T04:47:44.704616+00:00,15.33
docker,10,2025-04-01T04:48:00.048445+00:00,18.11
native,11,2025-04-01T04:48:18.331069+00:00,16.73
docker,11,2025-04-01T04:48:35.070514+00:00,18.59
wasm_interpreted,12,2025-04-01T04:48:53.840232+00:00,276.84000000000003
wasm_aot,12,2025-04-01T04:53:30.689402+00:00,16.44
wasm_aot,13,2025-04-01T04:53:47.141912+00:00,17.76
native,12,2025-04-01T04:54:04.920072+00:00,16.93
wasm_interpreted,13,2025-04-01T04:54:21.858482+00:00,277.18
wasm_interpreted,14,2025-04-01T04:58:59.055858+00:00,276.38
native,13,2025-04-01T05:03:35.449673+00:00,15.11
docker,12,2025-04-01T05:03:50.570578+00:00,18.16
native,14,2025-04-01T05:04:08.899549+00:00,16.37
wasm_interpreted,15,2025-04-01T05:04:25.282102+00:00,276.65999999999997
wasm_aot,14,2025-04-01T05:09:01.952278+00:00,16.28
wasm_aot,15,2025-04-01T05:09:18.244837+00:00,17.25
wasm_interpreted,16,2025-04-01T05:09:35.511366+00:00,277.21
native,15,2025-04-01T05:14:12.739087+00:00,15.22
native,16,2025-04-01T05:14:27.971008+00:00,15.95
wasm_interpreted,17,2025-04-01T05:14:43.936024+00:00,276.6
docker,13,2025-04-01T05:19:20.544617+00:00,16.63
native,17,2025-04-01T05:19:37.342878+00:00,16.0
wasm_aot,16,2025-04-01T05:19:53.358869+00:00,17.71
docker,14,2025-04-01T05:20:11.078391+00:00,19.04
native,18,2025-04-01T05:20:30.306489+00:00,16.9
docker,15,2025-04-01T05:20:47.214311+00:00,19.03
wasm_aot,17,2025-04-01T05:21:06.437866+00:00,18.76
native,19,2025-04-01T05:21:25.209244+00:00,18.11
docker,16,2025-04-01T05:21:43.330819+00:00,21.03
native,20,2025-04-01T05:22:04.563276+00:00,17.69
wasm_aot,18,2025-04-01T05:22:22.265527+00:00,19.41
wasm_interpreted,18,2025-04-01T05:22:41.690581+00:00,277.72
wasm_interpreted,19,2025-04-01T05:27:19.426482+00:00,276.36
docker,17,2025-04-01T05:31:55.799578+00:00,16.79
docker,18,2025-04-01T05:32:12.749846+00:00,16.95
wasm_aot,19,2025-04-01T05:32:29.875494+00:00,17.45
docker,19,2025-04-01T05:32:47.332928+00:00,18.49
wasm_aot,20,2025-04-01T05:33:06.002607+00:00,18.46
docker,20,2025-04-01T05:33:24.473443+00:00,18.99
wasm_interpreted,20,2025-04-01T05:33:43.650010+00:00,276.92
