model,input,deployment-mechanism,cpu-cycles-mean,cpu-cycles-error-lower,cpu-cycles-error-upper,instructions-mean,instructions-error-lower,instructions-error-upper,cache-misses-mean,cache-misses-error-lower,cache-misses-error-upper,cache-references-mean,cache-references-error-lower,cache-references-error-upper,bus-cycles-mean,bus-cycles-error-lower,bus-cycles-error-upper,page-faults-mean,page-faults-error-lower,page-faults-error-upper,branch-instructions-mean,branch-instructions-error-lower,branch-instructions-error-upper,branch-misses-mean,branch-misses-error-lower,branch-misses-error-upper,major-faults-mean,major-faults-error-lower,major-faults-error-upper,minor-faults-mean,minor-faults-error-lower,minor-faults-error-upper,avg-memory-over-time-in-bytes-mean,avg-memory-over-time-in-bytes-error-lower,avg-memory-over-time-in-bytes-error-upper,max-memory-over-time-in-bytes-mean,max-memory-over-time-in-bytes-error-lower,max-memory-over-time-in-bytes-error-upper,cpu-total-utilization-percentage-mean,cpu-total-utilization-percentage-error-lower,cpu-total-utilization-percentage-error-upper,cpu-user-utilization-percentage-mean,cpu-user-utilization-percentage-error-lower,cpu-user-utilization-percentage-error-upper,cpu-system-utilization-percentage-mean,cpu-system-utilization-percentage-error-lower,cpu-system-utilization-percentage-error-upper,instructions-per-cycle-mean,instructions-per-cycle-error-lower,instructions-per-cycle-error-upper,cycles-per-instruction-mean,cycles-per-instruction-error-lower,cycles-per-instruction-error-upper,wall-time-seconds-mean,wall-time-seconds-error-lower,wall-time-seconds-error-upper
efficientnet_b0.pt,1_SingleObject.jpg,wasm_interpreted,349505860743.3,11007983309.169067,11007983309.169067,309019225278.0,12929094198.388489,12929094198.388489,164786061.9,6612922.682272524,6612922.682272524,197758864929.0,8595783839.27835,8595783839.27835,176115562704.95,6651870408.691315,6651870408.691315,46586.8,319.67025230641593,319.67025230641593,35419215942.85,1650208070.943901,1650208070.943901,2019206423.9,69870851.78090096,69870851.78090096,66.9,81.974894143026,81.974894143026,46519.9,251.3172409327453,251.3172409327453,126964183.6865,5751598.035406664,5751598.035406664,147299123.2,6551116.035182983,6551116.035182983,26.312,0.297546683763958,0.297546683763958,26.236,0.2928675296503193,0.2928675296503193,0.0875,0.0097079225289682,0.0097079225289682,0.8877130704767764,0.0465305456027768,0.0465305456027768,1.1380032137001774,0.0514950382267085,0.0514950382267085,268.12800000000004,0.0988572752318646,0.0988572752318646
efficientnet_b0.pt,1_SingleObject.jpg,native,24514852822.4,980486575.2415352,980486575.2415352,26801218423.35,1140503877.904316,1140503877.904316,35961132.25,1861328.1030853016,1861328.1030853016,5146767285.1,229685214.90180776,229685214.90180776,12384316732.95,556187130.3533859,556187130.3533859,33318.2,295.60411093370203,295.60411093370203,3906363706.15,195885484.06284285,195885484.06284285,135595888.2,5857170.697872937,5857170.697872937,30.45,41.99177081515328,41.99177081515328,33287.75,307.9424686101702,307.9424686101702,61895397.18100001,5177831.92038957,5177831.92038957,103017267.2,5211406.257869735,5211406.257869735,52.456,2.032124690894633,2.032124690894633,50.61350000000001,1.987312301424176,1.987312301424176,1.6125,0.0950556912954219,0.0950556912954219,1.0935570757174105,0.0200626463478783,0.0200626463478783,0.9157656338129738,0.0165836486357566,0.0165836486357566,6.588000000000001,0.1460593329389183,0.1460593329389183
efficientnet_b0.pt,1_SingleObject.jpg,docker,68024972934.76799,6132398611.634079,6132398611.634079,83845419004.99551,6847933195.514465,6847933195.514465,55936136.573,1889743.0968401656,1889743.0968401656,17275458057.142998,1957921921.510891,1957921921.510891,35373614274.98,3159076657.6887016,3159076657.688705,33533.6175,448.820536088213,448.820536088213,13164914113.088,1070836041.6528796,1070836041.6528796,173038819.22250003,13685087.50067678,13685087.50067678,112.8145,104.05744564919222,104.05744564919222,33408.8865,401.014020337796,401.014020337796,74077536.942,8615313.562931962,8615313.562931955,109622476.8,8621424.818621188,8621424.818621188,49.219,1.6460034771483834,1.6460034771483834,46.7855,1.6141562481724137,1.6141562481724137,2.4285,0.065120953820617,0.065120953820617,1.239974615847985,0.050994364891806,0.050994364891806,0.8120639889289052,0.0316407653748146,0.0316407653748146,8.0805,0.2134175673211436,0.2134175673211444
efficientnet_b0.pt,1_SingleObject.jpg,wasm_aot,25290534588.25,1050833421.924614,1050833421.924614,27756298909.8,1285581174.4910812,1285581174.4910812,36906230.1,1594346.717512466,1594346.717512466,5185995726.2,221083836.6558714,221083836.6558714,12641208756.0,416268820.4348202,416268820.4348202,40224.85,160.50544021664973,160.50544021664973,4072878527.75,150396949.8870368,150396949.8870368,134998944.85,3933871.379992351,3933871.379992336,24.75,34.696544351821075,34.696544351821075,40200.1,163.70049035522243,163.70049035522243,108905495.40549998,5583295.265937194,5583295.265937194,125198540.8,4973331.05411315,4973331.05411315,50.4835,1.631861839338164,1.631861839338164,50.095000000000006,1.895218089460684,1.895218089460684,1.4775,0.1466601267629739,0.1466601267629739,1.0979602156664858,0.0282736556225076,0.0282736556225076,0.9134395192998812,0.0238539131545082,0.0238539131545082,7.210499999999999,0.1616298156285411,0.1616298156285411
efficientnet_b1.pt,1_SingleObject.jpg,native,39837181477.85,734709254.6719284,734709254.6719284,45897737254.25,908056088.292656,908056088.292656,57380449.8,1266101.3086038083,1266101.3086038083,8590635633.0,178412214.9339447,178412214.9339447,20303872058.6,391461965.3500328,391461965.3500328,37806.95,520.9436088535294,520.9436088535294,7116512603.7,187354338.0177002,187354338.0177002,185059301.1,4074135.574464351,4074135.574464351,31.05,36.48126517000982,36.48126517000982,37775.9,513.9809601582529,513.9809601582529,83576711.642,4571206.398874268,4571206.398874268,117852569.6,4869170.731993392,4869170.731993392,54.626,1.1860754324061418,1.1860754324061418,53.17600000000001,1.1811001785023336,1.1811001785023336,1.6145,0.0675743849278642,0.0675743849278642,1.1525185338685695,0.0165891469705257,0.0165891469705257,0.8684420625134173,0.0124563072707851,0.0124563072707851,9.4985,0.3633110622367024,0.3633110622367024
efficientnet_b1.pt,1_SingleObject.jpg,docker,108492134376.503,7088350198.435776,7088350198.435776,137544175882.91953,8723023884.439514,8723023884.439514,85917561.197,2574044.0989326984,2574044.0989326984,27321624477.454,2298508924.859707,2298508924.859707,54571645996.541,3856167209.725128,3856167209.725128,37767.941000000006,593.3654962667861,593.3654962667861,21431451129.8435,1113857572.8060532,1113857572.8060532,253960494.8275,24313072.85627106,24313072.85627106,196.421,95.75752116047508,95.75752116047504,37566.5785,581.253926612917,581.253926612917,96158949.63,7448416.341544256,7448416.341544256,129524736.0,8050948.501726329,8050948.501726329,49.335,1.3095000130227137,1.3095000130227137,47.1065,1.2738965684294783,1.2738965684294783,2.226,0.0514793453541062,0.0514793453541062,1.2696047435889075,0.0312537605641058,0.0312537605641058,0.7896870386627639,0.0191995865310548,0.0191995865310548,10.741,0.3609062090538781,0.3609062090538781
efficientnet_b1.pt,1_SingleObject.jpg,wasm_interpreted,360037631551.75,17638385116.33142,17638385116.33142,307036435015.1,8460757425.105774,8460757425.105774,178366973.0,4712151.50273332,4712151.50273332,193705865285.55,9564668573.202454,9564668573.202454,185507520258.6,9137729343.559906,9137729343.559906,56282.6,172.14115146299446,172.14115146299446,38333911508.9,1814303658.8355863,1814303658.8355863,2153362611.35,81605725.33243942,81605725.33243942,69.25,77.75029839983158,77.75029839983159,56213.35,155.5245244062753,155.5245244062753,146559450.68150002,8932884.747099608,8932884.747099608,174027161.6,9426996.634722024,9426996.634722024,27.354,0.0735369950876645,0.0735369950876645,27.2675,0.0756767176949004,0.0756767176949004,0.135,0.0079627625640959,0.0079627625640959,0.8627368809915115,0.052066891353639,0.052066891353639,1.1787840638348528,0.0770739336191295,0.0770739336191295,270.365,0.1664510022387162,0.1664510022387162
efficientnet_b1.pt,1_SingleObject.jpg,wasm_aot,42333469425.85,894596963.6375122,894596963.6375122,48058827068.8,1155577485.966751,1155577485.966751,59802655.4,1246996.781382829,1246996.781382829,8994562047.75,231820476.821949,231820476.821949,21030062903.9,573007708.2276535,573007708.2276535,50189.2,192.3367255801204,192.3367255801204,7403857931.65,227011716.8916626,227011716.8916626,184243929.65,3520841.491476,3520841.491476,70.05,83.24350314111223,83.24350314111224,50119.15,180.4339235633961,180.4339235633961,134650397.39499998,6376636.853405669,6376636.853405684,149942067.2,8220454.929035962,8220454.929035962,55.641000000000005,1.0653059582719209,1.0653059582719209,53.86749999999999,1.0295520558174829,1.0295520558174829,1.6629999999999998,0.0872422302658881,0.0872422302658881,1.1355204881916146,0.0178899245447545,0.0178899245447545,0.8815838267878009,0.0136328021738373,0.0136328021738373,9.9535,0.2544066671167968,0.2544066671167968
efficientnet_b2.pt,1_SingleObject.jpg,wasm_aot,46549706453.6,991397575.0925828,991397575.0925828,53274761808.75,1624359463.820984,1624359463.820984,64913838.45,1437787.3284793869,1437787.3284793869,9950587304.5,220591621.4424019,220591621.4424019,22931988259.85,571571581.6439514,571571581.6439514,55464.55,487.4414766373593,487.4414766373593,8203165341.35,224986733.51513577,224986733.51513577,185188138.0,5432507.857422113,5432507.857422113,120.05,94.66570294774316,94.66570294774316,55344.45,456.1488906572122,456.1488906572122,145556265.84149998,11096284.98005265,11096284.98005265,164434944.0,11648205.758729726,11648205.758729726,52.8965,4.809070227286753,4.809070227286753,51.00749999999999,4.899953057498472,4.899953057498472,1.6934999999999998,0.1616069899335153,0.1616069899335153,1.1441422775160868,0.0212239001736087,0.0212239001736087,0.875343284122267,0.0164948168870238,0.0164948168870238,10.591,0.2587676202896762,0.2587676202896762
efficientnet_b2.pt,1_SingleObject.jpg,wasm_interpreted,372628026966.7,14560073232.198914,14560073232.198914,323491805479.75,11734809971.72821,11734809971.72821,187804277.95,6100217.787796319,6100217.787796319,197611848538.3,6781140621.933044,6781140621.933044,185866911696.8,5936440281.029877,5936440281.029877,62367.3,370.7893105785552,370.7893105785552,39562511661.5,1370014466.113678,1370014466.113678,2050995411.8,77195654.14996839,77195654.14996839,71.9,73.01433688654504,73.01433688654504,62295.45,370.2683961821895,370.2683961821895,152673389.01799998,8886100.782739103,8886100.782739103,179992576.0,9135263.572798848,9135263.572798848,27.591,0.0964406176274614,0.0964406176274614,27.4695,0.0976472729397812,0.0976472729397812,0.1575,0.0062376256894032,0.0062376256894032,0.8724176327050287,0.038983208064489,0.038983208064489,1.1563481666867392,0.0525113226460192,0.0525113226460192,270.9015,0.2012449058550487,0.2012449058550487
