"metric","native-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","23,534,366,247.16-25,495,339,397.64","61,892,574,323.13-74,157,371,546.40","True","2.52x-3.03x"
"instructions","25,660,714,545.45-27,941,722,301.25","76,997,485,809.48-90,693,352,200.51","True","2.87x-3.39x"
"cache-misses","34,099,804.15-37,822,460.35","54,046,393.48-57,825,879.67","True","1.48x-1.63x"
"cache-references","4,917,082,070.20-5,376,452,500.00","15,317,536,135.63-19,233,379,978.65","True","2.97x-3.74x"
"bus-cycles","11,828,129,602.60-12,940,503,863.30","32,214,537,617.29-38,532,690,932.67","True","2.60x-3.11x"
"page-faults","33,022.60-33,613.80","33,084.80-33,982.44","False","0.99x-1.02x"
"branch-instructions","3,710,478,222.09-4,102,249,190.21","12,094,078,071.44-14,235,750,154.74","True","3.09x-3.65x"
"branch-misses","129,738,717.50-141,453,058.90","159,353,731.72-186,723,906.72","True","1.17x-1.38x"
"major-faults","-11.54-72.44","8.76-216.87","False","0.08x-7.33x"
"minor-faults","32,979.81-33,595.69","33,007.87-33,809.90","False","0.99x-1.02x"
"avg-memory-over-time-in-bytes","56,717,565.26-67,073,229.10","65,462,223.38-82,692,850.50","True","1.04x-1.36x"
"max-memory-over-time-in-bytes","97,805,860.94-108,228,673.46","101,001,051.98-118,243,901.62","False","0.97x-1.16x"
"cpu-total-utilization-percentage","50.42-54.49","47.57-50.87","True","1.01x-1.12x"
"cpu-user-utilization-percentage","48.63-52.60","45.17-48.40","True","1.03x-1.13x"
"cpu-system-utilization-percentage","1.52-1.71","2.36-2.49","True","1.44x-1.58x"
"instructions-per-cycle","1.07-1.11","1.19-1.29","True","1.08x-1.18x"
"cycles-per-instruction","0.90-0.93","0.78-0.84","True","1.08x-1.17x"
"wall-time-seconds","6.44-6.73","7.87-8.29","True","1.19x-1.26x"
