"metric","native-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","23,534,366,247.16-25,495,339,397.64","24,239,701,166.33-26,341,368,010.17","False","0.97x-1.09x"
"instructions","25,660,714,545.45-27,941,722,301.25","26,470,717,735.31-29,041,880,084.29","False","0.97x-1.10x"
"cache-misses","34,099,804.15-37,822,460.35","35,311,883.38-38,500,576.82","False","0.96x-1.09x"
"cache-references","4,917,082,070.20-5,376,452,500.00","4,964,911,889.54-5,407,079,562.86","False","0.95x-1.07x"
"bus-cycles","11,828,129,602.60-12,940,503,863.30","12,224,939,935.57-13,057,477,576.43","False","0.97x-1.08x"
"page-faults","33,022.60-33,613.80","40,064.34-40,385.36","True","1.20x-1.22x"
"branch-instructions","3,710,478,222.09-4,102,249,190.21","3,922,481,577.86-4,223,275,477.64","False","0.98x-1.10x"
"branch-misses","129,738,717.50-141,453,058.90","131,065,073.47-138,932,816.23","False","0.95x-1.06x"
"major-faults","-11.54-72.44","-9.95-59.45","False","-0.90x-3.36x"
"minor-faults","32,979.81-33,595.69","40,036.40-40,363.80","True","1.20x-1.22x"
"avg-memory-over-time-in-bytes","56,717,565.26-67,073,229.10","103,322,200.14-114,488,790.67","True","1.64x-1.88x"
"max-memory-over-time-in-bytes","97,805,860.94-108,228,673.46","120,225,209.75-130,171,871.85","True","1.15x-1.28x"
"cpu-total-utilization-percentage","50.42-54.49","48.85-52.12","False","0.99x-1.09x"
"cpu-user-utilization-percentage","48.63-52.60","48.20-51.99","False","0.96x-1.06x"
"cpu-system-utilization-percentage","1.52-1.71","1.33-1.62","False","0.98x-1.21x"
"instructions-per-cycle","1.07-1.11","1.07-1.13","False","0.97x-1.03x"
"cycles-per-instruction","0.90-0.93","0.89-0.94","False","0.97x-1.03x"
"wall-time-seconds","6.44-6.73","7.05-7.37","True","1.06x-1.13x"
