"metric","wasm_interpreted-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","338,497,877,434.13-360,513,844,052.47","61,892,574,323.13-74,157,371,546.40","True","4.96x-5.32x"
"instructions","296,090,131,079.61-321,948,319,476.39","76,997,485,809.48-90,693,352,200.51","True","3.52x-3.86x"
"cache-misses","158,173,139.22-171,398,984.58","54,046,393.48-57,825,879.67","True","2.82x-3.07x"
"cache-references","189,163,081,089.72-206,354,648,768.28","15,317,536,135.63-19,233,379,978.65","True","10.94x-11.95x"
"bus-cycles","169,463,692,296.26-182,767,433,113.64","32,214,537,617.29-38,532,690,932.67","True","4.77x-5.18x"
"page-faults","46,267.13-46,906.47","33,084.80-33,982.44","True","1.37x-1.41x"
"branch-instructions","33,769,007,871.91-37,069,424,013.79","12,094,078,071.44-14,235,750,154.74","True","2.55x-2.84x"
"branch-misses","1,949,335,572.12-2,089,077,275.68","159,353,731.72-186,723,906.72","True","11.26x-12.08x"
"major-faults","-15.07-148.87","8.76-216.87","False","-0.23x-3.60x"
"minor-faults","46,268.58-46,771.22","33,007.87-33,809.90","True","1.38x-1.41x"
"avg-memory-over-time-in-bytes","121,212,585.65-132,715,781.72","65,462,223.38-82,692,850.50","True","1.58x-1.85x"
"max-memory-over-time-in-bytes","140,748,007.16-153,850,239.24","101,001,051.98-118,243,901.62","True","1.25x-1.44x"
"cpu-total-utilization-percentage","26.01-26.61","47.57-50.87","True","1.81x-1.93x"
"cpu-user-utilization-percentage","25.94-26.53","45.17-48.40","True","1.72x-1.85x"
"cpu-system-utilization-percentage","0.08-0.10","2.36-2.49","True","27.00x-28.50x"
"instructions-per-cycle","0.84-0.93","1.19-1.29","True","1.32x-1.47x"
"cycles-per-instruction","1.09-1.19","0.78-0.84","True","1.33x-1.47x"
"wall-time-seconds","268.03-268.23","7.87-8.29","True","33.15x-33.21x"
