"metric","wasm_interpreted-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","338,497,877,434.13-360,513,844,052.47","24,239,701,166.33-26,341,368,010.17","True","13.38x-14.26x"
"instructions","296,090,131,079.61-321,948,319,476.39","26,470,717,735.31-29,041,880,084.29","True","10.67x-11.60x"
"cache-misses","158,173,139.22-171,398,984.58","35,311,883.38-38,500,576.82","True","4.28x-4.65x"
"cache-references","189,163,081,089.72-206,354,648,768.28","4,964,911,889.54-5,407,079,562.86","True","36.48x-39.79x"
"bus-cycles","169,463,692,296.26-182,767,433,113.64","12,224,939,935.57-13,057,477,576.43","True","13.40x-14.46x"
"page-faults","46,267.13-46,906.47","40,064.34-40,385.36","True","1.15x-1.17x"
"branch-instructions","33,769,007,871.91-37,069,424,013.79","3,922,481,577.86-4,223,275,477.64","True","8.29x-9.10x"
"branch-misses","1,949,335,572.12-2,089,077,275.68","131,065,073.47-138,932,816.23","True","14.44x-15.48x"
"major-faults","-15.07-148.87","-9.95-59.45","False","-0.83x-6.24x"
"minor-faults","46,268.58-46,771.22","40,036.40-40,363.80","True","1.15x-1.16x"
"avg-memory-over-time-in-bytes","121,212,585.65-132,715,781.72","103,322,200.14-114,488,790.67","True","1.09x-1.24x"
"max-memory-over-time-in-bytes","140,748,007.16-153,850,239.24","120,225,209.75-130,171,871.85","True","1.11x-1.24x"
"cpu-total-utilization-percentage","26.01-26.61","48.85-52.12","True","1.86x-1.98x"
"cpu-user-utilization-percentage","25.94-26.53","48.20-51.99","True","1.84x-1.98x"
"cpu-system-utilization-percentage","0.08-0.10","1.33-1.62","True","15.21x-18.56x"
"instructions-per-cycle","0.84-0.93","1.07-1.13","True","1.18x-1.30x"
"cycles-per-instruction","1.09-1.19","0.89-0.94","True","1.18x-1.31x"
"wall-time-seconds","268.03-268.23","7.05-7.37","True","37.16x-37.21x"
