"metric","docker-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","117,777,619,784.32-136,420,096,858.18","62,717,087,589.37-65,657,787,402.13","True","1.83x-2.13x"
"instructions","146,106,741,804.05-172,298,841,587.16","75,509,555,485.11-78,938,353,437.89","True","1.89x-2.23x"
"cache-misses","104,232,691.35-116,694,141.51","87,716,630.61-90,174,962.09","True","1.17x-1.31x"
"cache-references","26,648,438,450.79-31,790,880,124.47","14,078,102,835.39-14,841,884,854.61","True","1.84x-2.20x"
"bus-cycles","58,257,422,346.21-68,297,116,408.79","31,517,763,004.00-33,286,041,450.70","True","1.80x-2.11x"
"page-faults","43,300.04-44,408.58","66,404.82-67,577.78","True","1.51x-1.55x"
"branch-instructions","23,478,488,933.27-27,531,462,125.62","11,786,140,650.55-12,579,153,198.75","True","1.92x-2.26x"
"branch-misses","203,327,541.43-235,486,177.91","198,653,455.62-205,958,701.08","True","1.00x-1.17x"
"major-faults","200.59-410.46","18.77-209.93","True","1.47x-3.87x"
"minor-faults","42,985.52-44,097.09","66,257.01-67,496.89","True","1.52x-1.55x"
"avg-memory-over-time-in-bytes","120,854,901.56-148,850,874.63","157,327,574.43-174,709,859.98","True","1.11x-1.35x"
"max-memory-over-time-in-bytes","152,005,509.05-183,121,018.95","190,895,817.47-210,705,104.13","True","1.09x-1.31x"
"cpu-total-utilization-percentage","42.04-48.58","55.43-57.30","True","1.17x-1.32x"
"cpu-user-utilization-percentage","40.17-46.44","53.60-55.45","True","1.18x-1.33x"
"cpu-system-utilization-percentage","1.86-2.15","1.76-1.87","True","1.02x-1.19x"
"instructions-per-cycle","1.21-1.29","1.19-1.22","True","1.01x-1.07x"
"cycles-per-instruction","0.78-0.83","0.82-0.84","True","1.00x-1.07x"
"wall-time-seconds","13.49-14.30","12.95-13.61","True","1.01x-1.08x"
