"metric","docker-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","169,349,205,815.02-201,765,204,093.65","401,112,999,869.58-428,596,211,720.92","True","2.12x-2.35x"
"instructions","214,079,009,059.19-258,584,534,073.82","374,429,326,181.07-400,963,318,361.33","True","1.53x-1.75x"
"cache-misses","149,499,945.06-170,454,309.91","243,224,227.51-260,601,507.99","True","1.49x-1.66x"
"cache-references","39,905,398,675.44-49,025,575,588.50","203,954,647,044.78-222,633,928,316.12","True","4.57x-5.03x"
"bus-cycles","86,538,862,919.30-103,016,728,233.50","201,849,679,829.12-216,309,808,906.58","True","2.09x-2.32x"
"page-faults","52,503.56-54,385.22","102,081.26-103,905.84","True","1.90x-1.95x"
"branch-instructions","34,428,561,875.05-40,872,244,464.30","46,466,710,302.16-50,926,064,340.54","True","1.19x-1.39x"
"branch-misses","305,636,387.18-365,788,217.23","2,065,403,485.98-2,219,630,332.42","True","6.14x-6.62x"
"major-faults","224.76-477.65","46.20-112.60","True","2.79x-6.06x"
"minor-faults","52,199.25-53,966.60","102,008.63-103,819.67","True","1.92x-1.96x"
"avg-memory-over-time-in-bytes","163,633,020.45-199,417,635.95","228,228,659.21-250,567,693.80","True","1.21x-1.43x"
"max-memory-over-time-in-bytes","190,441,543.11-229,468,498.49","301,986,295.61-325,482,401.99","True","1.39x-1.60x"
"cpu-total-utilization-percentage","42.41-49.28","30.03-30.37","True","1.40x-1.63x"
"cpu-user-utilization-percentage","40.55-47.15","29.74-30.07","True","1.36x-1.58x"
"cpu-system-utilization-percentage","1.86-2.14","0.29-0.32","True","6.11x-7.04x"
"instructions-per-cycle","1.24-1.31","0.90-0.97","True","1.31x-1.41x"
"cycles-per-instruction","0.77-0.81","1.03-1.11","True","1.31x-1.42x"
"wall-time-seconds","17.96-18.96","276.67-277.22","True","14.97x-15.04x"
