"metric","native-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","90,950,832,754.38-94,890,235,338.92","401,112,999,869.58-428,596,211,720.92","True","4.32x-4.61x"
"instructions","111,804,873,446.31-117,100,892,908.29","374,429,326,181.07-400,963,318,361.33","True","3.27x-3.51x"
"cache-misses","119,144,796.70-123,658,103.60","243,224,227.51-260,601,507.99","True","2.00x-2.15x"
"cache-references","20,508,788,248.52-21,325,949,532.88","203,954,647,044.78-222,633,928,316.12","True","9.75x-10.64x"
"bus-cycles","45,524,496,565.87-47,185,729,799.03","201,849,679,829.12-216,309,808,906.58","True","4.35x-4.67x"
"page-faults","50,635.77-52,801.33","102,081.26-103,905.84","True","1.96x-2.02x"
"branch-instructions","17,900,322,742.93-18,691,053,550.67","46,466,710,302.16-50,926,064,340.54","True","2.54x-2.78x"
"branch-misses","248,953,480.54-257,232,140.96","2,065,403,485.98-2,219,630,332.42","True","8.16x-8.77x"
"major-faults","18.20-109.40","46.20-112.60","False","0.39x-2.10x"
"minor-faults","50,583.89-52,725.61","102,008.63-103,819.67","True","1.97x-2.02x"
"avg-memory-over-time-in-bytes","160,997,269.23-185,112,059.78","228,228,659.21-250,567,693.80","True","1.29x-1.48x"
"max-memory-over-time-in-bytes","188,687,612.89-218,010,780.71","301,986,295.61-325,482,401.99","True","1.45x-1.63x"
"cpu-total-utilization-percentage","52.58-57.36","30.03-30.37","True","1.74x-1.90x"
"cpu-user-utilization-percentage","51.10-55.83","29.74-30.07","True","1.71x-1.87x"
"cpu-system-utilization-percentage","1.60-1.73","0.29-0.32","True","5.26x-5.70x"
"instructions-per-cycle","1.22-1.24","0.90-0.97","True","1.27x-1.35x"
"cycles-per-instruction","0.81-0.82","1.03-1.11","True","1.27x-1.37x"
"wall-time-seconds","15.93-16.84","276.67-277.22","True","16.87x-16.94x"
