"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","130,182,201,112.92-136,903,208,195.68","257,897,858,731.31-280,256,272,256.15","True","1.93x-2.10x"
"instructions","159,980,026,066.74-169,197,488,528.56","320,464,024,094.71-350,582,570,446.22","True","1.94x-2.13x"
"cache-misses","181,235,162.87-186,772,974.83","218,796,392.76-236,119,050.05","True","1.19x-1.29x"
"cache-references","29,830,554,976.49-31,386,037,456.81","57,425,335,394.95-63,764,055,205.70","True","1.87x-2.09x"
"bus-cycles","65,291,678,503.89-68,980,690,172.31","125,859,156,276.26-137,607,686,226.55","True","1.87x-2.05x"
"page-faults","143,900.15-149,677.65","69,438.25-71,751.52","True","2.04x-2.12x"
"branch-instructions","25,442,054,267.35-27,118,004,260.25","51,069,865,559.86-55,714,592,811.54","True","1.94x-2.12x"
"branch-misses","321,736,943.48-329,549,505.42","382,788,935.97-432,413,139.49","True","1.17x-1.33x"
"major-faults","234.25-478.95","369.51-587.50","False","0.90x-1.79x"
"minor-faults","143,626.61-149,237.89","68,975.00-71,197.25","True","2.05x-2.13x"
"avg-memory-over-time-in-bytes","341,795,239.22-372,973,904.18","260,001,683.05-296,116,632.33","True","1.20x-1.37x"
"max-memory-over-time-in-bytes","445,050,768.79-481,728,623.21","284,691,596.18-329,949,248.62","True","1.42x-1.60x"
"cpu-total-utilization-percentage","53.00-55.68","44.22-48.79","True","1.11x-1.22x"
"cpu-user-utilization-percentage","51.16-53.73","42.29-46.68","True","1.12x-1.23x"
"cpu-system-utilization-percentage","1.82-1.96","1.94-2.13","True","1.02x-1.14x"
"instructions-per-cycle","1.23-1.24","1.21-1.28","False","0.99x-1.04x"
"cycles-per-instruction","0.81-0.82","0.78-0.82","False","0.98x-1.04x"
"wall-time-seconds","25.06-26.17","25.41-27.38","False","0.99x-1.07x"
