"metric","wasm_aot-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","130,182,201,112.92-136,903,208,195.68","417,768,023,109.64-449,107,337,808.26","True","3.13x-3.37x"
"instructions","159,980,026,066.74-169,197,488,528.56","412,698,363,826.85-441,445,357,352.25","True","2.50x-2.69x"
"cache-misses","181,235,162.87-186,772,974.83","290,199,800.85-306,080,391.85","True","1.58x-1.67x"
"cache-references","29,830,554,976.49-31,386,037,456.81","212,090,717,973.78-226,562,426,969.62","True","6.93x-7.40x"
"bus-cycles","65,291,678,503.89-68,980,690,172.31","225,909,879,045.54-239,160,888,046.96","True","3.36x-3.57x"
"page-faults","143,900.15-149,677.65","152,908.11-159,864.79","True","1.04x-1.10x"
"branch-instructions","25,442,054,267.35-27,118,004,260.25","54,067,443,902.52-58,112,929,982.08","True","2.05x-2.22x"
"branch-misses","321,736,943.48-329,549,505.42","2,114,023,906.51-2,287,834,570.79","True","6.49x-7.03x"
"major-faults","234.25-478.95","261.90-517.10","False","0.61x-1.57x"
"minor-faults","143,626.61-149,237.89","152,610.60-159,383.20","True","1.04x-1.09x"
"avg-memory-over-time-in-bytes","341,795,239.22-372,973,904.18","335,638,013.75-362,340,718.60","False","0.97x-1.08x"
"max-memory-over-time-in-bytes","445,050,768.79-481,728,623.21","450,694,398.22-484,401,512.18","False","0.96x-1.06x"
"cpu-total-utilization-percentage","53.00-55.68","31.49-31.74","True","1.68x-1.76x"
"cpu-user-utilization-percentage","51.16-53.73","31.07-31.32","True","1.64x-1.72x"
"cpu-system-utilization-percentage","1.82-1.96","0.39-0.43","True","4.43x-4.77x"
"instructions-per-cycle","1.23-1.24","0.95-1.03","True","1.21x-1.29x"
"cycles-per-instruction","0.81-0.82","0.98-1.05","True","1.21x-1.30x"
"wall-time-seconds","25.06-26.17","283.36-284.22","True","11.05x-11.11x"
