"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","45,558,308,878.51-47,541,104,028.69","103,340,004,356.64-111,423,112,145.62","True","2.22x-2.40x"
"instructions","51,650,402,344.93-54,899,121,272.57","133,234,740,582.67-141,058,149,472.18","True","2.50x-2.65x"
"cache-misses","63,476,051.12-66,351,625.78","87,554,115.88-92,670,756.77","True","1.34x-1.43x"
"cache-references","9,729,995,683.06-10,171,178,925.94","24,461,309,504.18-26,626,366,342.51","True","2.46x-2.68x"
"bus-cycles","22,360,416,678.21-23,503,559,841.49","51,526,148,162.38-56,054,990,545.15","True","2.24x-2.45x"
"page-faults","54,977.11-55,951.99","39,051.76-40,381.85","True","1.38x-1.42x"
"branch-instructions","7,978,178,607.83-8,428,152,074.87","21,236,808,106.97-22,720,210,069.59","True","2.59x-2.77x"
"branch-misses","179,755,630.14-190,620,645.86","205,014,152.27-238,077,515.15","True","1.10x-1.29x"
"major-faults","25.38-214.72","98.43-305.72","False","0.55x-2.81x"
"minor-faults","54,888.30-55,800.60","38,856.26-40,148.79","True","1.38x-1.42x"
"avg-memory-over-time-in-bytes","134,459,980.86-156,652,550.82","94,245,790.98-118,791,973.29","True","1.22x-1.52x"
"max-memory-over-time-in-bytes","152,786,738.24-176,083,149.76","125,300,272.27-150,904,066.93","True","1.07x-1.31x"
"cpu-total-utilization-percentage","48.09-57.71","46.61-49.92","False","0.99x-1.20x"
"cpu-user-utilization-percentage","46.11-55.91","44.45-47.63","False","1.00x-1.22x"
"cpu-system-utilization-percentage","1.53-1.86","2.15-2.30","True","1.21x-1.42x"
"instructions-per-cycle","1.12-1.17","1.24-1.32","True","1.08x-1.16x"
"cycles-per-instruction","0.86-0.89","0.76-0.81","True","1.08x-1.15x"
"wall-time-seconds","10.33-10.85","10.93-11.79","True","1.03x-1.12x"
