"metric","native-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","90,950,832,754.38-94,890,235,338.92","91,985,626,476.31-96,024,682,665.39","False","0.98x-1.04x"
"instructions","111,804,873,446.31-117,100,892,908.29","112,532,990,969.31-117,790,558,704.09","False","0.97x-1.04x"
"cache-misses","119,144,796.70-123,658,103.60","126,036,804.53-130,695,966.97","True","1.03x-1.08x"
"cache-references","20,508,788,248.52-21,325,949,532.88","20,890,934,219.65-21,855,128,793.75","False","0.99x-1.05x"
"bus-cycles","45,524,496,565.87-47,185,729,799.03","46,530,342,326.84-48,628,806,150.56","False","1.00x-1.05x"
"page-faults","50,635.77-52,801.33","95,846.53-97,782.77","True","1.84x-1.90x"
"branch-instructions","17,900,322,742.93-18,691,053,550.67","17,953,524,184.35-18,773,601,638.45","False","0.97x-1.03x"
"branch-misses","248,953,480.54-257,232,140.96","248,705,474.02-256,952,885.78","False","0.98x-1.02x"
"major-faults","18.20-109.40","69.49-247.11","False","0.95x-4.01x"
"minor-faults","50,583.89-52,725.61","95,707.84-97,604.76","True","1.84x-1.90x"
"avg-memory-over-time-in-bytes","160,997,269.23-185,112,059.78","228,384,621.79-250,415,428.29","True","1.29x-1.47x"
"max-memory-over-time-in-bytes","188,687,612.89-218,010,780.71","283,092,824.48-310,014,119.52","True","1.36x-1.55x"
"cpu-total-utilization-percentage","52.58-57.36","55.36-56.85","False","0.98x-1.07x"
"cpu-user-utilization-percentage","51.10-55.83","53.49-54.97","False","0.97x-1.06x"
"cpu-system-utilization-percentage","1.60-1.73","1.79-1.87","True","1.05x-1.14x"
"instructions-per-cycle","1.22-1.24","1.22-1.23","False","0.99x-1.02x"
"cycles-per-instruction","0.81-0.82","0.81-0.82","False","0.99x-1.02x"
"wall-time-seconds","15.93-16.84","17.47-18.78","True","1.06x-1.15x"
