deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
native,1,2025-03-31T23:52:33.214643+00:00,97437841391.0,116815239755.0,129039779.0,21738333781.0,48192148174.0,57800.0,19328243305.0,250495078.0,296.0,57504.0,189173477.52,227667968.0,34.22,33.05,1.17
wasm_aot,1,2025-03-31T23:54:12.625194+00:00,83888065705.0,100320683706.0,126795314.0,19388567704.0,44367379412.0,99062.0,16756184344.0,261106212.0,506.0,98555.0,277452231.11,355377152.0,53.65,51.75,1.9
docker_container,1,2025-03-31T23:55:26.113416+00:00,177122119910.0,235653120248.0,172883382.0,41523838157.0,91525583046.0,49247.0,37672470168.0,287601170.0,495.0,48753.0,220392043.16,264654848.0,46.2,44.25,1.94
docker_container_and_daemon,1,2025-03-31T23:55:26.113416+00:00,180032983915.66,237306080181.0,177457422.05,42254019806.78,93154489748.45,54634.36,37988860294.0,307240478.86,621.28,53947.88,265911573.82999998,369410048.0,46.34,44.3,2.03
docker_container_and_daemon_extra_overhead,1,2025-03-31T23:55:26.113416+00:00,180018739668.66,237304888247.0,177414991.05,42253443530.78,93150241759.45,54634.36,37988667500.0,307185327.86,621.28,53947.88,236252437.82999998,264654848.0,46.34,44.3,2.03
docker_container,2,2025-03-31T23:58:22.572328+00:00,153362830969.0,197403513440.0,145283313.0,34685707135.0,76713835354.0,52485.0,32518773303.0,259916587.0,0.0,52483.0,142369792.0,164859904.0,44.06,42.22,1.85
docker_container_and_daemon,2,2025-03-31T23:58:22.572328+00:00,156801562965.02,199054589476.08,146022491.54,35472983623.56,77711356900.14,52972.87,32807328583.05,276632219.28,0.0,52970.87,192034304.0,269615104.0,44.1,42.24,1.87
docker_container_and_daemon_extra_overhead,2,2025-03-31T23:58:22.572328+00:00,156786542323.02,197450892460.08,145936299.54,35472531892.56,77703921953.14,52972.87,32518773303.0,276565284.28,0.0,52970.87,144463360.0,164859904.0,44.1,42.24,1.87
wasm_aot,2,2025-04-01T00:01:09.745491+00:00,96230835468.0,118786149064.0,131367634.0,22184028064.0,48825946583.0,99027.0,18970928512.0,241911561.0,739.0,98288.0,278102016.0,336347136.0,52.14,50.3,1.82
native,2,2025-04-01T00:02:36.911586+00:00,92154040619.0,115039447524.0,121017750.0,20462478365.0,45459971391.0,50178.0,17851135512.0,252224574.0,20.0,50158.0,188248904.21,226320384.0,53.96,52.28,1.67
