metric,wasm_aot-value,native-value,statistically-significant,effect-size
cpu-cycles,7258388096.117475-8898420015.382524,6422161329.955465-8773171814.744535,False,0.88x-1.25x
instructions,5978741173.7513685-8633699566.848633,5434484082.110807-7467663455.489193,False,0.88x-1.38x
cache-misses,11658667.155627055-16026801.944372946,10967902.325645851-14211833.77435415,False,0.89x-1.31x
cache-references,1237325234.709443-1779583017.8905568,1042850107.6481328-1460174773.2518673,False,0.94x-1.47x
bus-cycles,3680983782.966854-5135647282.133146,3260203477.098201-4451595850.401799,False,0.91x-1.38x
page-faults,29364.155316108125-29462.544683891872,28078.509529991017-28152.69047000898,True,1.04x-1.05x
branch-instructions,777602522.4860317-1132624947.3139684,665920851.8705676-995488741.9294324,False,0.87x-1.43x
branch-misses,60506121.68845317-83641986.41154683,58438750.85048252-78412417.24951747,False,0.84x-1.27x
major-faults,-12.948149618225607-135.1481496182256,-1.82116860782655-42.32116860782655,False,-0.76x-6.79x
minor-faults,29320.859091765695-29383.640908234305,28051.58857181432-28139.111428185675,True,1.04x-1.05x
avg-memory-over-time-in-bytes,68787411.46939094-81241634.29060908,38494481.70815798-45722794.02584202,True,1.61x-1.95x
max-memory-over-time-in-bytes,97137739.2303549-108839041.5696451,85448506.81814112-89631326.78185888,True,1.11x-1.25x
CPU-total-utilization-percentage,30.032202418770247-38.612797581229735,30.692010677762685-39.95198932223732,False,0.85x-1.21x
CPU-user-utilization-percentage,29.07161813632979-36.9503818636702,28.609609204884393-36.74839079511561,False,0.84x-1.18x
CPU-system-utilization-percentage,1.2765246933249899-1.7744753066750099,1.7365548821074426-2.166445117892557,True,1.07x-1.49x
instructions-per-cycle,0.7976023316164013-0.973865688363181,0.7817672204689152-0.9191212324234765,False,0.91x-1.17x
cycles-per-instruction,1.0627041373119521-1.2892188222484493,1.1040636703841848-1.3217276850617294,False,0.90x-1.16x
