deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,CPU-total-utilization-percentage,CPU-user-utilization-percentage,CPU-system-utilization-percentage
wasm_aot,1,2025-04-01T21:56:40.915893+00:00,9689938921.0,6411374335.0,11842593.0,1373599711.0,4284385813.0,29373.0,786204685.0,65284895.0,9.0,29364.0,63401984.0,95780864.0,31.22,31.3,2.03
native,1,2025-04-01T21:57:07.300292+00:00,5649518365.0,4619554413.0,10651059.0,926108818.0,2313544646.0,28291.0,399140955.0,34908016.0,1.0,28290.0,37437440.0,83820544.0,19.96,22.87,2.05
native,2,2025-04-01T21:57:32.909430+00:00,4309133927.0,3694575184.0,8925825.0,644587259.0,2892737414.0,28092.0,470542257.0,50545362.0,0.0,28092.0,32059392.0,83701760.0,27.61,23.96,2.05
native,3,2025-04-01T21:57:58.286724+00:00,6141217238.0,4423625343.0,11379999.0,1077105683.0,4097335357.0,28082.0,726872691.0,80043798.0,0.0,28082.0,40744277.33,88842240.0,41.42,36.11,2.32
native,4,2025-04-01T21:58:23.930203+00:00,6785776550.0,6860262531.0,13242123.0,1059493980.0,3070263657.0,28058.0,566636403.0,42496951.0,67.0,27991.0,60102656.0,88141824.0,25.83,24.05,0.98
native,5,2025-04-01T21:58:49.866011+00:00,7437935573.0,8504489522.0,20240891.0,1578215980.0,4459002961.0,28148.0,743231625.0,57267750.0,0.0,28148.0,41327274.67,89354240.0,28.48,27.4,1.73
wasm_aot,2,2025-04-01T21:59:16.142719+00:00,6688754018.0,6141866668.0,10600313.0,902017088.0,2894522232.0,29388.0,682404567.0,39957017.0,38.0,29350.0,58422272.0,99397632.0,27.62,25.17,1.62
native,6,2025-04-01T21:59:42.178513+00:00,8794171419.0,6623699432.0,11333942.0,1337044760.0,4040573804.0,28106.0,1053453332.0,94219506.0,0.0,28106.0,31545344.0,83763200.0,35.59,32.77,1.94
wasm_interpreted,1,2025-04-01T22:00:07.929813+00:00,326252987233.0,263849147151.0,133450237.0,196695245179.0,162743668957.0,35541.0,31933095895.0,1905958884.0,13.0,35528.0,107826881.42,117755904.0,25.28,25.27,0.03
native,7,2025-04-01T22:04:59.468010+00:00,8250994961.0,8596614735.0,20951033.0,2047273474.0,4923482681.0,28170.0,1106203909.0,88184512.0,67.0,28103.0,44020736.0,94650368.0,40.28,36.52,2.35
wasm_aot,3,2025-04-01T22:05:25.345647+00:00,7374581339.0,5897945519.0,10978065.0,1431474929.0,4228430989.0,29394.0,922810875.0,69420938.0,0.0,29394.0,63336448.0,95293440.0,41.92,38.8,2.09
docker_container,1,2025-04-01T22:05:51.174899+00:00,12853905253.0,11497289305.0,15818380.0,2256972568.0,6948037844.0,28289.0,1902733296.0,96496443.0,348.0,27942.0,45739212.8,102670336.0,26.88,24.97,1.88
