"metric","native-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","6,422,161,329.96-8,773,171,814.74","13,090,342,808.58-16,017,662,307.95","True","1.68x-2.15x"
"instructions","5,434,484,082.11-7,467,663,455.49","16,816,557,940.01-22,641,809,078.81","True","2.59x-3.53x"
"cache-misses","10,967,902.33-14,211,833.77","17,056,475.80-20,557,473.14","True","1.31x-1.68x"
"cache-references","1,042,850,107.65-1,460,174,773.25","3,371,273,281.56-4,726,186,763.19","True","2.67x-3.80x"
"bus-cycles","3,260,203,477.10-4,451,595,850.40","7,163,749,897.06-8,704,225,287.73","True","1.81x-2.30x"
"page-faults","28,078.51-28,152.69","28,385.75-29,453.87","True","1.01x-1.05x"
"branch-instructions","665,920,851.87-995,488,741.93","2,355,172,544.59-3,092,056,562.82","True","2.80x-3.76x"
"branch-misses","58,438,750.85-78,412,417.25","94,918,682.21-107,760,596.93","True","1.31x-1.65x"
"major-faults","-1.82-42.32","53.52-226.14","True","2.54x-11.27x"
"minor-faults","28,051.59-28,139.11","28,277.03-29,273.13","True","1.01x-1.04x"
"avg-memory-over-time-in-bytes","38,494,481.71-45,722,794.03","44,443,785.91-51,656,410.05","True","1.02x-1.26x"
"max-memory-over-time-in-bytes","85,448,506.82-89,631,326.78","89,158,461.41-98,106,152.99","True","1.01x-1.12x"
"cpu-total-utilization-percentage","30.69-39.95","35.03-40.06","False","0.92x-1.21x"
"cpu-user-utilization-percentage","28.61-36.75","33.12-38.20","False","0.95x-1.23x"
"cpu-system-utilization-percentage","1.74-2.17","2.36-2.70","True","1.16x-1.43x"
"instructions-per-cycle","0.78-0.92","1.21-1.49","True","1.41x-1.77x"
"cycles-per-instruction","1.10-1.32","0.69-0.85","True","1.40x-1.74x"
"wall-time-seconds","3.77-4.06","5.18-5.36","True","1.30x-1.39x"
