"metric","wasm_aot-value","wasm_interpreted-value","statistically-significant","effect-size"
"cpu-cycles","7,258,388,096.12-8,898,420,015.38","311,469,474,252.10-359,898,705,522.70","True","38.55x-44.55x"
"instructions","5,978,741,173.75-8,633,699,566.85","266,683,457,086.13-310,003,891,907.07","True","36.50x-42.43x"
"cache-misses","11,658,667.16-16,026,801.94","118,397,883.42-143,883,591.48","True","8.54x-10.40x"
"cache-references","1,237,325,234.71-1,779,583,017.89","183,779,055,815.36-211,623,075,975.34","True","121.83x-140.29x"
"bus-cycles","3,680,983,782.97-5,135,647,282.13","155,853,888,152.44-181,878,383,060.16","True","35.35x-41.26x"
"page-faults","29,364.16-29,462.54","35,512.62-35,770.88","True","1.21x-1.22x"
"branch-instructions","777,602,522.49-1,132,624,947.31","30,642,498,363.51-34,760,316,569.99","True","32.08x-36.40x"
"branch-misses","60,506,121.69-83,641,986.41","1,872,254,660.39-2,078,040,420.51","True","25.97x-28.84x"
"major-faults","-12.95-135.15","-2.20-83.20","False","-0.55x-3.57x"
"minor-faults","29,320.86-29,383.64","35,479.54-35,722.96","True","1.21x-1.22x"
"avg-memory-over-time-in-bytes","68,787,411.47-81,241,634.29","108,690,342.53-114,286,786.14","True","1.40x-1.58x"
"max-memory-over-time-in-bytes","97,137,739.23-108,839,041.57","118,663,070.31-125,529,800.09","True","1.12x-1.25x"
"cpu-total-utilization-percentage","30.03-38.61","25.05-25.19","True","1.20x-1.54x"
"cpu-user-utilization-percentage","29.07-36.95","25.03-25.17","True","1.16x-1.47x"
"cpu-system-utilization-percentage","1.28-1.77","0.02-0.04","True","44.79x-62.26x"
"instructions-per-cycle","0.80-0.97","0.82-0.91","False","0.91x-1.14x"
"cycles-per-instruction","1.06-1.29","1.11-1.23","False","0.90x-1.11x"
"wall-time-seconds","4.23-4.43","265.47-265.67","True","61.32x-61.38x"
