"metric","wasm_interpreted-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","311,469,474,252.10-359,898,705,522.70","13,090,342,808.58-16,017,662,307.95","True","21.40x-24.73x"
"instructions","266,683,457,086.13-310,003,891,907.07","16,816,557,940.01-22,641,809,078.81","True","13.51x-15.72x"
"cache-misses","118,397,883.42-143,883,591.48","17,056,475.80-20,557,473.14","True","6.29x-7.66x"
"cache-references","183,779,055,815.36-211,623,075,975.34","3,371,273,281.56-4,726,186,763.19","True","45.39x-52.27x"
"bus-cycles","155,853,888,152.44-181,878,383,060.16","7,163,749,897.06-8,704,225,287.73","True","19.64x-22.93x"
"page-faults","35,512.62-35,770.88","28,385.75-29,453.87","True","1.21x-1.25x"
"branch-instructions","30,642,498,363.51-34,760,316,569.99","2,355,172,544.59-3,092,056,562.82","True","11.24x-12.77x"
"branch-misses","1,872,254,660.39-2,078,040,420.51","94,918,682.21-107,760,596.93","True","18.47x-20.51x"
"major-faults","-2.20-83.20","53.52-226.14","True","1.12x-5.78x"
"minor-faults","35,479.54-35,722.96","28,277.03-29,273.13","True","1.22x-1.25x"
"avg-memory-over-time-in-bytes","108,690,342.53-114,286,786.14","44,443,785.91-51,656,410.05","True","2.23x-2.41x"
"max-memory-over-time-in-bytes","118,663,070.31-125,529,800.09","89,158,461.41-98,106,152.99","True","1.25x-1.36x"
"cpu-total-utilization-percentage","25.05-25.19","35.03-40.06","True","1.39x-1.59x"
"cpu-user-utilization-percentage","25.03-25.17","33.12-38.20","True","1.32x-1.52x"
"cpu-system-utilization-percentage","0.02-0.04","2.36-2.70","True","82.69x-94.65x"
"instructions-per-cycle","0.82-0.91","1.21-1.49","True","1.40x-1.74x"
"cycles-per-instruction","1.11-1.23","0.69-0.85","True","1.39x-1.64x"
"wall-time-seconds","265.47-265.67","5.18-5.36","True","50.36x-50.41x"
