"metric","wasm_aot-value","native-value","statistically-significant","effect-size"
"cpu-cycles","7,258,388,096.12-8,898,420,015.38","6,422,161,329.96-8,773,171,814.74","False","0.88x-1.25x"
"instructions","5,978,741,173.75-8,633,699,566.85","5,434,484,082.11-7,467,663,455.49","False","0.88x-1.38x"
"cache-misses","11,658,667.16-16,026,801.94","10,967,902.33-14,211,833.77","False","0.89x-1.31x"
"cache-references","1,237,325,234.71-1,779,583,017.89","1,042,850,107.65-1,460,174,773.25","False","0.94x-1.47x"
"bus-cycles","3,680,983,782.97-5,135,647,282.13","3,260,203,477.10-4,451,595,850.40","False","0.91x-1.38x"
"page-faults","29,364.16-29,462.54","28,078.51-28,152.69","True","1.04x-1.05x"
"branch-instructions","777,602,522.49-1,132,624,947.31","665,920,851.87-995,488,741.93","False","0.87x-1.43x"
"branch-misses","60,506,121.69-83,641,986.41","58,438,750.85-78,412,417.25","False","0.84x-1.27x"
"major-faults","-12.95-135.15","-1.82-42.32","False","-0.76x-6.79x"
"minor-faults","29,320.86-29,383.64","28,051.59-28,139.11","True","1.04x-1.05x"
"avg-memory-over-time-in-bytes","68,787,411.47-81,241,634.29","38,494,481.71-45,722,794.03","True","1.61x-1.95x"
"max-memory-over-time-in-bytes","97,137,739.23-108,839,041.57","85,448,506.82-89,631,326.78","True","1.11x-1.25x"
"cpu-total-utilization-percentage","30.03-38.61","30.69-39.95","False","0.85x-1.21x"
"cpu-user-utilization-percentage","29.07-36.95","28.61-36.75","False","0.84x-1.18x"
"cpu-system-utilization-percentage","1.28-1.77","1.74-2.17","True","1.07x-1.49x"
"instructions-per-cycle","0.80-0.97","0.78-0.92","False","0.91x-1.17x"
"cycles-per-instruction","1.06-1.29","1.10-1.32","False","0.90x-1.16x"
"wall-time-seconds","4.23-4.43","3.77-4.06","True","1.06x-1.15x"
