"metric","docker-value","native-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","10,366.51-34,282.95","15,955.46-34,936.84","False","0.48x-1.80x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","-1.34-230.74","0.07-5.83","False","-0.46x-78.22x"
"minor-faults","10,245.66-34,071.79","15,953.02-34,933.28","False","0.48x-1.81x"
"avg-memory-over-time-in-bytes","26,224,102.55-82,495,069.71","67,969,028.26-137,659,387.74","True","1.09x-2.69x"
"max-memory-over-time-in-bytes","51,037,824.62-161,311,922.58","77,306,815.35-154,315,840.65","False","0.48x-1.71x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","2.09-2.45","0.98-1.17","True","1.91x-2.29x"
