"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","72,341.62-98,378.18","10,366.51-34,282.95","True","3.06x-4.59x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","8.30-140.30","-1.34-230.74","False","-0.21x-3.30x"
"minor-faults","72,178.64-98,220.56","10,245.66-34,071.79","True","3.07x-4.62x"
"avg-memory-over-time-in-bytes","250,795,237.16-338,596,361.77","26,224,102.55-82,495,069.71","True","4.49x-6.35x"
"max-memory-over-time-in-bytes","294,194,844.05-390,526,103.15","51,037,824.62-161,311,922.58","True","2.56x-3.89x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","1.32-1.81","2.09-2.45","True","1.26x-1.64x"
