"metric","wasm_aot-value","native-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","72,341.62-98,378.18","15,955.46-34,936.84","True","2.74x-3.97x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","8.30-140.30","0.07-5.83","True","2.80x-47.58x"
"minor-faults","72,178.64-98,220.56","15,953.02-34,933.28","True","2.73x-3.96x"
"avg-memory-over-time-in-bytes","250,795,237.16-338,596,361.77","67,969,028.26-137,659,387.74","True","2.34x-3.39x"
"max-memory-over-time-in-bytes","294,194,844.05-390,526,103.15","77,306,815.35-154,315,840.65","True","2.44x-3.47x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","1.32-1.81","0.98-1.17","True","1.21x-1.69x"
