deployment-mechanism,trial-number,start-time,cpu-cycles,instructions,cache-misses,cache-references,bus-cycles,page-faults,branch-instructions,branch-misses,major-faults,minor-faults,avg-memory-over-time-in-bytes,max-memory-over-time-in-bytes,cpu-total-utilization-percentage,cpu-user-utilization-percentage,cpu-system-utilization-percentage
wasm_aot,1,2025-04-03T06:01:40.105169+00:00,,,,,,108556.0,,,499.0,108057.0,320249856.0,512241664.0,15.38,5.31,10.07
docker_container,1,2025-04-03T06:02:10.963588+00:00,,,,,,35150.0,,,363.0,34787.0,114059264.0,221396992.0,7.17,3.5,3.67
docker_container_and_daemon,1,2025-04-03T06:02:10.963588+00:00,,,,,,36562.51,,,978.4,35488.66,165747712.0,327426048.0,12.24,3.96,8.280000000000001
docker_container_and_daemon_extra_overhead,1,2025-04-03T06:02:10.963588+00:00,,,,,,36562.51,,,978.4,35488.66,129301504.0,221396992.0,12.23,3.96,8.27
docker_container,2,2025-04-03T06:02:48.742029+00:00,,,,,,10.0,,,0.0,13.0,2465792.0,3710976.0,,,
docker_container_and_daemon,2,2025-04-03T06:02:48.742029+00:00,,,,,,45.01,,,7.0,39.260000000000005,58720256.0,109740032.0,,,
docker_container_and_daemon_extra_overhead,2,2025-04-03T06:02:48.742029+00:00,,,,,,45.01,,,7.0,39.260000000000005,3416064.0,3710976.0,,,
wasm_aot,2,2025-04-03T06:03:22.795668+00:00,,,,,,55667.0,,,432.0,55257.0,300732416.0,300732416.0,,,
wasm_aot,3,2025-04-03T06:03:46.924685+00:00,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,
docker_container,3,2025-04-03T06:06:49.184009+00:00,,,,,,14.0,,,4.0,7.0,2322432.0,3579904.0,,,
docker_container_and_daemon,3,2025-04-03T06:06:49.184009+00:00,,,,,,42.129999999999995,,,6.34,32.78,47509504.0,109608960.0,,,
docker_container_and_daemon_extra_overhead,3,2025-04-03T06:06:49.184009+00:00,,,,,,42.129999999999995,,,6.34,32.78,3694592.0,3579904.0,,,
docker_container,4,2025-04-03T06:07:24.168606+00:00,,,,,,559.0,,,0.0,501.0,3596288.0,3743744.0,,,
docker_container_and_daemon,4,2025-04-03T06:07:24.168606+00:00,,,,,,560.81,,,0.0,502.81,49336320.0,109772800.0,,,
docker_container_and_daemon_extra_overhead,4,2025-04-03T06:07:24.168606+00:00,,,,,,560.81,,,0.0,502.81,3932160.0,3743744.0,,,
docker_container,5,2025-04-03T06:07:59.746614+00:00,,,,,,49573.0,,,38.0,49536.0,126474240.0,260567040.0,28.55,11.32,17.23
docker_container_and_daemon,5,2025-04-03T06:07:59.746614+00:00,,,,,,49648.54,,,42.44,49604.88,172875776.0,366596096.0,29.05,11.47,17.580000000000002
docker_container_and_daemon_extra_overhead,5,2025-04-03T06:07:59.746614+00:00,,,,,,49648.54,,,42.44,49604.88,127287296.0,260567040.0,29.04,11.47,17.57
wasm_aot,4,2025-04-03T06:08:35.100461+00:00,,,,,,77241.0,,,59.0,77182.0,341274624.0,341409792.0,,,
docker_container,6,2025-04-03T06:08:58.560335+00:00,,,,,,38070.0,,,23.0,38082.0,113391616.0,234872832.0,25.78,13.93,11.85
docker_container_and_daemon,6,2025-04-03T06:08:58.560335+00:00,,,,,,38384.21,,,44.519999999999996,38373.25,161056768.0,340901888.0,27.51,14.299999999999999,13.2
docker_container_and_daemon_extra_overhead,6,2025-04-03T06:08:58.560335+00:00,,,,,,38384.21,,,44.519999999999996,38373.25,114620416.0,234872832.0,27.46,14.29,13.16
wasm_aot,5,2025-04-03T06:09:33.576772+00:00,,,,,,108239.0,,,8.0,108231.0,234557440.0,336982016.0,,,
