deployment-mechanism,trial-number,start-time,wall-time-seconds
docker,1,2025-04-03T07:06:05.019778+00:00,2.65
wasm_aot,1,2025-04-03T07:06:07.767734+00:00,1.46
wasm_aot,2,2025-04-03T07:06:09.238576+00:00,3.0
native,1,2025-04-03T07:06:12.251861+00:00,1.6
docker,2,2025-04-03T07:06:13.858176+00:00,2.62
docker,3,2025-04-03T07:06:16.559818+00:00,1.94
native,2,2025-04-03T07:06:18.590646+00:00,0.95
wasm_aot,3,2025-04-03T07:06:19.548593+00:00,1.38
docker,4,2025-04-03T07:06:20.941343+00:00,1.92
wasm_aot,4,2025-04-03T07:06:22.976647+00:00,1.71
native,3,2025-04-03T07:06:24.697860+00:00,1.01
native,4,2025-04-03T07:06:25.712159+00:00,1.05
native,5,2025-04-03T07:06:26.772157+00:00,0.95
docker,5,2025-04-03T07:06:27.731390+00:00,2.04
docker,6,2025-04-03T07:06:29.855388+00:00,1.89
native,6,2025-04-03T07:06:31.827724+00:00,0.94
native,7,2025-04-03T07:06:32.771753+00:00,0.91
docker,7,2025-04-03T07:06:33.690874+00:00,2.03
docker,8,2025-04-03T07:06:35.803690+00:00,2.23
docker,9,2025-04-03T07:06:38.111876+00:00,2.34
wasm_aot,5,2025-04-03T07:06:40.549167+00:00,1.61
wasm_aot,6,2025-04-03T07:06:42.170646+00:00,1.83
docker,10,2025-04-03T07:06:44.005801+00:00,2.2
docker,11,2025-04-03T07:06:46.281005+00:00,1.92
native,8,2025-04-03T07:06:48.278655+00:00,0.94
wasm_aot,7,2025-04-03T07:06:49.224848+00:00,1.45
native,9,2025-04-03T07:06:50.680639+00:00,0.89
wasm_aot,8,2025-04-03T07:06:51.583371+00:00,1.25
docker,12,2025-04-03T07:06:52.843457+00:00,1.91
wasm_aot,9,2025-04-03T07:06:54.831085+00:00,1.22
docker,13,2025-04-03T07:06:56.058294+00:00,1.85
wasm_aot,10,2025-04-03T07:06:57.981895+00:00,1.12
native,10,2025-04-03T07:06:59.111140+00:00,1.0
native,11,2025-04-03T07:07:00.119493+00:00,1.22
wasm_aot,11,2025-04-03T07:07:01.350913+00:00,1.64
native,12,2025-04-03T07:07:02.997929+00:00,0.95
wasm_aot,12,2025-04-03T07:07:03.955963+00:00,1.17
wasm_aot,13,2025-04-03T07:07:05.138437+00:00,1.29
wasm_aot,14,2025-04-03T07:07:06.440479+00:00,1.29
docker,14,2025-04-03T07:07:07.736779+00:00,3.27
docker,15,2025-04-03T07:07:11.167791+00:00,2.35
native,13,2025-04-03T07:07:13.616475+00:00,1.22
wasm_aot,15,2025-04-03T07:07:14.845579+00:00,1.36
docker,16,2025-04-03T07:07:16.217850+00:00,2.25
docker,17,2025-04-03T07:07:18.564391+00:00,2.24
docker,18,2025-04-03T07:07:20.893664+00:00,2.12
native,14,2025-04-03T07:07:23.086556+00:00,1.0
native,15,2025-04-03T07:07:24.095185+00:00,1.54
docker,19,2025-04-03T07:07:25.642651+00:00,2.56
native,16,2025-04-03T07:07:28.298482+00:00,1.2
native,17,2025-04-03T07:07:29.513763+00:00,1.28
wasm_aot,16,2025-04-03T07:07:30.800852+00:00,1.45
wasm_aot,17,2025-04-03T07:07:32.264488+00:00,3.01
docker,20,2025-04-03T07:07:35.284506+00:00,3.06
wasm_aot,18,2025-04-03T07:07:38.459693+00:00,1.58
wasm_aot,19,2025-04-03T07:07:40.046706+00:00,1.29
native,18,2025-04-03T07:07:41.349651+00:00,1.03
wasm_aot,20,2025-04-03T07:07:42.389582+00:00,1.2
native,19,2025-04-03T07:07:43.599352+00:00,0.92
native,20,2025-04-03T07:07:44.528443+00:00,0.99
