model,input,deployment-mechanism,cpu-cycles-mean,cpu-cycles-error-lower,cpu-cycles-error-upper,instructions-mean,instructions-error-lower,instructions-error-upper,cache-misses-mean,cache-misses-error-lower,cache-misses-error-upper,cache-references-mean,cache-references-error-lower,cache-references-error-upper,bus-cycles-mean,bus-cycles-error-lower,bus-cycles-error-upper,page-faults-mean,page-faults-error-lower,page-faults-error-upper,branch-instructions-mean,branch-instructions-error-lower,branch-instructions-error-upper,branch-misses-mean,branch-misses-error-lower,branch-misses-error-upper,major-faults-mean,major-faults-error-lower,major-faults-error-upper,minor-faults-mean,minor-faults-error-lower,minor-faults-error-upper,avg-memory-over-time-in-bytes-mean,avg-memory-over-time-in-bytes-error-lower,avg-memory-over-time-in-bytes-error-upper,max-memory-over-time-in-bytes-mean,max-memory-over-time-in-bytes-error-lower,max-memory-over-time-in-bytes-error-upper,cpu-total-utilization-percentage-mean,cpu-total-utilization-percentage-error-lower,cpu-total-utilization-percentage-error-upper,cpu-user-utilization-percentage-mean,cpu-user-utilization-percentage-error-lower,cpu-user-utilization-percentage-error-upper,cpu-system-utilization-percentage-mean,cpu-system-utilization-percentage-error-lower,cpu-system-utilization-percentage-error-upper,instructions-per-cycle-mean,instructions-per-cycle-error-lower,instructions-per-cycle-error-upper,cycles-per-instruction-mean,cycles-per-instruction-error-lower,cycles-per-instruction-error-upper,wall-time-seconds-mean,wall-time-seconds-error-lower,wall-time-seconds-error-upper
efficientnet_b0.pt,1_SingleObject.jpg,wasm_aot,,,,,,,,,,,,,,,,9302.9,7751.454733761876,7751.454733761877,,,,,,,1.85,1.9930057348617245,1.993005734861724,9301.05,7749.868202653308,7749.86820265331,29317734.4,22887342.458187804,22887342.458187804,36013260.8,26464526.86106551,26464526.861065507,,,,,,,,,,,,,,,,0.8150000000000001,0.0252033471068443,0.0252033471068443
efficientnet_b0.pt,1_SingleObject.jpg,docker,,,,,,,,,,,,,,,,4289.14,4531.405791310763,4531.405791310764,,,,,,,63.252,95.20356728444872,95.20356728444872,4188.9055,4523.140044661504,4523.140044661505,12071990.6135,7733520.754625353,7733520.754625352,23211827.2,18214546.817063887,18214546.817063887,,,,,,,,,,,,,,,,1.7740000000000002,0.0394618959597388,0.0394618959597388
efficientnet_b1.pt,1_SingleObject.jpg,wasm_aot,,,,,,,,,,,,,,,,17234.65,9761.935859409588,9761.935859409588,,,,,,,30.6,47.44227276194642,47.44227276194642,17205.55,9762.855384674907,9762.85538467491,55268556.8,29532622.13117304,29532622.13117303,58718208.0,31462439.537577007,31462439.537577003,,,,,,,,,,,,,,,,1.0955,0.0974818480760241,0.0974818480760242
efficientnet_b1.pt,1_SingleObject.jpg,docker,,,,,,,,,,,,,,,,10191.525,7372.282866573774,7372.282866573774,,,,,,,34.65,47.66551657609411,47.66551657609411,10123.975,7344.511676916698,7344.511676916698,20549174.613500003,13403456.989388514,13403456.989388514,42293248.0,29700517.25364209,29700517.25364208,,,,,,,,,,,,,,,,2.436,0.2874482088584527,0.2874482088584527
efficientnet_b2.pt,1_SingleObject.jpg,wasm_aot,,,,,,,,,,,,,,,,14840.35,10926.83837776889,10926.838377768892,,,,,,,25.6,53.47135875729921,53.47135875729921,14816.95,10910.571580174896,10910.5715801749,39905996.8,30251793.726902805,30251793.7269028,47704064.0,36628690.89252608,36628690.89252609,,,,,,,,,,,,,,,,1.0759999999999998,0.0867559168182335,0.0867559168182334
efficientnet_b2.pt,1_SingleObject.jpg,docker,,,,,,,,,,,,,,,,7110.6125,6664.115793091832,6664.115793091832,,,,,,,26.247000000000003,41.12746140237961,41.12746140237961,7068.937,6634.072845363868,6634.072845363868,16152761.294999998,14037531.27567926,14037531.275679257,29990912.0,26485705.9096273,26485705.909627303,,,,,,,,,,,,,,,,2.0045,0.120908912878306,0.1209089128783058
efficientnet_b3.pt,1_SingleObject.jpg,docker,,,,,,,,,,,,,,,,12980.82,8489.702574217308,8489.702574217306,,,,,,,57.91949999999999,58.91468820288012,58.91468820288012,12914.5505,8458.64249233155,8458.64249233155,29178436.265999995,16632591.809387268,16632591.809387268,60976537.6,37207615.95792152,37207615.95792153,,,,,,,,,,,,,,,,2.0285,0.073644694604815,0.0736446946048152
efficientnet_b3.pt,1_SingleObject.jpg,wasm_aot,,,,,,,,,,,,,,,,22307.95,13186.310577286711,13186.31057728671,,,,,,,12.35,15.933684869421937,15.933684869421937,22295.55,13178.621352867043,13178.621352867043,62694809.6,37422794.01713239,37422794.0171324,90878156.8,48513774.05305816,48513774.05305816,,,,,,,,,,,,,,,,1.0865000000000002,0.0099888607151759,0.0099888607151759
efficientnet_b4.pt,1_SingleObject.jpg,docker,,,,,,,,,,,,,,,,27396.7685,10042.499276873132,10042.499276873132,,,,,,,50.059000000000005,43.4447284748326,43.444728474832594,27373.324,10022.987538111596,10022.987538111593,56414460.5865,22719196.89721384,22719196.89721383,119376076.8,42860933.89031099,42860933.89031099,,,,,,,,,,,,,,,,2.4849999999999994,0.2026618711631309,0.2026618711631309
efficientnet_b4.pt,1_SingleObject.jpg,wasm_aot,,,,,,,,,,,,,,,,78382.1,9177.07631211546,9177.07631211546,,,,,,,72.05,74.88099257396853,74.88099257396853,78312.1,9172.560279771526,9172.560279771526,209688371.2,33419155.73908684,33419155.73908684,276697497.6,33372989.545284037,33372989.545284037,,,,,,,,,,,,,,,,1.5639999999999998,0.1070192703298851,0.1070192703298851
efficientnet_b5.pt,1_SingleObject.jpg,docker,,,,,,,,,,,,,,,,43983.2705,9533.304102411108,9533.304102411108,,,,,,,135.887,78.43944962657977,78.43944962657977,43820.65800000001,9514.06966088721,9514.06966088721,112275469.6535,27213257.762614593,27213257.762614593,227051929.6,50045901.403886884,50045901.403886884,,,,,,,,,,,,,,,,3.0815,0.10943591878387737,0.10943591878387737
efficientnet_b5.pt,1_SingleObject.jpg,wasm_aot,,,,,,,,,,,,,,,,117579.75,14507.227848544004,14507.22784854399,,,,,,,107.05,89.7434171500167,89.7434171500167,117526.45,14522.32392697157,14522.32392697157,321083904.0,54183160.8229703,54183160.82297027,421613568.0,51507213.69279355,51507213.69279355,,,,,,,,,,,,,,,,2.321,0.25214276860267537,0.25214276860267537
