"metric","wasm_aot-value","docker-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","1,551.45-17,054.35","-242.27-8,820.55","False","0.13x-4.21x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","-0.14-3.84","-31.95-158.46","False","-17.28x-85.66x"
"minor-faults","1,551.18-17,050.92","-334.23-8,712.05","False","0.13x-4.31x"
"avg-memory-over-time-in-bytes","6,430,391.94-52,205,076.86","4,338,469.86-19,805,511.37","False","0.45x-4.41x"
"max-memory-over-time-in-bytes","9,548,733.94-62,477,787.66","4,997,280.38-41,426,374.02","False","0.21x-2.90x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","0.79-0.84","1.73-1.81","True","2.12x-2.23x"
