"metric","docker-value","wasm_aot-value","statistically-significant","effect-size"
"cpu-cycles","nan-nan","nan-nan","True","nanx-nanx"
"instructions","nan-nan","nan-nan","True","nanx-nanx"
"cache-misses","nan-nan","nan-nan","True","nanx-nanx"
"cache-references","nan-nan","nan-nan","True","nanx-nanx"
"bus-cycles","nan-nan","nan-nan","True","nanx-nanx"
"page-faults","34,449.97-53,516.57","103,072.52-132,086.98","True","2.29x-3.06x"
"branch-instructions","nan-nan","nan-nan","True","nanx-nanx"
"branch-misses","nan-nan","nan-nan","True","nanx-nanx"
"major-faults","57.45-214.33","17.31-196.79","False","0.19x-2.35x"
"minor-faults","34,306.59-53,334.73","103,004.13-132,048.77","True","2.30x-3.07x"
"avg-memory-over-time-in-bytes","85,062,211.89-139,488,727.42","266,900,743.18-375,267,064.82","True","2.33x-3.39x"
"max-memory-over-time-in-bytes","177,006,028.20-277,097,831.00","370,106,354.31-473,120,781.69","True","1.55x-2.16x"
"cpu-total-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-user-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"cpu-system-utilization-percentage","nan-nan","nan-nan","True","nanx-nanx"
"instructions-per-cycle","nan-nan","nan-nan","True","nanx-nanx"
"cycles-per-instruction","nan-nan","nan-nan","True","nanx-nanx"
"wall-time-seconds","2.97-3.19","2.07-2.57","True","1.21x-1.44x"
